criteria	count
comprehensive handling of different user input	1
realistic physic implementation	1
accurate capturing of particle emitters	1
uniform and reasonable awarding of points	1
winner	1
i like this game	1
must be for htc vive	1
crap factor	1
most good looking	1
most polished	1
best solo entry	1
ux	1
effectiveness	1
core value	1
appeal	1
puzzles	1
intuitive	1
inspired	1
sprites.	1
randomness	1
mapping	1
thought provoking	1
judge's persoanl approval rank	1
file size. if over 32k then rate low. if under 32k then rate high.	1
completeness and polish	1
quirkiness	1
inspirational	1
single/team (for compensation reasons)	1
difficulty (rage level)	1
awesomeness!	1
has survival aspects	1
completable	1
intensity	1
scientific accuracy	1
lewdness	1
grapics	1
"how much of a museum is it, really?"	1
is it cool?	1
is it evocative?	1
most punk game.	1
fan favourite.	1
melody	1
motifs	1
rhythm and pacing	1
mixing and mastering	1
fear factor	1
game of the fortnight	1
rule compliance	1
1 color per object type	1
most festive	1
game most likely to give someone a drinking problem	1
quality/polishness	1
queerness	1
giggles	1
is it good	1
emotional rollercoaster	1
production cost	1
series compatibility	1
game of the week	1
what would you rate this submission?	1
how minimalistic was it?	1
how interesting was the random component of the game?	1
slime-yness	1
heckarad	1
theming	1
best use of multimedia	1
ui/ux	1
looking	1
eye candy	1
oga favourite	1
browser compatibility	1
merit	1
does the game have platformer aspects?	1
does the game have 2d aspects (not including ui)?	1
x-factor	1
requirement	1
enbiness/queerness	1
would you recommend this game?	1
paint vibe	1
completely doesn't follow rules what-so-ever!	1
was there a corgi?	1
how easy to understand and use the game�s rules are	1
developer's choice	1
streamer's choice	1
scorespace choice	1
spook award (host's choice)	1
scare award (scariest game)	1
scream award (best screams)	1
philosophy	1
ability to explore (area-size)	1
inventiveness / inventivit�	1
mobile compatibility	1
diversifier (game set in a real-world city)	1
joke (fool factor)	1
incorporation of vile ingredients	1
respect of the limitaions	1
judge ranking	1
un-sue-ableness	1
"inscrutability (what planet did this come from, and how did they so misunderstand human culture??)"	1
best use of twins	1
interpretation of the horse name!	1
orginality	1
over all	1
official winners	1
look and style interpretation	1
refinement and optimization	1
the quality	1
how pastel do you think it is? (more stars for more pastel)	1
what do you think of the quality of the submission?	1
wowie!	1
play	1
"""i didn't expect that"" rating"	1
was it slime related?	1
hot	1
cold	1
volatile	1
dark	1
are there cats?	1
final results	1
special mention #1	1
special mention #2	1
special mention #3	1
charm	1
styyyyyle	1
good use of the name it's based on	1
usableness	1
ambitiousness	1
destruction	1
christmas-factor	1
assets	1
public rating	1
is an adventure game	1
horror/fear factor	1
challenges	1
mashup	1
the game i found most inspiring (entirely subjective)	1
linux compatibility	1
commentary	1
disrespect	1
2 colors	1
wtf	1
? ? ?	1
? ? ? ? ? ?	1
? ?	1
? ? ? ?	1
?	1
setting (or location)	1
clarity (ease-of-understanding)	1
aestheetics	1
color usage	1
xkcd-ness (how well it matches/interprets the comic)	1
weirdness/charm	1
gameboy-ness	1
weirdest game	1
best humor	1
honorable mention	1
demake ratio	1
aesthethics	1
metaness quality	1
movie interpretation	1
interpretation	1
composition	1
authenticity (use of 64x64 limit)	1
what you like.	1
voted on by public	1
submissions	1
the whole itch.io community can vote.	1
what did you think?	1
it should be voted on:	1
submit ur game!!!!!!11!!1!	1
points	1
not similar to what you've uploaded before	1
videogame	1
role success	1
"games that were made at offline spbsu game jam ????, ???????? ?? ????????? ?????"	1
the public vote the games that they like	1
by quality?	1
public choice	1
sexual context	1
does it make you wet/hard?	1
is it easy to play?	1
relation to rick and morty	1
game quality	1
make an update to an existing project.	1
amazing spookiness	1
titan boss	1
how yorkshire is the game?	1
games must be puzzle games.	1
pixeled	1
dril-ness	1
you could play the game for at least 1 minute	1
the game was interesting and caught your attention	1
"had good, interesting, or new and working mechenics"	1
goodness	1
how well the game fits the title.	1
how does it look?	1
is it scary?	1
whatever you personally think is the best!	1
nicheness	1
<3	1
how lewd the game is	1
use of source material	1
morality	1
game score	1
love that gets under your skin.	1
is the game so bad that it's good?	1
improvement since previous jam entry	1
�commercial potential	1
�teamwork evident in game creation	1
kick-ass game name	1
cool rating	1
plus ultra!	1
aestethics	1
synergy	1
