jam_criteria,jam_end_date,jam_host,jam_name,jam_no_joined,jam_no_rating,jam_no_submissions,jam_start_date,jam_url,jam_english,jam_duration
Overall,2017-10-02 01:00:00,OneratGames,Jamingtons 3.0,41,0,13,2017-09-30 02:00:00,https://www.itch.io/jam/jamingtons3,y,47.0
"Overall||Best Art (totally subjective)||Best Technical Achievement (e.g. complex systems, great features, optomizations, not-brokenness)||Best Audio / Music||Best Story / Writing||Best Overall",2016-04-03 16:30:00,Galway Game Jam,Galway Game Jam 5,19,54,11,2016-04-01 17:00:00,https://www.itch.io/jam/galwaygamejam5,y,47.5
Overall||Presentation||Gameplay||Originality||Overall,2016-10-03 06:59:59,Clickteam,Weirder Stuff,483,217,34,2016-10-01 07:00:00,https://www.itch.io/jam/weirderstuff,y,47.999722222222225
Overall||Use of theme||Fun factor||Art||Sounds (Video)||Clear instructions (Board/Tabletop),2018-01-31 05:59:59,CoMo Game Jam||spacesharkstudios||Bloo||RibbonsTheFriendlyViking,COMO Game Jam 3,19,12,12,2018-01-29 06:00:00,https://www.itch.io/jam/como-game-jam-3,y,47.999722222222225
Overall||Art||Sound||Mechanics||Fun,2019-02-17 23:00:00,Yukon W.,Paint Jam 2019,138,307,33,2019-02-15 23:00:00,https://www.itch.io/jam/paint-jam-2019,y,48.0
Overall||Graphics||Sound||Innovation||Fun,2018-12-23 23:00:00,Hagge,Christmas Jam 2018,147,331,36,2018-12-21 23:00:00,https://www.itch.io/jam/christmas-jam-2018,y,48.0
Overall||Matches Theme||Enjoyment||Game Mechanics||Art||Music,2018-06-24 21:59:59,Haploid7,48 Secret Jam - June - 2018,51,80,13,2018-06-22 21:59:59,https://www.itch.io/jam/48-secret-jam-june-2018,y,48.0
Overall||Concept||Execution||Polish,2019-08-24 23:00:00,Brandon JS Lea,Scratch Jam,94,107,14,2019-08-22 23:00:00,https://www.itch.io/jam/scratch-jam,y,48.0
Overall||Fun||Art||Story||Originality,2019-06-26 22:00:00,LarsG2005,Not a Jam!,29,0,21,2019-06-24 22:00:00,https://www.itch.io/jam/not-a-jam,y,48.0
Funbringin'||Mindblowin'||Heartbreakin',2018-07-08 18:20:20,Michał IXI Kobzdaj,Zero words GameJam,36,46,10,2018-07-06 18:20:20,https://www.itch.io/jam/zero-words-gamejam,y,48.0
Overall,2017-07-10 02:00:00,OneratGames,Jamingtons 2.0,38,0,15,2017-07-08 02:00:00,https://www.itch.io/jam/jamingtons2,y,48.0
Audience Choice,2015-10-12 00:00:00,Greg Squire,Utah Indie Game Jam 2015,25,136,11,2015-10-10 00:00:00,https://www.itch.io/jam/utah-indie-game-jam-2015,y,48.0
Overall||Good use of the name it's based on||Feel||Aesthetics||Innovation,2018-07-29 17:00:00,ComputerJames,Pizza Jam 3 - (PIZZA PRIZE),142,456,31,2018-07-27 17:00:00,https://www.itch.io/jam/pizza-jam-3-pizza-prize,y,48.0
Overall||Interpretation of the Horse name!||Aesthetics||Innovation||Feel,2019-08-11 17:00:00,ComputerJames,PIZZA JAM! (pizza prize),98,312,26,2019-08-09 17:00:00,https://www.itch.io/jam/pizzza-jam-pizza-prize,y,48.0
Overall||Gameplay & Design||Visuals||Technical Achievement||Browser Compatibility||Theme usage,2015-10-11 16:00:00,BoosterMedia||David Goemans||Tulip Engine,JS 48 - Episode 1,71,232,16,2015-10-09 16:00:00,https://www.itch.io/jam/js48-1,y,48.0
"Overall||Theme - How much the game respects the given theme||Gameplay - How fun is the game / How good are controls / etc.||Innovation - Is the game an old formula or something new?||Polish - Give a vote to the art, the music, and in general the little details",2014-11-09 19:00:00,Ciro Continisio||VittoRaboy||hjeldin,IndieVault Game Jam,16,60,16,2014-11-07 19:00:00,https://www.itch.io/jam/IVgamejam,y,48.0
"Overall Gameplay and Fun||Visuals (Textures, Visual Effects, Environment)||How well the theme was implemented||Controls||User Experience / Optimization||Music / Sound Effects||Single/Team (for compensation reasons)",2018-09-30 17:00:00,Sv443||Skjold||MajesticAcorn||Confettimaker||Kkajr||mfosse||saidg23||Xander||xronikos,Cult of Jabril(s) Game Jam,49,276,18,2018-09-28 17:00:00,https://www.itch.io/jam/cult-of-jabrils,y,48.0
Overall||Mechanics||Setting (or Location)||Story (or Starting Scenario)||Use of Theme,2018-10-07 22:00:00,Ian Magenta,The Micro-RPG Jam,258,1086,89,2018-10-05 22:00:00,https://www.itch.io/jam/micro-rpg-jam,y,48.0
Overall||Graphics||Sound||Innovation||Fun,2019-06-30 22:00:00,Hagge||PowerBurger,Quad Jam Summer 2019,60,40,15,2019-06-28 22:00:00,https://www.itch.io/jam/quad-jam-summer,y,48.0
Overall,2018-02-11 18:00:00,ComputerJames,PIZZA JAM (pizza prize),232,0,59,2018-02-09 18:00:00,https://www.itch.io/jam/james-jam-pizzza-prize,y,48.0
Design,2018-09-02 21:00:00,Game Maker's Toolkit,Game Maker's Toolkit Jam 2018,3313,15600,1025,2018-08-31 21:00:00,https://www.itch.io/jam/gmtk-2018,y,48.0
Overall||Matches Theme||Enjoyment||Game Mechanics||Art||Music,2018-05-20 21:59:59,Haploid7,48 Secret Jam - May - 2018,51,87,11,2018-05-18 21:59:59,https://www.itch.io/jam/48-secret-jam-may-2018,y,48.0
2 Colors||Theme||Arts||Gameplay||Mood||Audio,2018-07-22 16:00:00,Bigaston,2 Colors Game Jam,200,942,71,2018-07-20 16:00:00,https://www.itch.io/jam/2-colors-game-jam,y,48.0
Funbringin'||Heartbreakin'||Mindblowin',2019-07-14 16:00:00,Michał IXI Kobzdaj,Zero Words vol.2,44,161,15,2019-07-12 16:00:00,https://www.itch.io/jam/zero-words-gamejam-2,y,48.0
Overall||Use of Theme||Aesthetics||Innovation||Feel,2019-03-24 18:00:00,ComputerJames,Pizza Jam (Pizza Prize!),190,606,54,2019-03-22 18:00:00,https://www.itch.io/jam/pizzajam2019,y,48.0
Overall||Concept||Execution||Polish||Relevance,2019-09-28 23:00:00,Brandon JS Lea,Basic Block Jam,62,89,14,2019-09-26 23:00:00,https://www.itch.io/jam/single-block-jam,y,48.0
Cool Rating,2016-12-05 02:00:00,Lo-Fi||TWTdip||debugdrawray,Cool Jams Inc - A Cool Games Inc Game Jam,113,158,23,2016-12-03 02:00:00,https://www.itch.io/jam/cool-jams-inc,y,48.0
Overall||Mechanics||Overall Appearance||Quality of Writing||Use of Theme,2019-09-29 22:00:00,Ian Magenta,The Mega RPG Jam,180,558,45,2019-09-27 22:00:00,https://www.itch.io/jam/mega-rpg-jam,y,48.0
Overall||Matches Themes||Enjoyment||Game Mechanics||Art||Music||Creativity,2019-07-21 22:02:00,Haploid7,48 Secret Jam - July 2019,71,364,21,2019-07-19 21:59:59,https://www.itch.io/jam/48-secret-jam-june2019,y,48.033611111111114
Overall||Theme||Creativity||Technical Achievmant||Polish||Entertainment||Bonus Points,2018-06-18 00:29:00,GCO_SDSU,GCO Game Jam 2018,33,35,10,2018-06-16 00:00:00,https://www.itch.io/jam/gco-game-jam-2018,y,48.483333333333334
Overall||Innovation||Theme||Aesthetic||Feel||Overall,2018-04-15 22:30:00,NayN64||jsnellings,GULL JAM Spring 2018,36,19,13,2018-04-13 22:00:00,https://www.itch.io/jam/gull-jam-spring-2018,y,48.5
Overall||1 Color per object type||Theme||Arts||Gameplay||Mood||Audio,2018-09-23 16:30:00,Bigaston,Different Colors Game Jam,57,86,13,2018-09-21 16:00:00,https://www.itch.io/jam/different-colors-game-jam,y,48.5
Judge's choice||Fun||Feel||Novelty||Use of Theme,2019-10-06 13:45:00,Code||GameLabAalborg,DM i spiludvikling 2019,50,0,24,2019-10-04 13:00:00,https://www.itch.io/jam/dm-i-spiludvikling-2019,y,48.75
Creative use of theme||Art||Sound,2019-10-13 21:59:59,Mix and Jam,Mix and Game Jam (2019),1124,2191,192,2019-10-11 21:00:00,https://www.itch.io/jam/mix-and-game-jam,y,48.999722222222225
Overall||Grand Prize||Best Art||Best Student Game||Best Design||Best Abstract Game,2016-08-08 02:30:00,sdgamedev||k0j0,San Diego Game Jam,25,52,13,2016-08-06 01:30:00,https://www.itch.io/jam/sdgamejam,y,49.0
How pastel do you think it is? (more stars for more pastel)||What do you think of the quality of the submission?,2018-06-10 20:00:00,Maz||Hazel-Rah,Pastel Jam!,116,194,36,2018-06-08 19:00:00,https://www.itch.io/jam/pastel-jam,y,49.0
Audience Choice,2016-10-10 00:00:00,Greg Squire,Utah Indie Game Jam 2016,54,209,15,2016-10-07 23:00:00,https://www.itch.io/jam/utah-indie-game-jam-2016,y,49.0
Overall||Art||Sound||Mechanics||Fun,2018-02-26 03:00:00,Yukon W.,Paint Jam 2018,122,173,29,2018-02-24 02:00:00,https://www.itch.io/jam/paint-jam-2018,y,49.0
Audience Choice,2017-10-23 00:00:00,Greg Squire,Utah Indie Game Jam 2017,47,256,18,2017-10-20 23:00:00,https://www.itch.io/jam/utah-indie-game-jam-2017,y,49.0
Overall,2019-02-14 18:00:00,L3Di,Emotional Game Jam 2019,66,0,20,2019-02-12 17:00:00,https://www.itch.io/jam/emotionalgamejam,y,49.0
Overall,2017-02-13 00:00:00,greniert,Game Jam - Ludifier la ville,21,0,11,2017-02-10 23:00:00,https://www.itch.io/jam/gamejam-ludifier-la-ville,y,49.0
Overall||Gameplay||Art/Graphics||Game Design||Creativity,2019-04-28 14:00:00,wedenigc||Xifiggam||dermotte,6th Klagenfurt Game Jam,15,302,11,2019-04-26 13:00:00,https://www.itch.io/jam/6thklujam,y,49.0
Overall||Use of the Theme||Feel||Aesthetics||Innovation,2018-10-28 18:00:00,ComputerJames,Pizza Jam (Pizza prize!),168,429,45,2018-10-26 17:00:00,https://www.itch.io/jam/pizza-jam4,y,49.0
Overall||The game I found most inspiring (entirely subjective)||Theme||Feel||Aesthetics||Innovation,2018-06-10 18:00:00,ComputerJames,PIZZA JAM (pizza prize),171,611,52,2018-06-08 17:00:00,https://www.itch.io/jam/pizza-jam-pizza-prize,y,49.0
Overall||Overall||Fun||Mood||Innovation||Theme||Graphics||Humor||Audio,2019-08-26 01:00:00,Ieyfo,DISCORD JAM #2,124,310,35,2019-08-24 00:00:00,https://www.itch.io/jam/discord-jam-2,y,49.0
Overall||Overall||Graphics||Gameplay||Audio||Controls||Theme,2017-11-05 23:20:00,Yukon W.,IGDA Becker Chapter Autumn Arcade Jam 2017,12,18,10,2017-11-03 22:00:00,https://www.itch.io/jam/igda-becker-arcade-jam,y,49.333333333333336
Overall,2018-03-01 18:30:00,L3Di,Emotional Game Jam 2018,70,0,25,2018-02-27 17:00:00,https://www.itch.io/jam/emotionalgamejam2018,y,49.5
Overall||Innovation||Fun||Theme||Graphics||Audio||Humor||Mood,2019-03-04 02:30:00,Ieyfo||jordanb84,DISCORD JAM,145,336,35,2019-03-02 01:00:00,https://www.itch.io/jam/discord-jam1,y,49.5
Overall||Design||Graphics||Audio||Originality||Theme||Gemini Taurus's Overall rating,2019-10-24 19:59:00,Gemini Taurus,GrapeFruit GameJam 2019,83,203,15,2019-10-22 18:00:00,https://www.itch.io/jam/grapefruit-gamejam-2019,y,49.983333333333334
Difficulty (Rage Level)||Graphics||Gameplay||Sound and Music,2018-08-19 20:00:00,cppkyle,Rage Jam,49,75,11,2018-08-17 18:00:00,https://www.itch.io/jam/rage-jam,y,50.0
Overall||Design||Adherence to the Theme||Originality,2019-08-04 21:00:00,Game Maker's Toolkit,GMTK Game Jam 2019,7591,46600,2620,2019-08-02 19:00:00,https://www.itch.io/jam/gmtk-2019,y,50.0
Overall,2018-10-15 00:00:00,maryb197,Stout-IGDA Fall 2018 Game Jam,26,0,19,2018-10-12 22:00:00,https://www.itch.io/jam/stout-f18-game-jam,y,50.0
Overall||Mechanic||Graphics||Sound Effects||Music||Story||Atmosphere||Technical||Theme,2018-09-30 23:00:00,TimRuswick,JimJam #2,369,1645,134,2018-09-28 21:00:00,https://www.itch.io/jam/jimjam-2,y,50.0
Overall||Fun||Weirdness||Balance||Visuals||Music & Sound||Polish||Replayability,2017-05-29 00:10:00,Butterscotch Shenanigans,Butterscotch ShenaniJam,388,1658,126,2017-05-26 22:00:00,https://www.itch.io/jam/bscotch100,y,50.166666666666664
Overall||Fun||Theme||Mood||Graphics||Innovation||Humor,2017-12-03 19:59:00,NathalieKill||pankamil||ringlan||NannahPopess||Digital Night Studio,Digital Night Studio's Ludum Dare 40,47,220,11,2017-12-01 17:00:00,https://www.itch.io/jam/digital-night-studios-ludum-dare-40,y,50.983333333333334
Overall||art||sound||mechanics||fun||challenges,2017-03-20 03:59:59,Yukon W.,Paint Jam 2017,168,239,24,2017-03-18 01:00:00,https://www.itch.io/jam/paint-jam,y,50.999722222222225
Overall||Are there cats?||Did you have fun playing this game?,2016-04-18 03:59:59,anonyanony,VR JAM 2016,126,316,29,2016-04-16 00:30:00,https://www.itch.io/jam/vrjam16,y,51.499722222222225
Fun||Humor||WTF||Graphics||Music||Sound Effects||Art,2018-04-09 04:00:00,TimRuswick,JimJam: All Games Played Live On Stream,207,1577,98,2018-04-07 00:00:00,https://www.itch.io/jam/jimjam,y,52.0
Overall / Note globale||Gameplay / Systèmes de jeu||Storytelling & Writing / Écriture et narration||Originality / Originalité||Aesthetics & Mood / Esthétique et ambiance,2018-02-25 22:30:00,Aurélien Dos Santos||Game Dev Alliance,RPG Maker Jam #2,72,460,32,2018-02-23 18:00:00,https://www.itch.io/jam/rpgmakerjam2,y,52.5
Overall,2019-02-11 05:00:00,maryb197,Stout IGDA - Spring Game Jam 2019,16,0,11,2019-02-09 00:00:00,https://www.itch.io/jam/igda-sp19,y,53.0
Overall,2018-11-05 06:00:00,Seattle Indies,Seattle Indies Game Jam 2018,30,0,23,2018-11-03 01:00:00,https://www.itch.io/jam/seattle-indies-game-jam-2018,y,53.0
Overall||Original Art||Original Music||Gameplay||AI||Overall,2017-02-13 05:15:00,lklynch||nathanmcclain,KSU 3rd Annual Invitational Game Jam,19,16,14,2017-02-10 23:30:00,https://www.itch.io/jam/ksu-3rd-annual-invitational-game-jam,y,53.75
Overall||Theme||Artwork||Game Design||SFX & Music,2018-04-16 04:00:00,LostPenguin||Post Grind Jam,Post Grind Jam #1,42,77,10,2018-04-13 22:00:00,https://www.itch.io/jam/post-grind-jam1,y,54.0
Mechanics / Gameplay?||How Yorkshire is the game?||Art / Aesthetics?,2019-02-25 16:30:00,GamesLabLeeds,Yorkshire Jam,25,17,14,2019-02-23 10:00:00,https://www.itch.io/jam/yorkshire-jam,y,54.5
Winner||Gameplay||Graphics||Sound,2018-05-06 21:00:00,Postmodestie,LCD-Jam (100€ cash prizes),40,99,14,2018-05-04 14:00:00,https://www.itch.io/jam/lcd-jam,y,55.0
Overall||真Kuso / Very Kuso||這遊戲一點也不糞 / Fun||前方高能 / Not Safe For Work,2018-04-16 12:00:00,tppr2046,Kuso Game Jam 2018,38,77,29,2018-04-14 02:00:00,https://www.itch.io/jam/kuso-game-jam-2018,y,58.0
Game of The Week||Best Visuals||Best Implementation||Most Innovative||Novel Use of Audio,2018-10-10 11:00:00,TechDemo,Tech Demo 2: Attack of the Platformer,62,672,30,2018-10-07 23:00:00,https://www.itch.io/jam/tech-demo-2,y,60.0
Overall||Respect of the themes||Game Play||Game Design||Music||Sounds||Graphics,2018-04-30 06:00:00,T-Team,Games Factory Jam,40,61,11,2018-04-27 18:00:00,https://www.itch.io/jam/games-factory-3,y,60.0
Overall||Respect of the themes||Respect of the Constraint||Game Play||Game Design||Music||Sounds||Graphics,2018-06-25 06:00:00,T-Team,Games Factory Jam 5,90,169,22,2018-06-22 18:00:00,https://www.itch.io/jam/games-factory-5,y,60.0
Deliciousness||Respect of the theme||Gameplay||Game Design||Music||Sound Effects||Graphics,2018-06-04 03:59:59,ZahranW||Mini Jam Official||KingW,mini jam 3rd edition,58,120,14,2018-06-01 15:00:00,https://www.itch.io/jam/mini-jam3rdedition,y,60.999722222222225
Overall||Respect of the themes||Respect of the Constraint||Game Play||Game Design||Music||Sounds||Graphics,2018-10-29 07:00:00,T-Team,Games Factory Jam 8,29,76,15,2018-10-26 18:00:00,https://www.itch.io/jam/games-factory-8,y,61.0
Overall||Pixel Art||Fun||Mechanics||Fits the jams theme,2018-03-19 05:00:00,ManuGamesDev||PixelWeekendJam,Pixel Weekend Jam #2,108,439,31,2018-03-16 15:00:00,https://www.itch.io/jam/pixel-weekend-jam-2,y,62.0
Overall||Art||Audio||Design||Innovation,2017-08-28 18:52:00,sdgamedev||k0j0||Stralor||IGDASD_Ian||3dfigueroa||sojournertrooth,San Diego Game Jam,36,0,22,2017-08-26 01:30:00,https://www.itch.io/jam/sd2017,y,65.36666666666666
Overall Experience||Relevance to Theme||Gameplay||Innovation||Aesthetics,2018-11-19 08:30:00,Yadu Rajiv||Kinshuk Sunil,BYOG 2018,95,0,21,2018-11-16 12:30:00,https://www.itch.io/jam/byog-2018,y,68.0
Overall||Graphics||Audio||Fun||Innovation||Technical,2019-02-04 17:00:00,Joshua McLean,8 Bits to Infinity ~ Palette Jam,75,0,19,2019-02-01 19:00:00,https://www.itch.io/jam/palette-jam,y,70.0
Overall||Gameplay||Art||Sounds||Story,2019-03-11 04:00:00,ZahranW,Mini Jam 23: Time,200,545,56,2019-03-08 05:00:00,https://www.itch.io/jam/mini-jam-23-time,y,71.0
Overall||Gameplay||Originality||Presentation||Overall,2017-10-23 06:59:00,Clickteam,Weirder Stuff 2,92,189,17,2017-10-20 07:00:00,https://www.itch.io/jam/weirder-stuff-2,y,71.98333333333333
Overall||Best Overall||Best Use of Winnitron Controls||Best Single Player||Best Multiplayer,2015-06-02 02:59:00,marlonwiebe||Electric Monk Media,Winnipeg Game Jam / Winnitron Jam,15,37,15,2015-05-30 03:00:00,https://www.itch.io/jam/winnipeg-and-winnitron-jam,y,71.98333333333333
Overall||Deliciousness||Respect of the limitations||Game play||Game design||Music||Sound effects||Graphics,2018-08-13 03:59:59,ZahranW||KingW,Mini Jam 8 - Fantasy -,93,237,25,2018-08-10 04:00:00,https://www.itch.io/jam/mini-jam-8-fantasy,y,71.99972222222222
Overall||Deliciousness||Respect of the limitations||Game play||Game design||Music||Sound effects||Graphics,2018-07-16 03:59:59,ZahranW||KingW,Mini Jam 6 -BOSS RUSH-,98,137,20,2018-07-13 04:00:00,https://www.itch.io/jam/mini-jam-6th-edition,y,71.99972222222222
Overall||Deliciousness||Respect of the limitations||Game play||Game design||Music||Sound effects||Graphics,2018-07-30 03:59:59,ZahranW||KingW,Mini Jam 7 - Greek Mythology-,47,83,11,2018-07-27 04:00:00,https://www.itch.io/jam/mini-jam-7-greek-mythology-,y,71.99972222222222
Overall,2018-08-06 04:59:59,ivorytea,Food Jam!!,74,0,12,2018-08-03 05:00:00,https://www.itch.io/jam/good-eats,y,71.99972222222222
Overall||Respect of the limitations||Game play||Game design||Music||Sound effects||Graphics,2018-09-10 03:59:59,ZahranW||KingW,Mini Jam 10 -Micro-,65,127,22,2018-09-07 04:00:00,https://www.itch.io/jam/mini-jam-10-micro-,y,71.99972222222222
Overall||Fun||Theme||Graphics||Audio||Mood||Humor,2017-10-09 03:59:59,opensource.com||caramelcode||mwcz,Open Jam,280,660,43,2017-10-06 04:00:00,https://www.itch.io/jam/open-jam-1,y,71.99972222222222
Fun||Visuals||Music||Sound||Story||Theme,2018-03-26 05:59:59,uheartbeast,The HEART JAM,693,1799,142,2018-03-23 06:00:00,https://www.itch.io/jam/heartjam,y,71.99972222222222
Overall||Respect of the limitaions||Game play||Game design||Music||Sound effects||Graphics,2018-08-27 03:59:59,ZahranW||Mini Jam Official||KingW,Mini Jam 9 - Back To School -,95,159,28,2018-08-24 04:00:00,https://www.itch.io/jam/mini-jam-9-back-to-school-,y,71.99972222222222
Overall||Gameplay||Graphics||Sound||Mood,2019-02-18 23:00:00,Pablo Ariel Mayobre,LÖVE Jam 2019,170,464,37,2019-02-15 23:00:00,https://www.itch.io/jam/love2d-jam-2019,y,72.0
Overall||Gameplay||Art||Audio||Innovation,2019-04-15 21:00:00,Geta,Geta Game Jam 7,182,200,23,2019-04-12 21:00:00,https://www.itch.io/jam/geta-game-jam-7,y,72.0
Overall||Gameplay||Concept||Presentation||Challenge (Tough but Fair)||Story/Writing||Use of Theme,2019-01-13 20:00:00,Gman8r||Nitori,Touhou Fan Game Jam 3,65,1251,32,2019-01-10 20:00:00,https://www.itch.io/jam/touhou-jam-3,y,72.0
Overall||Gameplay||Art||Audio||Presentation,2019-07-29 05:00:00,ZahranW||Mini Jam Official,Mini Jam 33: Underwater,184,506,54,2019-07-26 05:00:00,https://www.itch.io/jam/mini-jam-33-underwater,y,72.0
Overall||Respect of the limitations||Respect of the theme||Game play||Game design||Sound||Graphics,2018-10-08 03:59:59,ZahranW||Mini Jam Official,Mini Jam 12 -Heroes-,66,136,18,2018-10-05 03:59:59,https://www.itch.io/jam/mini-jam-12-heroes-,y,72.0
Overall||Fun||Creativity||Polish||Theme,2019-01-21 00:00:00,ViolentCrumble,GDL - January Jam,68,229,20,2019-01-18 00:00:00,https://www.itch.io/jam/gdl-january-jam-2,y,72.0
Creativity||Graphics||Gameplay||Presentation,2019-01-08 00:00:00,Gutter Arcade,Gutter Jam 3,59,94,10,2019-01-05 00:00:00,https://www.itch.io/jam/gutter-jam-3,y,72.0
Overall||Fun||Creativity||Polish||Theme,2017-05-01 00:00:00,Kalishir||ViolentCrumble,GDL - Metal Monstrosity Jam,60,141,15,2017-04-28 00:00:00,https://www.itch.io/jam/gdl---metal-monstrosity-jam,y,72.0
