jam_criteria,jam_end_date,jam_name,jam_no_joined,jam_no_rating,jam_no_submissions,jam_start_date,jam_url
,2017-04-02 04:00:00,Horror Funhouse Jam 2017,29,0,6,2017-03-02 05:00:00,https://www.itch.io/jam/horror-funhouse-2017
,2018-10-31 05:00:00,LGBT Writing Jam 2018!,23,0,5,2018-09-02 05:00:00,https://www.itch.io/jam/lgbt-writing-jam-2018
,2016-09-22 14:21:00,This Summer Jam,22,0,2,2016-09-08 14:21:00,https://www.itch.io/jam/this-summer-jam
,2016-06-06 10:00:00,Kuso Game Jam 2016,54,186,24,2016-06-03 10:00:00,https://www.itch.io/jam/kuso-game-jam-2016
Overall||Originality||Graphics||Audio||Story||Controls||Fun||Theme,2018-02-19 05:59:59,MonoGameJam,49,60,10,2018-02-11 03:00:00,https://www.itch.io/jam/monogamejam
,2017-01-09 06:00:00,Vulcan Jam,19,0,7,2017-01-01 06:00:00,https://www.itch.io/jam/vulcanjam
,2019-01-14 04:59:59,Odd Weekend Game Jam 19,19,0,3,2019-01-11 05:00:00,https://www.itch.io/jam/odd-weekend-game-jam-19
,2018-11-01 05:00:00,#devtober,37,0,7,2018-10-01 05:00:00,https://www.itch.io/jam/devtober
Overall,2018-11-19 06:00:00,Games vs Nazis II,35,0,8,2018-11-09 06:00:00,https://www.itch.io/jam/games-vs-nazis-ii
Overall||Theme||Creativity||Technical Achievmant||Polish||Entertainment||Bonus Points,2018-06-18 00:29:00,GCO Game Jam 2018,33,35,10,2018-06-16 00:00:00,https://www.itch.io/jam/gco-game-jam-2018
Overall Enjoyment||Use Of Theme||Creativity||Visuals||Gameplay Enjoyment||Audio,2019-09-09 03:59:59,Untitled Game Jam #6,30,7,2,2019-08-30 04:00:00,https://www.itch.io/jam/untitled-game-jam-6
Fun||This Game Will Have A Good Future||Personal (you cant describe but still you want to vote for it),2019-08-30 17:00:00,Only Card Game Allowed,27,0,2,2019-08-06 17:00:00,https://www.itch.io/jam/only-card-game
Overall||Creativity||Artistry||Musicality||Funability,2016-05-15 19:30:00,/r/WebGames Game Jam,27,84,9,2016-05-08 19:00:00,https://www.itch.io/jam/webgames-game-jam
Overall||Audio||Originalidad||Jugabilidad||Tema||Gráficos,2019-08-08 18:00:00,Indie Dev Jam en Español #4,26,49,9,2019-08-01 18:00:00,https://www.itch.io/jam/indie-dev-jam-es-4
Overall||fun||originality||creativity||art style,2017-02-21 23:00:00,Yoobee Game Jam,24,90,25,2016-04-10 12:00:00,https://www.itch.io/jam/yoobee
,2019-07-16 04:00:00,"Chronicles GameDev Challenge, Week 15",12,0,2,2019-07-09 04:00:00,https://www.itch.io/jam/chronicles-gamedev-challenge-week-15
,2019-04-15 02:59:00,Game Jam das Minas 2019,11,0,6,2019-03-22 03:00:00,https://www.itch.io/jam/jam-das-minas-2019
,2019-04-30 04:00:00,"Chronicles GameDev Challenge, Week 4",11,0,2,2019-04-23 04:00:00,https://www.itch.io/jam/chronicles-gamedev-challenge-week-4
Overall||Dank||Trip||Chill||Wave,2018-09-14 23:00:00,UE4.20,18,0,1,2018-08-31 23:00:00,https://www.itch.io/jam/420
,2016-04-25 00:00:00,IN.GAME Jam 2016,9,0,6,2016-04-22 00:00:00,https://www.itch.io/jam/ingame-jam-2016
,2015-04-20 20:00:00,One Click Jam,9,0,8,2015-04-10 22:00:00,https://www.itch.io/jam/one-click-jam
,2018-10-28 00:10:00,Babycastles Partab Ramchand Ren'Py Jam,8,0,7,2018-10-27 21:45:00,https://www.itch.io/jam/partab-ramchand-renpy-
,2017-04-21 23:00:00,Belfast GameCraft 2017 @ Farset Labs,8,0,3,2017-03-25 00:00:00,https://www.itch.io/jam/belfast-gamecraft-2017--farset-labs
,2018-06-22 23:00:00,Switcheroo Jam,15,1,1,2018-06-15 23:00:00,https://www.itch.io/jam/switcheroo-jam
,2019-09-29 22:30:00,Semcomp Jam,7,0,4,2019-09-27 22:00:00,https://www.itch.io/jam/semcomp-jam
,2016-12-02 16:00:00,"Pembroke Dock Game Jam (Wales, UK)",6,0,3,2016-11-26 09:00:00,https://www.itch.io/jam/pdgamejam2016
Overall,2018-11-24 00:00:00,PG game jam,13,0,3,2018-11-21 00:00:00,https://www.itch.io/jam/pg-game-jam
,2017-08-21 06:59:59,2017 STDIO Game Jam,12,0,6,2017-08-19 07:00:00,https://www.itch.io/jam/2017-stdio-game-jam
,2017-10-29 06:59:59,October Rainbow Jam,5,0,1,2017-10-15 07:00:00,https://www.itch.io/jam/october-rainbow-jam
Offensive Game||Theme||Art||Mechanics||Addictive||Funny||Sh*t game :(||Music,2018-09-15 21:59:59,BLACK HUMOR JAM,10,0,3,2018-09-11 15:25:00,https://www.itch.io/jam/black-jam
,2019-09-22 17:00:00,Aula Arcade Jam 8,3,0,2,2019-09-20 16:00:00,https://www.itch.io/jam/aula-arcade-jam-8
,2019-04-19 22:00:00,Mange ta ville,2,0,2,2019-04-17 22:00:00,https://www.itch.io/jam/mange-ta-ville
,2019-09-16 02:59:59,JotaDê Jam Semanal #6,1,0,1,2019-09-09 03:00:00,https://www.itch.io/jam/jdjam6
Overall||Creativity||Experience||Relevance to Theme,2019-04-26 04:00:00,UJC #2- Youtube Judging of the Jam- Medicine Theme,7,0,2,2019-04-01 04:00:00,https://www.itch.io/jam/ujc-2-youtube-judging-
,2016-02-21 05:00:00,GAME FOR EUKARIA 20016,1,0,1,2016-01-10 05:00:00,https://www.itch.io/jam/Eukaria
Overall||How well does it defy the genre?||Does it play well?,2017-05-31 19:21:45,Break the Box Jam,6,0,1,2017-05-17 19:22:04,https://www.itch.io/jam/break-the-box-defy-expectations
Overall||Did it match the theme?||Is it fun?||Is it complete?||Final Game Presentation?,2018-02-05 07:40:59,OC Tilted Game Jam February 2018,5,1,1,2018-02-04 19:00:00,https://www.itch.io/jam/oc-tilted-game-jam-february-2018
,2019-02-15 06:00:00,The Balloon Co Reverse Exploitation Anti-Contest JAM,4,0,2,2018-12-15 06:00:00,https://www.itch.io/jam/bc20182019
,2018-06-28 04:00:00,Cover Jam!,1,0,1,2018-06-19 04:00:00,https://www.itch.io/jam/cover-jam
Overall||Creativity and Design||Innovation||Music||UI||Graphics,2018-02-01 18:30:00,Get a PAID asset_JAM #1,3,4,2,2018-01-26 18:30:00,https://www.itch.io/jam/get-a-paid-asset-jam-1
Overall||Graphics - How well are the graphics implemented into the game?||Story/Purpose - Does it stand out as a completely different game?||Originality - Is the game original or a complete knockoff?,2015-11-22 05:00:00,2D Physics Game Jam - November 2015,1,3,1,2015-11-01 04:00:00,https://www.itch.io/jam/2dphysics-november
,2019-09-22 21:59:59,Spiltalent - september 2019,1,0,1,2019-09-02 22:00:00,https://www.itch.io/jam/spiltalent-sep-2019
Overall,2015-10-25 04:00:00,Pinball jammin',1,0,1,2015-10-13 04:00:00,https://www.itch.io/jam/pinball-jammin
Overall||Addictive||Comedy||Management||Design||Innovative||Mood||the thing,2015-07-30 18:00:00,"Tycoon Jam #1,theme (Small business)",1,2,1,2015-06-29 18:00:00,https://www.itch.io/jam/Tj
,2016-03-27 22:00:00,Purple Monkey Game Jam March 2016,1,0,1,2016-03-26 14:00:00,https://www.itch.io/jam/purple-monkey-game-jam-march-2016
Overall,2018-06-29 07:00:00,-Unofficial- Bitsy Jam,1,0,1,2018-06-24 07:00:00,https://www.itch.io/jam/-unofficial-bitsy-jam
,2015-03-08 07:59:59,Day 6 Jam,1,0,1,2015-03-07 07:59:59,https://www.itch.io/jam/day-6-jam
Overall||Story||Creativity||Graphics||Sound||Themes,2015-07-29 22:00:00,The CMG Summer July Jam 2015,1,0,1,2015-06-30 22:00:00,https://www.itch.io/jam/cmg-summer-jam-2015
Overall,2016-02-29 17:30:00,Galactic Studios Signup Exam,1,0,1,2016-01-03 00:20:12,https://www.itch.io/jam/galactic-studios-signup-exam
Animeness||Originality||Plot||Quality,2017-11-01 13:00:00,Anime Jam,1,0,1,2017-10-29 13:00:00,https://www.itch.io/jam/anime-jam
,2019-06-24 04:00:00,They Come From Space Jam (Just for fun),1,0,1,2019-06-20 04:00:00,https://www.itch.io/jam/they-come-from-space-jam
Overall||Overall||Gameplay||Fun||Story||Mood||Audio-,2016-05-31 01:00:00,Drug Jam #3,1,1,1,2016-05-28 01:00:00,https://www.itch.io/jam/drug-jam-3
,2018-01-11 04:59:59,WPI Break Jam: New Regime,1,0,1,2017-12-15 05:00:00,https://www.itch.io/jam/wpi-break-jam-winter-17-18
,2018-08-16 04:00:00,Exquisite  Corpse Jam,1,0,5,2018-08-02 04:00:00,https://www.itch.io/jam/exquisite-corpse-jam
,2018-03-03 19:15:00,WHS Videogame Design Club: Invasions Game Jam,1,0,1,2018-02-01 05:00:00,https://www.itch.io/jam/whs-videogame-design-club-invasions-game-jam
,2017-06-01 03:59:59,Pico-8 Jam,1,0,1,2017-05-29 04:00:00,https://www.itch.io/jam/pico-8-jam
,2015-07-31 03:00:00,IceMice Jam,1,0,1,2015-07-01 03:00:00,https://www.itch.io/jam/icemice-jam
Overall||Best Graphics||Best Music||Best SFX||Best Overall,2015-10-12 22:01:55,Burgers 'N' Fries Jam III,1,1,1,2015-10-08 22:01:15,https://www.itch.io/jam/burgers-n-fries-jam-iii
,2015-06-18 04:00:00,Games Tools Challenge,1,0,1,2015-06-05 12:00:00,https://www.itch.io/jam/gtchallenge
,2018-11-14 00:00:00,Idea Jam #3,1,0,1,2018-11-07 00:00:00,https://www.itch.io/jam/idea-jam-3
Overall||Creativy||Originality||Replay Value||Enjoyment,2016-01-12 00:00:00,RPG Maker Jam 1,1,0,1,2015-12-05 00:00:00,https://www.itch.io/jam/rpg-maker-jam-1
,2015-06-30 22:00:00,Japanizam 2015,1,0,1,2015-06-22 22:00:00,https://www.itch.io/jam/japanizam-2015
,2018-02-15 23:00:00,Sharing Week ESG - 2018,1,0,2,2018-02-11 23:00:00,https://www.itch.io/jam/sharing-week-esg-2018
Overall,2018-05-06 14:59:59,일주일에 게임 하나 만들기(Game A Week) 1805[00],1,0,1,2018-04-29 15:00:00,https://www.itch.io/jam/game-a-week-180500
,2019-06-20 06:00:00,Sandbox Game Jam,1,0,1,2019-06-11 06:00:00,https://www.itch.io/jam/sandbox-game-jam
,2015-12-30 23:00:00,Moddable games,1,0,1,2015-11-10 23:00:00,https://www.itch.io/jam/moddable-games
Entretainment||Fun||Visual Looking||Addiction||Game Concept,2019-09-02 05:00:00,The AmericaS Jam´s,1,0,1,2019-08-31 03:00:00,https://www.itch.io/jam/the-americas-jams
,2015-06-27 18:30:00,Summer Camp,1,0,11,2015-06-26 17:30:00,https://www.itch.io/jam/summer-camp
Overall||Jugabilidad||Audio||Arte||Tema||Penetración en redes sociales||Uso de diversificadores.,2015-07-24 22:00:00,Game Jam de Comunidades CPMX6 Reto 24,1,0,1,2015-07-23 20:00:00,https://www.itch.io/jam/jamcomunidadescpmx6_reto_24
,2018-06-17 14:59:59,일주일에 게임 하나 만들기(Game A Week) 1806[10],1,0,1,2018-06-10 15:00:00,https://www.itch.io/jam/game-a-week-18060
Overall||Relation to topic||Creativity||Fun,2018-02-22 22:00:00,Scenic screenshot jam #1,1,0,1,2018-02-15 22:00:00,https://www.itch.io/jam/scenic-screenshot-jam-1
1. Amount of Crust||2. Playability||3. Amount Of Work Put In,2019-06-01 02:59:59,The Crusty Jam 2019,1,0,1,2019-03-29 03:00:00,https://www.itch.io/jam/the-crusty-jam-2019
Imaginativeness||Story||Gameplay,2019-07-14 06:07:07,The L'aal Platformer Jam #1,1,0,1,2019-07-07 06:07:07,https://www.itch.io/jam/the-laal-platformer-jam
,2018-07-01 11:00:00,Techkids - Code for Viet Nam 2018,1,0,6,2018-06-30 17:00:00,https://www.itch.io/jam/techkids-code-for-viet-nam-2018
Did you work well?||Is it a game?||Are you proud?,2019-04-19 21:23:23,[Late] Motivation Game Jam,1,0,1,2019-04-17 12:14:14,https://www.itch.io/jam/late-motivation-game-jam
Story||Gameplay||Map||Attention to detail||Engaging story,2019-03-06 03:00:00,OddPotato Jam (Once Upon A Time),1,0,1,2019-02-16 02:00:00,https://www.itch.io/jam/oddpotato-jam
Overall||Enjoyability||Mechanics||Thoughtfullness,2015-04-30 05:00:00,The Minigame Collection,1,0,1,2015-03-09 05:00:00,https://www.itch.io/jam/minigamecollection
Overall,2018-11-17 06:00:00,Nor Gamez,1,0,1,2018-11-10 06:00:00,https://www.itch.io/jam/nor-gamez
,2017-05-20 22:00:00,Mothers Day Jam,1,0,1,2017-05-12 20:25:59,https://www.itch.io/jam/mothers-day-jam-2017
,2015-09-30 21:59:59,Awful Music Modding !,1,0,1,2015-08-25 22:00:00,https://www.itch.io/jam/AMSModding
Overall||Divertido||Funcional||Artístico||Científico,2015-10-24 17:30:00,CCD: La ciencia del arte - Jam Cervantino,1,0,1,2015-10-21 21:00:00,https://www.itch.io/jam/lacienciadelarte
Overall||References to YouTube videos from this YouTuber||How ejoyable the game is to play||Overall graphics of the game||Overall physics of the game,2016-09-01 03:59:59,2D Fan Games,1,0,1,2016-08-29 04:00:00,https://www.itch.io/jam/fan-games
,2019-06-23 22:00:00,Spiltalent - juni 2019,2,0,1,2019-06-02 22:00:00,https://www.itch.io/jam/spiltalent-juni-2019
Overall||Theme||Replayability||Creativity||Concept,2019-04-14 14:00:00,Kingsbuild Jam - No.1,1,1,1,2019-03-31 13:00:00,https://www.itch.io/jam/kingsbuild-jam-no-1
,2016-07-10 07:29:59,Game Jam Done Quick,2,0,0,2016-07-03 16:00:00,https://www.itch.io/jam/game-jam-done-quick
Overall,2015-07-31 22:59:59,The Unofficial NerdCubed Community Game Jam 2015,1,0,1,2015-06-30 23:00:00,https://www.itch.io/jam/n3jam2015
,2015-07-13 03:00:00,Dalek Jam,2,0,2,2015-06-11 03:00:00,https://www.itch.io/jam/dalek-jam
Overall,2017-07-31 22:00:00,5th Indie Game Contest,1,0,1,2017-07-25 22:00:00,https://www.itch.io/jam/5th-indie-game-contest
"How ""anty"" is the game?||How detailed is the game?||Did you enjoy the game?",2017-09-20 04:00:00,The Theme Jam - #1,1,0,1,2017-09-13 04:00:00,https://www.itch.io/jam/theme-game-jam-1-september
Overall||Creativity?||Graphics?||Cat power?,2015-11-02 04:59:00,Cat Attacks,1,1,1,2015-10-18 04:00:00,https://www.itch.io/jam/catattacks
Overall,2018-12-29 20:00:00,MIDWEEK ANIMAL JAM,1,0,1,2018-12-26 08:00:00,https://www.itch.io/jam/midweek-animal-jam
Overall||Gameplay||Graphics,2017-09-24 22:00:00,EGA JAM,1,0,1,2017-09-07 22:00:00,https://www.itch.io/jam/ega-jam
Overall||Fun||Graphics||Sound/Music||Controls/Gameplay||Overall,2015-06-17 16:00:00,What Ever Floats Your Boat Jam,2,2,2,2015-06-14 16:00:00,https://www.itch.io/jam/what-floats-your-boat-jam
,2016-10-16 22:00:00,The Horror Jam,2,0,1,2016-10-14 22:00:00,https://www.itch.io/jam/the-horror-jam-2016
,2019-02-26 01:00:00,MAKE GAME OR KRAWG SQUASH!!,2,0,2,2019-02-15 05:00:00,https://www.itch.io/jam/make-game-or-krawg-squash
Overall,2015-12-31 23:00:00,Yo no olvido el año viejo,2,0,2,2015-12-26 06:00:00,https://www.itch.io/jam/ciao2015
,2019-05-13 13:00:00,Moe Minijam #1 - Team Management,2,0,1,2019-05-10 13:00:00,https://www.itch.io/jam/absolutelymoe-minijam-1
Overall||Is the game is playable ?||Is the game is enjoyable ?||Respect the GoT license ?||Respect the GoT Story ?||Would you buy it ?,2016-06-26 20:00:00,"Gamejams of Thrones, S6E10",2,0,1,2016-06-26 13:00:00,https://www.itch.io/jam/gamejam-of-thrones
,2017-04-02 22:59:59,"Pembroke Dock Beer Jam (Wales, UK)",2,0,2,2017-03-25 10:00:00,https://www.itch.io/jam/pdbeerjam-mar25
Must be educational with accurate information||Wars that need to be included: World War 1 - World War 2 - Future War(s)||How fun is the game?||Answering the questions in the description (not all of them),2018-09-09 07:00:00,Educational Games (technology and war),2,0,1,2018-09-02 07:00:00,https://www.itch.io/jam/educational-games-technologyaffectingwars
,2019-03-21 04:00:00,What's Trending Gamejam,2,0,1,2019-03-04 10:00:00,https://www.itch.io/jam/whats-trending-gamejam
Delivered Message||Fun While Playing||Character Arc/Development,2019-06-27 21:00:00,FurJam,2,0,1,2019-06-02 21:00:00,https://www.itch.io/jam/furjam
Overall,2015-11-30 22:59:59,FORMULA 1 ABU DHABI GRAND PRIX Jam,2,0,2,2015-11-21 23:00:00,https://www.itch.io/jam/formula-1-abu-dhabi-grand-prix-jam
General Opinion of the Game||Music / Sfx||Graphics||Game Feel and Flow,2019-06-06 22:59:59,Retro Challenge 1,2,0,1,2019-06-02 23:00:00,https://www.itch.io/jam/retro-challenge-1
,2019-07-09 03:59:59,Movie Jam #1,2,1,1,2019-07-01 04:00:00,https://www.itch.io/jam/hi-my-name-is-bob-and-why-are-you-reading-the-url
,2017-04-18 19:00:00,Pinky Jam 2!,2,0,1,2017-04-11 19:00:00,https://www.itch.io/jam/pinky-jam-2
,2019-04-28 16:00:00,PCT Game Development Club's Spring Game Jam,2,0,2,2019-04-27 16:00:00,https://www.itch.io/jam/pct-game-development-clubs-spring-game-jam
,2018-07-09 04:59:59,Gaben Jam,2,0,4,2018-06-16 11:15:00,https://www.itch.io/jam/no-java-comma-flash-or-unity
,2019-09-22 18:00:00,48LezGameJam#7,2,0,1,2019-09-20 18:00:00,https://www.itch.io/jam/48lezgamejam7
,2018-06-10 14:59:59,일주일에 게임 하나 만들기(Game A Week) 1806[01],2,0,2,2018-06-03 15:00:00,https://www.itch.io/jam/game-a-week-180601
Gameplay||Arte||Som||Apresentação||Documentação,2019-06-30 03:00:00,Frontin Ludens 2015,2,0,5,2014-11-24 02:00:00,https://www.itch.io/jam/frontinludens2015
,2019-02-24 02:30:00,UCSB GDC Winter Jam 2019,2,0,1,2019-02-23 01:00:00,https://www.itch.io/jam/ucsb-gdc-winter-jam-2019
,2016-03-30 22:00:00,Nordic Game Jam warmup!,2,0,2,2016-03-24 23:00:00,https://www.itch.io/jam/nordic-game-jam-warmup
Overall||Gameplay||Art||Audio||Humor||Fun||Theme,2019-05-27 07:00:00,Professional Jared Awareness Jam,2,2,1,2019-05-20 07:00:00,https://www.itch.io/jam/professional-jared-awareness-jam
,2018-02-25 17:00:00,The Sunday Game Jam 9,2,0,2,2018-02-24 14:00:00,https://www.itch.io/jam/the-sunday-game-jam-9
,2018-07-09 21:59:59,Fabio Jam,2,0,1,2018-07-06 22:00:01,https://www.itch.io/jam/fabio-jam
,2019-07-11 04:00:00,Simulator Jam (For Fun),2,0,1,2019-07-06 04:00:00,https://www.itch.io/jam/simulator-jam-for-fun
Judges Best Overall||Voted Best Overall||Voted Best Graphics||Voted Best Theme-Related||Voted Best Originality||Voted Best Audio,2019-05-15 04:00:00,200 Lines of Code Challenge!,2,1,1,2019-05-11 04:00:00,https://www.itch.io/jam/100-lines-of-code
Overall,2016-02-14 22:59:59,V-Jam 2016 - The ValentinesDay Game Jam,2,0,0,2016-02-11 23:00:00,https://www.itch.io/jam/v-jam-2016-valentinesday-game-jam
,2018-12-25 12:59:59,Offical Paper And Games Christmas Jam 2018,2,0,1,2018-12-11 20:00:00,https://www.itch.io/jam/offical-paper-and-games-christmas-jam
,2016-04-21 05:00:00,MCAD Game Jam #3,2,0,1,2016-04-20 05:00:00,https://www.itch.io/jam/mcad-game-jam-3
How good/engrossing was the game||How well ascii art was implemented into the game,2018-02-01 04:59:59,ASCII Art Game Jam,2,0,1,2018-01-16 01:27:16,https://www.itch.io/jam/ascii-art-game-jam
The Best Game||The Funniest Game||The Most Serious Game||The Most Playable Game,2019-06-23 14:30:00,İstanbul Seçimleri,2,0,1,2019-06-08 07:00:00,https://www.itch.io/jam/istanbul-secimleri
Overall||Pixel Art||Sound||Gameplay||Idea,2019-08-10 15:40:00,NES Game Jam 2,2,0,1,2019-08-03 15:40:00,https://www.itch.io/jam/nes-jam-thingy
,2019-05-28 04:00:00,"Chronicles GameDev Challenge, Week 8",2,0,1,2019-05-21 04:00:00,https://www.itch.io/jam/chronicles-gamedev-challenge-week-8
Overall||Creativeness||Festiveness||Thought Put Into I,2017-12-26 02:40:59,Last Minute Christmas JAM,2,4,2,2017-12-24 02:50:00,https://www.itch.io/jam/last-minute-christmas-jam
,2017-04-25 22:00:00,Nashville's 1st Month-Long Game Jam!,2,0,2,2017-04-24 05:00:00,https://www.itch.io/jam/nashville-april-game-jam
,2019-08-18 07:00:00,30-50 Feral Tatterpigs,2,0,1,2019-08-12 07:00:00,https://www.itch.io/jam/30-50-feral-tatterpigs
,2019-01-16 04:00:00,VARIETY MEGAJAM 2018,2,0,5,2018-12-28 14:21:42,https://www.itch.io/jam/vmj2018
,2019-08-18 21:00:00,JotaDê Jam Semanal #2,2,0,2,2019-08-12 03:00:00,https://www.itch.io/jam/jdjam2
Overall||Jump Scares that make sense!||Creative and spooky story lines!||Sketchy rooms and settings!,2015-11-01 07:00:00,Jack's Horror Jam,2,0,2,2015-10-24 05:56:11,https://www.itch.io/jam/jacks-horror-game-jam
,2019-03-16 00:00:00,Game Design Club's Winter Game Jam,2,0,1,2019-03-09 01:00:00,https://www.itch.io/jam/game-design-clubs-winter-game-jam
,2018-05-27 14:59:59,일주일에 게임 하나 만들기(Game A Week) 1805[11],2,0,1,2018-05-19 15:00:00,https://www.itch.io/jam/game-a-week-180511
Overall,2018-12-31 21:59:59,Snowman themed game jam,2,0,1,2018-12-16 10:00:00,https://www.itch.io/jam/snowman-gamejam
Fun||Accessibility,2019-07-31 22:00:00,Construct 2Gether! [Wario ware style] #1,2,0,1,2019-06-30 22:00:00,https://www.itch.io/jam/construct-2gether
,2018-03-25 22:00:00,IGDA Becker Chapter April Arcade Jam 2018,2,0,2,2018-03-23 22:00:00,https://www.itch.io/jam/igda-becker-april-arcade-jam-2018
Overall||fun||story?||graphics,2019-01-01 07:10:00,1 Hour Challenge,2,0,1,2018-12-31 06:00:00,https://www.itch.io/jam/1-hour-challenge
,2016-11-13 16:00:00,Fall Game Jam 2016,2,0,1,2016-11-12 23:00:00,https://www.itch.io/jam/fall-game-jam-2016
Overall,2019-06-23 23:00:00,Justice JAM - Cops,2,0,2,2019-05-26 23:00:00,https://www.itch.io/jam/justice-jam-cops
Humor||Stupidness,2018-06-11 02:59:59,Stupid Jam,2,2,1,2018-06-08 03:00:00,https://www.itch.io/jam/stupid-jam
,2016-05-30 23:00:00,UM Jam 2016! Unity MultiPlayer,2,0,1,2016-04-30 23:00:00,https://www.itch.io/jam/um-jam-201
,2015-07-18 04:00:00,Week 1 - Choice,2,0,2,2015-07-11 18:27:37,https://www.itch.io/jam/week1
,2019-03-19 00:00:00,Tabletop Jam,2,0,1,2019-03-18 00:00:00,https://www.itch.io/jam/tabletop-jam
,2015-06-01 00:00:00,Isolation Game Jam 2015,2,0,2,2015-05-28 00:00:00,https://www.itch.io/jam/isolation-game-jam-2015
,2018-08-30 03:00:00,Brazillian Journey JAM,2,0,1,2018-08-20 03:00:00,https://www.itch.io/jam/brazillian-journey-jam
,2019-06-21 23:00:00,Geleia Jam 30 horas - Junho,2,0,2,2019-06-20 15:30:00,https://www.itch.io/jam/geleiajam-junho
Overall,2019-04-28 21:59:59,Train jam 2019 - Polish Edition,2,0,1,2019-04-27 22:00:00,https://www.itch.io/jam/jam-w-pocigu
,2018-07-28 04:00:00,Level Up Academy - Summer 2018 - Classic Jam,2,0,6,2018-07-27 04:00:00,https://www.itch.io/jam/luasummerjam2018
,2016-02-03 14:00:00,Spectacle,2,0,2,2016-01-13 14:00:00,https://www.itch.io/jam/spectacle
Overall||Pixel Art||Funny||Galaxy,2016-04-17 21:59:59,Summer in Galaxy - GameJam,2,15,7,2016-03-23 23:00:00,https://www.itch.io/jam/summer-in-galaxy---gamejam
