game_accessibility,game_asset_license,game_ave_session,game_criteria,game_desc_len,game_developers,game_developers_url,game_genres,game_inputs,game_language,game_last_update,game_license,game_made_with,game_name,game_no_ratings,game_no_screenshots,game_platforms,game_price,game_publish_date,game_ranks,game_raw_scores,game_release_date,game_scores,game_size,game_source_code,game_status,game_submission_page,game_tags,game_url,jam_name,jam_url,overall_rank,high_ranking,number_of_developers
,,,Overall,35.0,Game Dynasty,https://game-dynasty.itch.io,Educational,,,22 October 2019 @ 13:58,,,Great Martyr,20.0,6.0,Windows,$1.00 USD,,2,4.250,,4.250,Great Martyr.exe||2 MB||||Windows,,Released,https://itch.io/jam/sibgamejam-2/rate/412602,Ludum Dare 44,https://game-dynasty.itch.io/great-martyr,Siberian Game Jam 2 — Novosibirsk LDJAM #44 Gathering,https://www.itch.io/jam/sibgamejam-2,2,1,1
,,,Overall,4.0,Train Trausti,https://train-trausti.itch.io,,,,,,,Detective John,19.0,1.0,,,,3,4.158,,4.158,build_00.zip||58 MB||||Windows,,In development,https://itch.io/jam/sibgamejam-2/rate/412609,Ludum Dare 44,https://train-trausti.itch.io/detective-jhon,Siberian Game Jam 2 — Novosibirsk LDJAM #44 Gathering,https://www.itch.io/jam/sibgamejam-2,3,1,1
,,,Overall,521.0,uchiro,https://uchiro.itch.io,Adventure,,,,,Unity,A Small Rocket,11.0,7.0,Windows||HTML5,,,12,2.545,,2.256,A-Small-Rocket-win-LD.zip||46 MB||||Windows<>A-Small-Rocket-win-PostLD.zip||51 MB||||Windows,,Released,https://itch.io/jam/sibgamejam-2/rate/412667,Ludum Dare 44,https://uchiro.itch.io/a-small-rocket,Siberian Game Jam 2 — Novosibirsk LDJAM #44 Gathering,https://www.itch.io/jam/sibgamejam-2,12,0,1
,,,Overall,1302.0,Wasted_team,https://wasted-team.itch.io,Simulation,,,,,Unity,Wasted/ Потрачено,12.0,3.0,HTML5,,,14,2.333,,2.160,build.zip||35 MB||||,,Prototype,https://itch.io/jam/sibgamejam-2/rate/412623,Tactical,https://wasted-team.itch.io/wasted-game,Siberian Game Jam 2 — Novosibirsk LDJAM #44 Gathering,https://www.itch.io/jam/sibgamejam-2,14,0,1
,,,Overall,0.0,alex-gam,https://alex-gam.itch.io,,,,,,,BitCatcher,15.0,1.0,HTML5,,,15,2.067,,2.067,,,Released,https://itch.io/jam/sibgamejam-2/rate/412649,Ludum Dare 44,https://alex-gam.itch.io/bitcatcher,Siberian Game Jam 2 — Novosibirsk LDJAM #44 Gathering,https://www.itch.io/jam/sibgamejam-2,15,0,1
,,,Overall||Music||Theme||Graphics||Game Play,317.0,FrancisVace,https://francisvace.itch.io,Platformer,,,,,Unity,Roboleton,17.0,3.0,Windows||HTML5,,,1||1||3||3||3,4.368||4.471||4.235||4.235||4.529,,4.368||4.471||4.235||4.235||4.529,Roboleton.zip||20 MB||||Windows,,Released,https://itch.io/jam/games-factory-1/rate/233452,2-bit||Pixel Art,https://francisvace.itch.io/roboleton,40 Hours Game Jam,https://www.itch.io/jam/games-factory-1,1,1,1
,,A few seconds,Game Play||Theme||Overall||Music||Graphics,271.0,Momo,https://momo-sapien.itch.io,Platformer,Keyboard,English,,,GameMaker: Studio||GIMP,Shift,12.0,4.0,Windows,,,1||1||2||4||14,4.667||4.333||4.021||3.833||3.250,10 March 2018 @ 21:00,4.667||4.333||4.021||3.833||3.250,Shift.exe||3 MB||||Windows<>Shift_Source.gmz||7 MB||||,,Released,https://itch.io/jam/games-factory-1/rate/233479,10-seconds||2D||Gravity||shift,https://momo-sapien.itch.io/shift,40 Hours Game Jam,https://www.itch.io/jam/games-factory-1,2,1,1
,,A few seconds,Game Play||Theme||Overall||Graphics||Music,86.0,LittleOwlGames,https://littleowlgames.itch.io,Platformer,Keyboard||Mouse,English,,,Construct,10 Second DASH,12.0,1.0,HTML5,,,11||12||18||25||29,3.333||3.500||2.854||2.750||1.833,,3.333||3.500||2.854||2.750||1.833,,,Prototype,https://itch.io/jam/games-factory-1/rate/233463,Pixel Art,https://littleowlgames.itch.io/10-second-dash,40 Hours Game Jam,https://www.itch.io/jam/games-factory-1,18,0,1
,,,Theme||Graphics||Overall||Game Play||Music,0.0,Defuse,https://defuse.itch.io,,,,,,,DefuseBomb,11.0,1.0,Windows,,,14||18||26||27||35,3.364||3.091||2.500||2.182||1.364,,3.364||3.091||2.500||2.182||1.364,,,Released,https://itch.io/jam/games-factory-1/rate/233497,,https://defuse.itch.io/defusebomb,40 Hours Game Jam,https://www.itch.io/jam/games-factory-1,26,0,1
,,A few minutes,The most Helpful Team||The most Fun Game||Overall||The most BIFFF Thematic,986.0,grungi,https://grungi.itch.io,Puzzle||Action,Keyboard,English,,,Unity||MagicaVoxel,TransienT,11.0,1.0,Windows,Name your own price,,1||1||1||2,4.000||5.000||4.333||4.000,,4.000||5.000||4.333||4.000,TransienT-1.1 - Jam Submission||23 MB||||Windows<>TransienT 1.2 - Latest||23 MB||||Windows,,Prototype,https://itch.io/jam/blendingjam19/rate/392057,3D||glitch||indie||metal||Voxel||voxelart,https://grungi.itch.io/transient,BlendingJam19,https://www.itch.io/jam/blendingjam19,1,1,1
,,,The most Helpful Team||The most Fun Game||Overall||The most BIFFF Thematic,146.0,Apophenia 23||Studio Waterzooi,https://apophenia-23.itch.io||https://studiowaterzooi.itch.io,,,,,,,On The Edge,11.0,1.0,Windows||macOS,Name your own price,,2||2||2||3,5.000||5.000||5.000||5.000,,3.536||3.536||3.536||3.536,On The Edge MacOSX.zip||32 MB||||macOS<>On The Edge Win64||30 MB||||Windows,,Released,https://itch.io/jam/blendingjam19/rate/392008,2D||Atmospheric||Casual||Colorful||Funny||Meaningful Choices||Relaxing||Short||Slice Of Life||weird,https://apophenia-23.itch.io/on-the-edge,BlendingJam19,https://www.itch.io/jam/blendingjam19,2,1,2
,,,The most BIFFF Thematic||The most Fun Game||Overall||The most Helpful Team,731.0,gaet,https://gaet.itch.io,Action,,,,,,Crumble,11.0,4.0,HTML5,,,3||7||8||9,5.000||4.000||3.333||1.000,,3.536||2.828||2.357||0.707,,,Prototype,https://itch.io/jam/blendingjam19/rate/392072,2D||Isometric,https://gaet.itch.io/crumble,BlendingJam19,https://www.itch.io/jam/blendingjam19,8,0,1
,,,The most Helpful Team||The most BIFFF Thematic||The most Fun Game||Overall,1337.0,Team Oxiri||TheRavenstar||jeryMaker||thomas_sempai||Feyriane Does Art,https://team-oxiri.itch.io||https://theravenstar.itch.io||https://jerymaker.itch.io||https://thomas-sempai.itch.io||https://feyriane-does-art.itch.io,Card Game,,,,,,Oxiri,10.0,8.0,Windows,,,7||9||9||9,3.000||2.000||2.000||2.333,,2.121||1.414||1.414||1.650,Oxiri||20 MB||||Windows<>Oxiri cards||4 MB||||,,In development,https://itch.io/jam/blendingjam19/rate/392016,apocalypse||artificial-intelligence||Multiplayer||Turn-based||Unity,https://team-oxiri.itch.io/oxiri,BlendingJam19,https://www.itch.io/jam/blendingjam19,9,0,5
,,,Goodness,163.0,reallyjoel,https://reallyjoel.itch.io,Action,,,,,,Violet Metal,17.0,1.0,Windows,,,1,4.529,,4.529,violetmetal.zip||28 MB||||Windows,,Released,https://itch.io/jam/no-more-sweden-2017/rate/150381,,https://reallyjoel.itch.io/violet-metal,No More Sweden 2017,https://www.itch.io/jam/no-more-sweden-2017,1,1,1
,,,Goodness,43.0,wilnyl,https://wilnyl.itch.io,,,,,,,Stick Brawl,16.0,1.0,,,,2,4.375,,4.375,,,In development,https://itch.io/jam/no-more-sweden-2017/rate/150368,,https://wilnyl.itch.io/stick-brawl,No More Sweden 2017,https://www.itch.io/jam/no-more-sweden-2017,2,1,1
,,About a half-hour,Goodness,772.0,YCJY,https://ycjy.itch.io,Action,Keyboard||Xbox controller||Gamepad (any),English,04 November 2019 @ 13:59,,GameMaker: Studio,SEA SALT,20.0,7.0,Windows,$14.99 USD,,3,4.350,,4.350,Sea Salt 1.1.1||1 GB||||Windows,,Released,https://itch.io/jam/no-more-sweden-2017/rate/150327,action-strategy||Atmospheric||Dark Fantasy||GameMaker||Gothic||Monsters||occult||Pixel Art||reverse-horror||sea-salt,https://ycjy.itch.io/seasalt,No More Sweden 2017,https://www.itch.io/jam/no-more-sweden-2017,3,1,1
,,,Goodness,19.0,maljx,https://maljx.itch.io,Action,,,,,PICO-8,bombsweeper,10.0,1.0,HTML5,,,12,3.500,,3.264,,,Released,https://itch.io/jam/no-more-sweden-2017/rate/150285,,https://maljx.itch.io/bombsweeper,No More Sweden 2017,https://www.itch.io/jam/no-more-sweden-2017,12,0,1
,,,Goodness,545.0,Ciro Continisio||Hideous,https://ccontinisio.itch.io||https://hideous.itch.io,Action,,,,,,"Pong Clone #24,974",12.0,3.0,Windows||macOS,Name your own price,,13,3.167,,3.167,PongClone24974_Mac.zip||33 MB||||macOS<>PongClone24974_Win32.zip||15 MB||||Windows<>PongClone24974_Win64.zip||17 MB||||Windows,,Prototype,https://itch.io/jam/no-more-sweden-2017/rate/150294,2-players||Breakout||pong,https://ccontinisio.itch.io/pong-clone-24974,No More Sweden 2017,https://www.itch.io/jam/no-more-sweden-2017,13,0,2
,,,Goodness,377.0,serpounce,https://serpounce.itch.io,Strategy,,,,,,DOUBLE TACTICS,12.0,4.0,Windows||macOS,,,13,3.167,,3.167,Double_Tactics_v2_(win)_64bit.zip||23 MB||||Windows<>Double_Tactics_v2_(osx)_64bit.zip||26 MB||||macOS,,In development,https://itch.io/jam/no-more-sweden-2017/rate/150284,Turn-based Strategy,https://serpounce.itch.io/double-tactics,No More Sweden 2017,https://www.itch.io/jam/no-more-sweden-2017,13,0,1
,,,Overall||tabletop||implementation||game design||art||sound,301.0,Jtchen,https://jtchen.itch.io,,,,,,,Double Take,22.0,2.0,,,,1||1||2||2||2||11,3.473||4.364||3.864||3.955||3.545||1.636,,3.473||4.364||3.864||3.955||3.545||1.636,DoubleTakeSubmission.zip||23 MB||||,,In development,https://itch.io/jam/2016-athens-game-jam/rate/60013,3D||Board Game||memorization||Multiplayer||Pixel Art||Virtual Reality (VR),https://jtchen.itch.io/double-take,2016 Athens Game Jam,https://www.itch.io/jam/2016-athens-game-jam,1,1,1
,,,game design||implementation||Overall||art||tabletop||sound,371.0,bean borg||ghast_,https://beanborg.itch.io||https://ghast-147424.itch.io,Puzzle,,,,,,Chaos Clones,23.0,6.0,Windows||macOS,,,1||1||2||4||7||8,4.391||4.000||3.087||3.217||1.609||2.217,,4.391||4.000||3.087||3.217||1.609||2.217,Chaos Clones for OSX.app.zip||18 MB||||macOS<>Chaos Clones For Windows.zip||16 MB||||Windows,,Released,https://itch.io/jam/2016-athens-game-jam/rate/60001,,https://beanborg.itch.io/chaos-clones,2016 Athens Game Jam,https://www.itch.io/jam/2016-athens-game-jam,2,1,2
,,,art||Overall||game design||sound||implementation||tabletop,328.0,zaneev10,https://zaneev10.itch.io,Platformer,,,,,,Copy Cat,19.0,4.0,Windows||macOS,,,1||3||4||5||6||9,4.105||2.968||3.526||2.368||3.263||1.579,,4.105||2.968||3.526||2.368||3.263||1.579,CopyCat.app.zip||33 MB||||macOS<>CopyCat.zip||30 MB||||Windows,,Prototype,https://itch.io/jam/2016-athens-game-jam/rate/59980,Casual||cats||Cute||Game Jam||kitty||Procedural Generation||Runner||Side Scroller||squirrel,https://zaneev10.itch.io/copy-cat,2016 Athens Game Jam,https://www.itch.io/jam/2016-athens-game-jam,3,1,1
,,,sound||implementation||game design||Overall||tabletop||art,427.0,kcmorrison,https://kcmorrison.itch.io,Puzzle,,,,,,Mimeo,15.0,4.0,Android,,,4||7||8||10||12||12,2.800||3.200||3.333||2.640||1.533||2.333,,2.488||2.843||2.962||2.346||1.362||2.073,mimeo.apk||25 MB||||Android,,In development,https://itch.io/jam/2016-athens-game-jam/rate/60011,,https://kcmorrison.itch.io/mimeo,2016 Athens Game Jam,https://www.itch.io/jam/2016-athens-game-jam,10,0,1
,,,art||game design||sound||implementation||tabletop||Overall,209.0,Jonathan Beck,https://jonathan-beck.itch.io,Platformer,,,,,,You Deliver Mail,16.0,6.0,,,,7||9||9||10||10||11,2.938||3.000||2.250||2.875||1.688||2.550,,2.696||2.753||2.065||2.638||1.549||2.340,,,In development,https://itch.io/jam/2016-athens-game-jam/rate/59962,8-Bit||Dungeon Crawler||Top-Down||Zombies,https://jonathan-beck.itch.io/you-deliver-mail,2016 Athens Game Jam,https://www.itch.io/jam/2016-athens-game-jam,11,0,1
,,,tabletop||art||sound||implementation||game design||Overall,412.0,devbomber,https://devbomber.itch.io,Puzzle,,,,,,#Selfie,13.0,6.0,Windows,,,4||9||10||11||12||12,2.000||2.923||2.462||3.077||3.077||2.708,,1.654||2.418||2.036||2.545||2.545||2.240,Selfiegame.zip||12 MB||||Windows,,Prototype,https://itch.io/jam/2016-athens-game-jam/rate/60016,,https://devbomber.itch.io/selfie,2016 Athens Game Jam,https://www.itch.io/jam/2016-athens-game-jam,12,0,1
,,A few minutes,Visuals||Overall||Overall||Gameplay||Creativity,377.0,Pirgos Arcana,https://pirgos-arcana.itch.io,Role Playing,,,,,GameMaker: Studio,Mice & Dungeons RPG,14.0,3.0,Windows,Name your own price,,1||1||1||7||10,4.643||4.357||4.107||3.643||3.786,,4.643||4.357||4.107||3.643||3.786,MiceNDungeons100 lines.gmx.rar||4 MB||||Windows,,Released,https://itch.io/jam/100-lines-of-code-gamemaker-game-jam/rate/233481,Dungeon Crawler||GameMaker||Turn-Based Combat,https://pirgos-arcana.itch.io/mice-dungeons-rpg,100 Lines of Code GameMaker Jam,https://www.itch.io/jam/100-lines-of-code-gamemaker-game-jam,1,1,1
,,A few minutes,Gameplay||Overall||Overall||Creativity||Visuals,328.0,Chippy,https://chippymuffins.itch.io,Action,,,,,GameMaker: Studio,Hillsland,11.0,1.0,HTML5,,,17||27||27||28||28,3.000||2.568||2.636||2.364||2.273,,3.000||2.568||2.636||2.364||2.273,,,Released,https://itch.io/jam/100-lines-of-code-gamemaker-game-jam/rate/233077,Point & Click,https://chippymuffins.itch.io/hillsland,100 Lines of Code GameMaker Jam,https://www.itch.io/jam/100-lines-of-code-gamemaker-game-jam,27,0,1
,,,Overall||Sound / Music||Atmosphere||Theme||Mechanics,499.0,TimRuswick,https://timruswick.itch.io,Survival,,,,,Construct,Sendoff - Survival / Resource Management,20.0,4.0,HTML5,,,1||1||2||4||18,3.900||4.050||4.400||4.000||3.150,,3.900||4.050||4.400||4.000||3.150,,,Prototype,https://itch.io/jam/timdred-jam/rate/383506,,https://timruswick.itch.io/sendoff,Timdred Jam - COMMUNITIES UNITE!,https://www.itch.io/jam/timdred-jam,1,1,1
,,,Theme||Mechanics||Overall||Sound / Music||Atmosphere,451.0,43ther||CillianCreates,https://43ther.itch.io||https://cilliancreates.itch.io,Platformer||Adventure,,,,,Unity,The Fall,17.0,4.0,Windows||HTML5,,,1||2||2||6||10,4.294||4.118||3.838||3.294||3.647,,4.294||4.118||3.838||3.294||3.647,The Fall.zip||21 MB||||Windows,,Prototype,https://itch.io/jam/timdred-jam/rate/383089,2D,https://43ther.itch.io/the-fall,Timdred Jam - COMMUNITIES UNITE!,https://www.itch.io/jam/timdred-jam,2,1,2
,,A few minutes,Atmosphere||Sound / Music||Overall||Mechanics||Theme,304.0,Jonathan Chan,https://jonathanchan.itch.io,,,,,,Unity||Aseprite||Audacity||LMMS,REGRET,13.0,4.0,Windows,Name your own price,,1||2||3||13||34,4.538||4.000||3.712||3.462||2.846,,4.538||4.000||3.712||3.462||2.846,REGRET | Windows||22 MB||||Windows,,Released,https://itch.io/jam/timdred-jam/rate/383505,2D||timdredjam,https://jonathanchan.itch.io/regret,Timdred Jam - COMMUNITIES UNITE!,https://www.itch.io/jam/timdred-jam,3,1,1
,,,Overall||Sound / Music||Atmosphere||Theme||Mechanics,391.0,Serious07,https://serious07.itch.io,Adventure,,,,,Unity,The Deepest Hope,13.0,3.0,Windows||HTML5,Name your own price,,4||5||8||8||10,3.615||3.462||3.692||3.769||3.538,,3.615||3.462||3.692||3.769||3.538,GameWindows.zip||26 MB||||Windows,,Released,https://itch.io/jam/timdred-jam/rate/383235,2D||Singleplayer,https://serious07.itch.io/the-deepest-hope,Timdred Jam - COMMUNITIES UNITE!,https://www.itch.io/jam/timdred-jam,4,1,1
,,,Theme||Mechanics||Atmosphere||Overall||Sound / Music,378.0,Piranha305,https://piranha305.itch.io,Adventure,,,,,,Deep Point,12.0,1.0,HTML5,,,27||30||31||37||46,3.083||2.833||2.917||2.583||1.500,,3.083||2.833||2.917||2.583||1.500,,,Prototype,https://itch.io/jam/timdred-jam/rate/383359,2D||Exploration||underwater,https://piranha305.itch.io/deep-point,Timdred Jam - COMMUNITIES UNITE!,https://www.itch.io/jam/timdred-jam,37,0,1
,,,Theme||Mechanics||Overall||Sound / Music||Atmosphere,248.0,WillC_Squared,https://willc-squared.itch.io,,,,,,Unity,Event Horizon,11.0,1.0,HTML5,,,18||35||42||43||45,3.455||2.636||2.523||1.636||2.364,,3.455||2.636||2.523||1.636||2.364,,,Released,https://itch.io/jam/timdred-jam/rate/383307,,https://willc-squared.itch.io/point-of-no-return,Timdred Jam - COMMUNITIES UNITE!,https://www.itch.io/jam/timdred-jam,42,0,1
,,,Sound / Music||Theme||Mechanics||Atmosphere||Overall,479.0,c0d3d,https://c0d3d.itch.io,Platformer||Fighting,,,,,Unity,Madman in a prison,10.0,4.0,HTML5,,,26||40||45||46||46,2.600||2.400||2.300||2.300||2.400,,2.600||2.400||2.300||2.300||2.400,,,Prototype,https://itch.io/jam/timdred-jam/rate/383400,2D,https://c0d3d.itch.io/madman-in-a-prison,Timdred Jam - COMMUNITIES UNITE!,https://www.itch.io/jam/timdred-jam,46,0,1
,,,Theme||Atmosphere||Sound / Music||Mechanics||Overall,0.0,CoachSisyphus,https://coachsisyphusa.itch.io,Educational,,,,,Unity,P.O.N.R.,13.0,1.0,HTML5,,,50||50||51||51||51,2.077||1.923||1.154||1.769||1.731,,2.077||1.923||1.154||1.769||1.731,,,Released,https://itch.io/jam/timdred-jam/rate/383395,,https://coachsisyphusa.itch.io/ponr,Timdred Jam - COMMUNITIES UNITE!,https://www.itch.io/jam/timdred-jam,51,0,1
,,A few seconds,Presentation||Gameplay||Overall||Overall||Originality,2336.0,ILIKESCIFI,https://ilikescifi.itch.io,Action,Keyboard||Mouse||Smartphone,English,28 October 2019 @ 10:13,,,UEBERNATURAL - The Supernatural Fangame,10.0,10.0,Windows,,02 October 2016 @ 20:07,1||4||6||7||16,3.700||3.000||2.950||2.600||2.500,,3.700||3.000||2.950||2.600||2.500,NEW:  UEBERNatural  -  Demo 3.5 (Windows)||11 MB||27 October 2019 @ 10:07||Windows,,In development,https://itch.io/jam/weirderstuff/rate/88474,akf||dean||ilikescifi||Monsters||Pixel Art||sam||supernatural||super-natural||uebernatural||winchester,https://ilikescifi.itch.io/supernatural-the-videogame,Weirder Stuff,https://www.itch.io/jam/weirderstuff,6,1,1
Subtitles,,About a half-hour,Originality||Gameplay||Overall||Overall||Presentation,829.0,Aver,https://averan.itch.io,Platformer,Keyboard||Mouse,English,24 July 2016 @ 04:00,,Clickteam Fusion,Bloodhack,10.0,7.0,,,16 June 2016 @ 06:13,8||8||9||9||13,2.800||2.600||2.500||2.650||2.700,,2.800||2.600||2.500||2.650||2.700,Bloodhack.exe||42 MB||24 July 2016 @ 03:56||,,Prototype,https://itch.io/jam/weirderstuff/rate/71921,2D||blood||bloodhack||clickteam||clickteam-fusion||fusion||Hacking||iwanttocreate||Puzzle-Platformer,https://averan.itch.io/bloodhack1,Weirder Stuff,https://www.itch.io/jam/weirderstuff,9,0,1
Color-blind friendly||High-contrast||One button,Creative Commons Attribution_NonCommercial v4.0 International,A few minutes,Sound||Mechanics||Overall||Fun||Art,531.0,Morgan von Brylan||bloonsthecat,https://morgan-von-brylan.itch.io||https://bloonsthecat.itch.io,Rhythm,Mouse||Touchscreen,English,,GNU General Public License v3.0 (GPL),,Catch the stars!,11.0,1.0,HTML5,,,1||2||2||2||6,4.273||3.545||3.727||3.636||3.818,17 February 2019 @ 09:30,4.273||3.545||3.727||3.636||3.818,,,Released,https://itch.io/jam/paint-jam-2019/rate/371527,2D||paint-jam||Singleplayer||van-gogh||web,https://morgan-von-brylan.itch.io/catch-the-stars,Paint Jam 2019,https://www.itch.io/jam/paint-jam-2019,2,1,2
,,,Fun||Art||Overall||Mechanics||Sound,152.0,ChromedDragon,https://chromeddragon.itch.io,Shooter,,,,,,Starry Fight - Man vs Bird,14.0,1.0,,,,1||1||3||11||11,3.857||4.500||3.714||2.786||2.286,,3.857||4.500||3.714||2.786||2.286,starry night final.zip||3 MB||||,,Released,https://itch.io/jam/paint-jam-2019/rate/371608,2D||paint||Story Rich,https://chromeddragon.itch.io/starry-fight,Paint Jam 2019,https://www.itch.io/jam/paint-jam-2019,3,1,1
