jam_criteria,jam_end_date,jam_host,jam_name_x,jam_no_joined,jam_no_rating,jam_no_submissions,jam_start_date,jam_url,jam_english,jam_duration,jam_desc_len,jam_name_y,jam_no_illustrations,jam_no_videos,num_hosts,num_criteria
Overall||General||Art||Sound||Bug-Free,2016-11-20 03:00:00,RttStudio,12 Hour Jam,32,70,10,2016-11-19 15:00:00,https://www.itch.io/jam/12-hour-jam,y,12.0,296,12 Hour Jam,0,0,1,5
Overall||Gameplay / Mechanics||Theme-ness (application/use of theme)||Art / Visuals||Music / Sound||Writing / Story,2016-08-27 20:19:00,Galway Game Jam||Darren K,Galway Game Jam 7,20,68,11,2016-08-27 08:00:00,https://www.itch.io/jam/galwaygamejam7,y,12.316666666666666,4753,Galway Game Jam 7,0,0,2,6
Overall||Did it match the theme?||Is it fun?||Is it complete?||Final Game Presentation?,2018-02-05 07:40:59,Jajav33,OC Tilted Game Jam February 2018,5,1,1,2018-02-04 19:00:00,https://www.itch.io/jam/oc-tilted-game-jam-february-2018,y,12.683055555555555,107,OC Tilted Game Jam February 2018,1,2,1,5
Overall,2019-06-30 05:57:00,Jajav33,OC Tilted Game Jam 14,10,0,7,2019-06-29 17:02:00,https://www.itch.io/jam/oc-tilted-game-jam-14,y,12.916666666666666,172,OC Tilted Game Jam 14,1,0,1,1
Overall,2019-04-28 06:59:59,Jajav33,OC Tilted Game Jam 13,4,0,2,2019-04-27 18:00:00,https://www.itch.io/jam/oc-tilted-game-jam-13,y,12.999722222222223,172,OC Tilted Game Jam 13,1,0,1,1
Overall||fun||art||technical||audio,2016-09-24 21:00:00,Shane O'Brien||playtolose||EllieLawson||Patchthesock||ClareByrne||AllSaveOne,SparksJam,52,91,13,2016-09-24 08:00:00,https://www.itch.io/jam/sparksjam-1,y,13.0,2177,SparksJam,0,0,6,5
Overall||Theme||Graphics||Controls||Creativity||Audio,2019-03-17 04:00:00,steampunkprogrammer,Steamy GameJam,67,0,12,2019-03-16 15:00:00,https://www.itch.io/jam/steampunkprogrammer-jam,y,13.0,722,Steamy GameJam,0,0,1,6
Gameplay,2018-11-30 22:59:00,SAE Institute Hamburg,SAE Game Jam,26,76,6,2018-11-30 09:00:00,https://www.itch.io/jam/sae-game-jam,y,13.983333333333333,16,SAE Game Jam,0,0,1,1
Graphics||Gameplay,2019-06-08 22:00:00,BOTVladimir,PaintJam 2,3,0,2,2019-06-08 08:00:00,https://www.itch.io/jam/paint-jam-2,y,14.0,456,PaintJam 2,2,0,1,2
Public choice,2018-10-07 20:50:00,Jam Nation,2.01 - JamNATION + iThrive Games,18,7,13,2018-10-07 04:00:00,https://www.itch.io/jam/201-jamnation-ithrive-games,y,16.833333333333332,282,2.01 - JamNATION + iThrive Games,0,0,1,1
Overall,2019-02-23 17:00:00,vyznawca,TK Game Jam 2019,65,0,52,2019-02-22 20:00:00,https://www.itch.io/jam/tk-game-jam-2019,y,21.0,0,TK Game Jam 2019,0,0,1,1
Best game,2018-03-03 14:00:00,vyznawca,TK Game Jam 2018,74,28,48,2018-03-02 17:00:00,https://www.itch.io/jam/tk-game-jam-2018,y,21.0,50,TK Game Jam 2018,0,0,1,1
Overall,2017-04-22 17:55:00,Kerneltt,Uni Game Jam 2017  EPIC,3,0,2,2017-04-21 18:00:00,https://www.itch.io/jam/uni-game-jam-2017-epic,y,23.916666666666668,75,Uni Game Jam 2017  EPIC,0,0,1,1
Overall||Goal: The player has an objective to accomplish to win the game.||Rules: It is clear what the player must do and cannot do.||Space: The game takes place in a defined space that adds to the interest.||Theme: This jam’s theme is:  “Cyberpunk”||Prototype: This game is a functional Minimum Viable Product / Prototype.,2017-10-21 23:55:00,Voxel Collective||aradhalia||kylahi||Corey King||fiscalhalo336,Spooky Game Jam 2017,26,167,10,2017-10-21 00:00:00,https://www.itch.io/jam/spooky-game-jam-2017,y,23.916666666666668,10594,Spooky Game Jam 2017,0,0,5,6
Overall,2017-11-01 06:59:59,CrazieGames,Halloween Game Jam 2017,21,49,8,2017-10-31 07:00:00,https://www.itch.io/jam/halloween-game-jam-2017,y,23.99972222222222,705,Halloween Game Jam 2017,0,0,1,1
Overall,2019-04-28 21:59:59,juna8001,Train jam 2019 - Polish Edition,2,0,1,2019-04-27 22:00:00,https://www.itch.io/jam/jam-w-pocigu,y,23.99972222222222,18,Train jam 2019 - Polish Edition,0,0,1,1
Entertainment Value||Creativity||Use of Theme||Potential||Mechanics,2019-05-06 04:59:59,kzjackson1,CarlJam 2019,9,9,3,2019-05-05 05:00:00,https://www.itch.io/jam/carljam,y,23.99972222222222,2695,CarlJam 2019,0,0,1,5
Theme||Quality||Gameplay,2019-10-02 03:59:59,Firebreath,Blox Game Jam - Fall,8,1,2,2019-10-01 04:00:00,https://www.itch.io/jam/blox-game-jam-fall,y,23.99972222222222,428,Blox Game Jam - Fall,0,0,1,3
Overall,2018-09-15 21:00:00,JTSenneker,Fragfest Fall Jam 2018,3,0,1,2018-09-14 21:00:00,https://www.itch.io/jam/fragfest-fall-jam-2018,y,24.0,232,Fragfest Fall Jam 2018,0,0,1,1
"""memery"" of the game||games idea||it works...?||is the game dank enough!?||use of unique/good memes||dickbutt?",2017-08-26 21:00:00,alipapapupu||xraiski,Meme game jam!,11,18,6,2017-08-25 21:00:00,https://www.itch.io/jam/meme-game-jam,y,24.0,625,Meme game jam!,0,0,2,6
Globalement||Gameplay||Visuels||Musique et effets sonores||Respect du thème,2018-03-18 13:00:00,Stache||Orbital Game Jam,Orbital Game Jam,93,116,11,2018-03-17 13:00:00,https://www.itch.io/jam/orbital-game-jam,n,24.0,5408,Orbital Game Jam,7,0,2,5
Overall||scary af||ghosts||ghjouls||other things,2016-10-30 16:00:00,tgnate,GrimJam,21,0,2,2016-10-29 16:00:00,https://www.itch.io/jam/grimjam,y,24.0,569,GrimJam,5,0,1,5
Overall,2016-09-10 23:59:59,JJB Gaming,#24HourGameJam,4,0,2,2016-09-09 23:59:59,https://www.itch.io/jam/24hourgamejam,y,24.0,96,#24HourGameJam,0,0,1,1
Overall||Creativity||aesthetics,2017-05-31 11:00:00,LucasRAB,me and ted jammy,3,0,1,2017-05-30 11:00:00,https://www.itch.io/jam/me-and-ted-jammy,y,24.0,263,me and ted jammy,0,0,1,3
Overall||Use of Theme||Innovation||Visuals||Sound||Gameplay||Juiciness,2015-12-06 11:00:00,OxyOxspring,#LincJam 24 Hour Game Jam,10,0,7,2015-12-05 11:00:00,https://www.itch.io/jam/lincjam-dec-2015,y,24.0,1740,#LincJam 24 Hour Game Jam,0,0,1,7
Overall||Theme||Quality||Integration||Mood,2019-08-17 17:00:00,CalixJumio,Asset Market Jam,5,0,3,2019-08-16 17:00:00,https://www.itch.io/jam/asset-market-jam,y,24.0,2471,Asset Market Jam,0,0,1,5
Overall,2017-04-09 02:00:00,OneratGames,Jamingtons,45,0,12,2017-04-08 02:00:00,https://www.itch.io/jam/jamingtons,y,24.0,1019,Jamingtons,0,0,1,1
Overall||Originality||Creativity||Wieldness||Funness,2016-07-27 21:00:00,Moon Light Games,Prototype Game Jam 24h! (#PrototypeGameJam),7,1,1,2016-07-26 21:00:00,https://www.itch.io/jam/prototype-jam,y,24.0,670,Prototype Game Jam 24h! (#PrototypeGameJam),0,0,1,5
Respect of the theme||Respect of constraints||Originality||Beauty,2018-09-13 14:00:00,Koladz,Art Design Kompet (for graphic designers) #1,9,10,4,2018-09-12 14:00:00,https://www.itch.io/jam/art-design-kompet-1,y,24.0,1189,Art Design Kompet (for graphic designers) #1,2,0,1,4
Fun||Innovation||Theme||Graphics||Audio||Mood,2019-07-21 11:00:00,Elrathor,🦆 QuackJam,5,1,2,2019-07-20 11:00:00,https://www.itch.io/jam/quackjam,y,24.0,991,🦆 QuackJam,0,0,1,6
Overall,2016-01-09 18:00:00,Aless,Paul Valéry in Game,9,0,6,2016-01-08 18:00:00,https://www.itch.io/jam/paul-valry-in-game,y,24.0,238,Paul Valéry in Game,0,0,1,1
Theme||Creativity||Replayability,2019-10-13 10:00:00,mudlee,Rush24,6,2,2,2019-10-12 10:00:00,https://www.itch.io/jam/rush24,y,24.0,1319,Rush24,0,0,1,3
Globalement||Gameplay||Visuels||Musique et effets sonores||Respect du thème,2019-03-03 13:15:00,Stache,"Orbital Game Jam, Round 2",60,116,14,2019-03-02 13:00:00,https://www.itch.io/jam/orbital-game-jam-2,n,24.25,5738,"Orbital Game Jam, Round 2",7,0,1,5
"General (Opinión general del juego desde todos los aspectos)||Tema (Que tan bien se implementó el tema)||Diversión (Que tan divertido es jugarlo, que tan fácil es jugarlo)||Arte (La estética y que tan bien se ve el juego)||Audio (Que tan bueno es el audio respecto al ambiente del juego)||Innovación (Algo diferente muy notable)",2018-11-25 19:55:00,Omar Leonardo Pino Reyes,Gamejam Uniandes 2018,11,283,9,2018-11-24 19:30:00,https://www.itch.io/jam/gamejam-uniandes-2018-2,n,24.416666666666668,3930,Gamejam Uniandes 2018,0,0,1,6
How well the three main features are made?||How original does the three main features feel?||Does the game feel polished?,2018-11-25 18:00:00,Jestercraft,Jestercraft Game Jam #1,15,16,6,2018-11-24 17:00:00,https://www.itch.io/jam/jestercraft-game-jam-1,y,25.0,2265,Jestercraft Game Jam #1,0,0,1,3
Overall||fun||story?||graphics,2019-01-01 07:10:00,ZenethGameMaker106,1 Hour Challenge,2,0,1,2018-12-31 06:00:00,https://www.itch.io/jam/1-hour-challenge,y,25.166666666666668,41,1 Hour Challenge,0,0,1,4
Overall||Visuals||Gameplay||Coherency(lack of bugs),2018-10-01 07:30:00,David McCann,AIE 2018 September Game Jam,15,5,7,2018-09-30 05:30:00,https://www.itch.io/jam/aie-2018-september-game-jam,y,26.0,132,AIE 2018 September Game Jam,0,0,1,4
Overall||Jugabilidad||Audio||Arte||Tema||Penetración en redes sociales||Uso de diversificadores.,2015-07-24 22:00:00,Astucia,Game Jam de Comunidades CPMX6 Reto 24,1,0,1,2015-07-23 20:00:00,https://www.itch.io/jam/jamcomunidadescpmx6_reto_24,n,26.0,2323,Game Jam de Comunidades CPMX6 Reto 24,0,0,1,7
Overall||Fun||Idea||Appearance||Mechanics||Stability,2017-07-22 21:30:00,Garzec,SPPRO Discord GameJam,15,96,7,2017-07-21 19:00:00,https://www.itch.io/jam/sppro-discord-gamejam,y,26.5,337,SPPRO Discord GameJam,0,0,1,6
Overall||Innovation – Die unerwartete einzigartige Idee.||Fun – Hattest du Spaß beim Spielen?||Theme – Wie gut passt das Spiel zum Thema? War es kreativ?||Graphics – Wie hat dir die Optik gefallen?.||Audio – Wie gut waren Sounds und Musik?||Mood – Wie war die Atmosphäre?||Stability - Gab es Bugs oder Probleme?||Overall – Wie war dein Gesamteindruck?,2018-09-22 20:42:00,Garzec,SPPRO Discord GameJam 6,13,23,5,2018-09-21 18:00:00,https://www.itch.io/jam/sppro-discord-gamejam-6,n,26.7,946,SPPRO Discord GameJam 6,0,0,1,9
Overall||Innovation – The unexpected unique idea.||Fun – Did you enjoy playing the game?||Theme – Does the game suit the theme? Is it a creative one?||Graphics – The look of the game.||Audio – How did the game sound?||Mood – The atmosphere of the game.||Stability - Is the system stable?||Overall – Your overall opinion of the game.,2017-11-18 22:59:59,Garzec,SPPRO Discord GameJam 3,8,6,3,2017-11-17 19:00:00,https://www.itch.io/jam/sppro-discord-gamejam-3,y,27.99972222222222,339,SPPRO Discord GameJam 3,0,0,1,9
Overall,2016-02-06 16:15:00,Pumpenkarl||avi90,Game Jam 2016 @fh salzburg,9,0,9,2016-02-05 12:00:00,https://www.itch.io/jam/game-jam-fhs-2016,y,28.25,64,Game Jam 2016 @fh salzburg,0,0,2,1
Overall||Overall||Theme/Modifiers||Graphics/Artstyle||Audio/Music||Innovation||Fun,2015-03-29 15:00:00,OxyOxspring,"The National Videogame Arcade ""JumpJam""",10,10,7,2015-03-28 10:30:00,https://www.itch.io/jam/jumpjam,y,28.5,2674,"The National Videogame Arcade ""JumpJam""",0,1,1,7
Overall,2015-01-16 23:00:00,Talha Kaya,4 Hour Jam #0,4,0,4,2015-01-15 18:00:00,https://www.itch.io/jam/4-hour-jam-0,y,29.0,808,4 Hour Jam #0,0,0,1,1
Overall||Creativity||Adherence to Theme||Fun Factor,2016-12-04 04:59:59,Skidmore Game Labs,GameJam@Skidmore,7,0,2,2016-12-02 23:00:00,https://www.itch.io/jam/gamejamskidmore,y,29.99972222222222,1173,GameJam@Skidmore,0,0,1,4
Overall||Queerness||Feels||Giggles||Inappropriate? Unplayable?,2016-10-17 07:00:00,Zoyander Street,One Day Jam,58,54,16,2016-10-15 23:00:00,https://www.itch.io/jam/one-day-jam,y,32.0,3447,One Day Jam,0,0,1,5
Overall||Idea||Graphics||Gameplay||Theme||Sound,2014-11-23 16:00:00,andreadst,MONSTER GAMEJAM,11,124,10,2014-11-22 08:00:00,https://www.itch.io/jam/monster-gamejam,y,32.0,285,MONSTER GAMEJAM,0,0,1,6
Content||Creativity||Theme||Accessibility||Engagement,2017-09-17 23:00:00,pickeringpubliclibrary,PPL Game Jam 2017,11,0,7,2017-09-16 14:00:00,https://www.itch.io/jam/pplgamejam,y,33.0,423,PPL Game Jam 2017,0,0,1,5
Overall,2019-04-28 16:02:04,Andrey Viktorov||Felegz,Siberian Game Jam 2 — Novosibirsk LDJAM #44 Gathering,32,245,16,2019-04-27 07:00:00,https://www.itch.io/jam/sibgamejam-2,y,33.034444444444446,89,Siberian Game Jam 2 — Novosibirsk LDJAM #44 Gathering,0,0,2,1
Overall||Innovation||Fun||Graphics||Audio||DARKNESS - How well an entry suits the theme.||Humor,2017-10-22 19:25:00,1GAMGalway,1GAM Galway Jam,10,27,9,2017-10-21 08:00:00,https://www.itch.io/jam/1gam-galway-jam-october-2017,y,35.416666666666664,2359,1GAM Galway Jam,0,0,1,7
Overall||Criatividade||Diversão||Beleza||Adequação ao tema,2018-11-03 11:00:00,Dev-U,Dev-Ween,14,18,3,2018-11-01 23:00:00,https://www.itch.io/jam/dev-ween,n,36.0,1171,Dev-Ween,0,0,1,5
Overall||真Kuso / Very Kuso||這遊戲一點也不糞 / Fun||前方高能 / Not Safe For Work,2017-06-18 14:00:00,tppr2046||PLAYBILLY,Kuso Game Jam 2017,42,143,32,2017-06-17 02:00:00,https://www.itch.io/jam/kuso-game-jam-2017,y,36.0,2766,Kuso Game Jam 2017,0,0,2,4
Overall||Jam - Mejor Arte||Jam - Mejor Diseño||Jam - Mejor Implementación del tema||Jam - Mejor Audio||Jam - Mejor Juego||Adaptive Controller||Longplay - Mejor Juego,2019-06-18 19:00:00,ESNE Videojuegos,ESNE GameJamOn II,38,0,32,2019-06-17 07:00:00,https://www.itch.io/jam/esne-gamejamon,n,36.0,3045,ESNE GameJamOn II,0,0,1,8
Overall||General||Graphics||Sound||Bug-Free,2016-12-04 08:00:00,RttStudio,12HJam 2,19,11,5,2016-12-02 20:00:00,https://www.itch.io/jam/12hjam-2,y,36.0,463,12HJam 2,0,0,1,5
Overall,2018-04-10 06:00:00,Jajav33,OC Tilted Game Jam March 2108,5,0,1,2018-04-08 18:00:00,https://www.itch.io/jam/oc-tilted-game-jam-march-2018,y,36.0,91,OC Tilted Game Jam March 2108,1,2,1,1
Overall||Best Game||Best Game Mechanics||Best Sound||Best Aestethics||Voyager - Most far out,2015-08-09 10:00:00,indiejam,Indie jam 2015 Summer jam,15,0,12,2015-08-07 22:00:00,https://www.itch.io/jam/summerjam,y,36.0,846,Indie jam 2015 Summer jam,0,0,1,6
Gameplay||Innovation||Fun||Coherence,2017-11-19 09:45:00,sunbro||Zibelenine||LeBleu,GGames,16,0,9,2017-11-17 19:30:00,https://www.itch.io/jam/ggames,y,38.25,1070,GGames,0,0,3,4
"General (tu opinión del juego considerando todo)||Sonido||Gráficos||Diversión||Tema (¿qué tanto tiene que ver con el tema ""Abstracto""?)",2018-05-13 19:15:00,jramell,Gamejam Uniandes 2018,13,286,11,2018-05-12 05:00:00,https://www.itch.io/jam/gamejam-uniandes-2018,n,38.25,375,Gamejam Uniandes 2018,0,0,1,5
Overall,2018-10-01 06:59:59,VGDA,VGDA Kick-Off GameJam Fall'18,7,0,5,2018-09-29 16:00:00,https://www.itch.io/jam/kick-off-gamejam-fall-2018,y,38.999722222222225,22,VGDA Kick-Off GameJam Fall'18,0,0,1,1
Overall,2019-04-02 04:30:00,AIEJam,AIE Jam,14,0,4,2019-03-31 13:30:00,https://www.itch.io/jam/aie-jam,y,39.0,979,AIE Jam,0,0,1,1
Overall||Game Play||Music||Graphics||Theme,2018-03-11 22:59:59,T-Team,40 Hours Game Jam,118,321,33,2018-03-10 07:00:00,https://www.itch.io/jam/games-factory-1,y,39.999722222222225,75,40 Hours Game Jam,0,0,1,5
Interpretation of Theme||Gameplay/Mechanics||Learning Curve/Clarity of Rules||Art (and Sound)||Cohesion,2019-10-20 17:00:00,CoMo Game Jam||owlhowell||Bravado Game Studio||spacesharkstudios,CoMo Game Jam VI,17,0,6,2019-10-19 01:00:00,https://www.itch.io/jam/como-game-jam-vi,y,40.0,2843,CoMo Game Jam VI,1,1,4,5
Overall||Interpretation of Theme||Gameplay / Mechanics||Learning Curve / Clarity of Rules||Art (and Sound)||Cohesion,2019-02-03 18:15:00,spacesharkstudios||Virtuous Games,CoMo Game Jam V,13,0,10,2019-02-02 02:00:00,https://www.itch.io/jam/como-game-jam-v,y,40.25,4834,CoMo Game Jam V,1,0,2,6
Overall||The most Helpful Team||The most Fun Game||The most BIFFF Thematic,2019-03-17 12:00:00,handscandance,BlendingJam19,18,123,12,2019-03-15 19:00:00,https://www.itch.io/jam/blendingjam19,y,41.0,240,BlendingJam19,0,0,1,4
Overall||Innovation – The unexpected unique idea.||Fun – Did you enjoy playing the game?||Theme – Does the game suit the theme? Is it a creative one?||Graphics – The look of the game.||Audio – How did the game sound?||Mood – The atmosphere of the game.||Stability - Is the system stable?||Overall – Your overall opinion of the game.,2018-01-28 12:10:00,Garzec,SPPRO Discord GameJam 4,14,40,6,2018-01-26 19:00:00,https://www.itch.io/jam/sppro-discord-gamejam-4,y,41.166666666666664,962,SPPRO Discord GameJam 4,0,0,1,9
Interpretation of Theme||Gameplay / Mechanics||Learning Curve / Clarity of Rules||Art (and Sound)||Cohesion,2018-10-21 17:00:00,spacesharkstudios||brianfitzgerald||Virtuous Games,CoMo Game Jam IV - Swipe!,15,0,10,2018-10-19 23:00:00,https://www.itch.io/jam/como-game-jam-iv,y,42.0,5066,CoMo Game Jam IV - Swipe!,0,0,3,5
Overall||Game Design||Art||Sound||Theme,2019-04-14 18:19:00,Athens GGDA,Athens Game Jam 2019,18,124,9,2019-04-12 22:00:00,https://www.itch.io/jam/athens-game-jam-2019,y,44.31666666666667,34,Athens Game Jam 2019,1,0,1,5
Ocena ogólna gry,2016-12-11 14:25:41,Kbobnis||Teddy's Tummy,Sensei Game Jam,50,1825,33,2016-12-09 18:00:00,https://www.itch.io/jam/sensei-game-jam,n,44.42805555555555,676,Sensei Game Jam,0,0,2,1
Overall||Gameplay||Graphics||Innovation & Creativity||Controls & Usability||Overall Rating,2017-05-28 12:50:00,chillex||pax||Fylmidei,MAYhem Game Jam 2017,10,148,6,2017-05-26 16:00:00,https://www.itch.io/jam/mayhem-2017,y,44.833333333333336,157,MAYhem Game Jam 2017,0,0,3,6
Ton envie de jouer,2018-11-11 14:00:00,himmelattack,Perpignan Game Jam,30,559,15,2018-11-09 17:00:00,https://www.itch.io/jam/perpignan-game-jam,n,45.0,276,Perpignan Game Jam,0,0,1,1
Overall||game design||art||sound||implementation||tabletop,2017-04-09 19:00:00,Athens GGDA||Stephen Borden||zaneev10,2017 Athens Game Jam,14,120,6,2017-04-07 22:00:00,https://www.itch.io/jam/2017-athens-game-jam,y,45.0,231,2017 Athens Game Jam,0,0,3,6
Goodness,2017-06-11 10:15:00,grapefrukt||Erik Svedäng,No More Sweden 2017,32,269,25,2017-06-09 13:00:00,https://www.itch.io/jam/no-more-sweden-2017,y,45.25,0,No More Sweden 2017,1,0,2,1
Overall||Wie gut wurde das Thema umgesetzt?||Wie viel Spaß macht dir das Spiel?||Wie gefällt dir die Optik des Spiels?||Wie gefällt dir der Sound und die Musik des Spiels?||Crazyness - Grad,2019-09-29 13:30:00,Krischan||Josie,Haw Game Jam 4,36,87,6,2019-09-27 16:00:00,https://www.itch.io/jam/haw-game-jam-4,n,45.5,3166,Haw Game Jam 4,2,0,2,6
