game_accessibility,game_ave_session,game_desc_len,game_genres,game_inputs,game_language,game_last_update,game_made_with,game_name,game_no_screenshots,game_platforms,game_price,game_publish_date,game_size,game_status,game_tags,game_url
,,1311,Shooter,,,,,"""Roaring Streets!""",1,Windows,,,4 MB||4 MB,Released,Black and White||Ghosts||Game Maker's Toolkit Jam||maltese||Noir||Pixel Art||Retro||Turn-based||Turn-Based Combat,https://cottontrek.itch.io/roaring-streets
,,1057,,,,,,A Tale of Wind and Sea,6,Windows,,,44 MB,Released,artgame||Atmospheric||Game Jam||Game Maker's Toolkit Jam||Local multiplayer||Multiplayer||Music||nature||Romance,https://tobiasbruch.itch.io/a-tale-of-wind-and-sea
,,273,,,,,,the Ravine,1,Windows||macOS||Linux,,,3 MB||5 MB||3 MB,Released,,https://mateuszskutnik.itch.io/the-ravine
Color-blind friendly||Textless,A few minutes,770,Puzzle,Keyboard||Mouse||Touchscreen,English,,Unity,Magnetic,4,Windows||macOS||Android||HTML5,,,26 MB||41 MB||25 MB||29 MB,Released,3D||Casual||Game Maker's Toolkit Jam||html||magnets||mobile||pc||puzzler||Top-Down,https://prodigalson.itch.io/magnetic
,,1588,Shooter,,,,,Power is Everything,2,Windows,"Name your own price,Name your own price",,21 MB||8 MB,Released,2D||Pixel Art||Shoot 'Em Up||Space,https://stanlewry.itch.io/power-is-everything
,A few minutes,928,Platformer,Keyboard,English,,,Flint,1,Windows,,,2 MB||13 MB||15 MB,Released,,https://nyuu3.itch.io/flint
,,619,Action,,,,,Bounce Blade,3,Windows,"Name your own price,Name your own price",,1 MB,Released,8-Bit,https://realityshifter.itch.io/bounce-blade
,,254,Platformer,,,,,Spirit Glaive,1,Windows,,,2 MB,Released,2D,https://adamkruschwitz.itch.io/spirit-glaive
,,855,,,,,Unity,BOxOxOx,4,Windows||HTML5,,,11 MB,Prototype,2D||box||game-makers-toolkit||Puzzle-Platformer,https://kisetsu.itch.io/boxoxo
,,1156,Action,,,,Unity,Geflect,5,Windows,,,23 MB,Released,2D||8-Bit||Arcade||Bullet Hell||deflect||juice||Pixel Art||Unity,https://beetbomb.itch.io/geflectgame
Color-blind friendly||High-contrast,A few seconds,1140,Action,Keyboard,English||Japanese||Limburgish Limburgan Limburger,,GameMaker: Studio,鏡亀 aka the mirror turtle,1,,,,3 MB,Released,GameMaker||Game Maker's Toolkit Jam,https://getomega.itch.io/the-mirror-turtle
,,562,Action||Platformer,,,,,Switcheroo,1,,,,32 MB,Prototype,,https://tomfinch.itch.io/switcheroo
,,1325,Platformer,,,,,Plover Parent,5,Windows||macOS,"Name your own price,Name your own price",,11 MB||5 MB,Released,game-makers-toolkit||game-makers-toolkit-jam||Game Maker's Toolkit Jam,https://albatrosssoup.itch.io/plover-parent
,,319,Platformer||Puzzle,,,,,Jekyll And Hyde: The Battle for Sanity,1,Flash,,,,,challenge||split-personality,https://kthom295.itch.io/jekyll-and-hyde-the-battle-for-sanity
,,2096,Puzzle,,,,PICO-8,Cross,2,Windows||macOS||Linux||HTML5,,,57 kB||336 kB,Prototype,dual||floor||maze||path||trail,https://juner.itch.io/cross
,,494,Adventure,,,,,Die Sieben Raben,4,Windows||macOS||Linux,,,1 MB,,comic||grimm,https://jonkk.itch.io/die-sieben-raben
,,1281,Shooter,,,,Unity,Lunar Artifacts,1,HTML5,,,,Released,Bullet Hell||danmaku||jam||kaguya||public-domain||Touhou,https://ikizami.itch.io/lunar-artifacts
,,531,Action||Fighting,,,,,heracles vs lion,1,HTML5,,,,Released,8-Bit||heracles||hercules||lowrez-jam||pdjam,https://8bit-ninja.itch.io/heracles-vs-lion
,,1568,Platformer,,,,,John Henry - Steel Driver,3,Windows,,,3 MB,Prototype,pdjam||prototype,https://bloodyhoney.itch.io/john-henry-sd
,,1104,Action,,,,,Red.,1,Unity,,,,,littleredridinghood||pdjam||publicdomainjam||red,https://kenosanpablo.itch.io/red
,,141,Puzzle,,,,,Unfinished Tales,1,Windows||Unity,,,10 MB||13 MB,,shakespeare,https://xelareip.itch.io/unfinished-stories
,,1544,Role Playing||Simulation,,,,Twine,Pride and Prejudice RPG Demo,1,HTML5,,,,Released,bbs||jane-austen||lord,https://mellenka.itch.io/pride-prejudice-rpg-demo
,,860,Action,,,,,The Most Missing Pages,1,Unity,,,,,2014||pdj||public-domain-jam||short-game,https://sieidi.itch.io/the-most-missing-pages
,,1790,Simulation,,,,,Odysseus And The Sea,1,Windows||macOS||Unity,,,59 MB||56 MB||10 MB,,greece||jam||myth||mythology||odysse||public-domain||sailing,https://twitwi.itch.io/odysseus-and-the-sea
,,332,Visual Novel,,,,,Snow,1,Windows,,,45 MB||37 MB,Released,snow||snow-white,https://cosmicmocha.itch.io/snow
,,423,,,,,,Tilting at Giants,1,HTML5,,,,Prototype,don||html5||js||pdjam||quixote||three,https://elrel-studios.itch.io/tilting-at-giants
,About a half-hour,1415,,,,,Twine,Regencypunk,1,HTML5,,,47 kB,,Cyberpunk||prejudice||pride||regency||Twine,https://handwrittenanthony.itch.io/regencypunk
,,145,Adventure,,,,,The Vampire's Lair,4,Windows,"Name your own price,Name your own price",,16 MB,,dracula||Vampire,https://4edges.itch.io/the-vampire-lair
,A few minutes,1638,Shooter,Keyboard||Gamepad (any),,,GIMP||pygame,☱☰☴,6,Windows||macOS||Linux,,,15 MB||24 MB||5 MB,Released,2D||Arcade||Endless,https://ohsqueezy.itch.io/lake
,,386,Simulation,,,,,Money,1,HTML5,,,,,1GAM||3D||cc0||fair||money||pd||pdjam||public-domain,https://xammond.itch.io/money
,,461,Action,,,,,The Adventures of Dorothy on the Yellow Brick Planet,1,Unity,,,,,babies||brick||dorothy||munchkin||oz||planet||Space||Wizards,https://awesomepaul.itch.io/the-adventures-of-dorothy-on-the-yellow-brick-planet
,,665,,,,,,Strike of a Windmill,1,Unity,,,,,don-quixote||filecreation||Multiplayer||public-domain-jam,https://filecreation.itch.io/strike-of-a-windmill
,,1443,Action,,,,,Robot Desert Disco Deflector Rave,1,Windows||macOS,,,32 MB,Released,Game Maker's Toolkit Jam,https://nayn64.itch.io/robot-desert-disco-deflector-rave
,,292,Action,,,,,Quest For Epicness,4,Windows,,,13 MB||26 MB,,epicness||greece||jam||mythology||odyssee||odysseus||quest||ulysse,https://legulysse.itch.io/quest-for-epicness
,,3942,Racing,,,,,Grand Snail Prix -  a local 1v1 racing game,1,Windows||macOS||Linux,,,25 MB||25 MB||23 MB,Released,,https://castlemark.itch.io/grand-snail-prix
,,239,Shooter,,,,,Dodge'em Up,1,Windows,,,74 MB,Released,2D||Game Maker's Toolkit Jam||shootem-up||Unreal Engine,https://inotme.itch.io/dodgeem-up
,,1966,Platformer||Puzzle,,,,,H2O Phases,3,Windows,,,14 MB,Released,,https://akaninja.itch.io/h2o-phases
,,1075,Platformer,,,,Unity,Gravity Error,3,Windows||macOS||Linux||HTML5,Name your own price,,14 MB||13 MB||18 MB||16 MB,Prototype,,https://skslucher.itch.io/gravity-error
One button,A few minutes,3786,Platformer,Mouse,English,,Unity,FireFlies,3,,"Name your own price,Name your own price",,30 MB,Prototype,Atmospheric||Fast-Paced||fire||fireball||flying||magma||rio-puc-games||tense||Time Attack||volcano,https://dannymator.itch.io/fireflies
,A few minutes,865,Platformer,,,,Unity||Adobe Photoshop||Adobe Illustrator,Forwards,4,Windows||HTML5,Name your own price,,19 MB,Released,Game Maker's Toolkit Jam||Unity,https://gravitydefier.itch.io/forwards
,,743,Action,,,,,Rave and Claw -jam version,4,Windows,,,20 MB,Released,2D||one-button||Pixel Art||Short,https://owensenior.itch.io/rave-and-claw
,,639,Shooter,,,,,Sam vs Slimes,1,Windows,"Name your own price,Name your own price",,74 MB,Released,3D||action-shooter||quick-action||Real-Time||slimes,https://piotrtekien.itch.io/sam-vs-slimes
,,2559,Platformer,,,,,In Space No-One Can Hear You Jump,3,Windows||macOS,,,15 MB||3 MB,Released,2D||Game Maker's Toolkit Jam||Sci-fi||Space||Zero Gravity,https://wojworks.itch.io/in-space-no-one-can-hear-you-jump
,,258,Platformer,,,,,Fire Escape,2,Windows||macOS||Linux,"Name your own price,Name your own price",,22 MB||26 MB||24 MB||13 MB,Prototype,fire||Game Maker's Toolkit Jam||Pixel Art||worms,https://nosgoroth.itch.io/fire-escape
,,473,Simulation||Action||Survival,,,,,Wishin' You Were Fishin',4,Windows,"Name your own price,Name your own price",,54 MB,Released,First-Person||Fishing||My First Game Jam,https://norktress.itch.io/wishin-you-were-fishin
,,564,Puzzle||Platformer,,,,GameMaker: Studio,What Goes Up,1,HTML5,,,,Released,2D||Game Maker's Toolkit Jam||grapple||Pixel Art||Space,https://lonebot.itch.io/what-goes-up
,A few minutes,1888,,Keyboard,English,,LÖVE,Spacetris,5,Windows,,,5 MB||5 MB||2 MB,Released,Game Maker's Toolkit Jam||LÖVE||Relaxing||Tetris,https://pfirsich.itch.io/spacetris
,,1835,Action||Adventure||Platformer||Puzzle,,,,PICO-8,Allocation,4,HTML5,,,,Released,2D||Exploration||Game Maker's Toolkit Jam||Metroidvania||PICO-8,https://mush101.itch.io/allocation
,,508,Platformer,,,,,Walkie Tori,3,Windows||macOS,,,17 MB||12 MB||15 MB,Prototype,Game Maker's Toolkit Jam,https://snackycactus.itch.io/walkie-tori
,A few minutes,355,Platformer,,,,GameMaker: Studio||Bfxr,Monochoroma,3,Windows,,,8 MB,Released,2D||Game Maker's Toolkit Jam||My First Game Jam||Puzzle-Platformer||Short,https://teriyakiphantom.itch.io/monochoroma
,,2183,Action,,,,,Fake It to Make It,4,Windows,"Name your own price,Name your own price",,112 MB,Released,3D||cooking,https://sprawl.itch.io/fake-it-to-make-it
,,3156,Fighting,,,,,Spirit Showdown,1,Windows,,,34 MB,Released,,https://chrisholtshouser.itch.io/spirit-showdown
,,323,Platformer,,,,,Defeat The Imp King!,1,Windows,,,2 MB,Released,,https://taboneous.itch.io/defeat-the-imp-king
,,733,Action||Shooter,,,,,Shoot My Way,5,,,,21 MB,Prototype,2D||boosts||colors||Explosions||Game Maker's Toolkit Jam||hard||move||Puzzle-Platformer||screen-shake,https://ric-fm.itch.io/shoot-my-way
,,518,Action||Puzzle,,,,,Broken CAM,1,,,,16 MB,Released,,https://quentin-roze.itch.io/brokencam
Color-blind friendly||One button,About a half-hour,540,Platformer,Mouse||Touchscreen,,,libGDX,Synergy,2,HTML5,,,,In development,ball||Difficult||Game Maker's Toolkit Jam||grappling-hook||Minimalist||Mouse only||Puzzle-Platformer,https://ske.itch.io/synergy
,,1155,Shooter,,,,Stencyl,GET OVER IT,4,Flash,,,,Released,2D||Arcade||avoider||Cute||get-over-it||Game Maker's Toolkit Jam||Pixel Art||Score Attack||Stencyl,https://alexvscoding.itch.io/get-over-it
,A few minutes,704,Platformer||Shooter,Keyboard||Mouse,English,,Unity,Kickshock,3,Windows||macOS||Linux||HTML5,,,16 MB||19 MB||21 MB,Prototype,3D||Gravity||Low-poly||Side Scroller,https://powerspark.itch.io/kickshock
,,881,Platformer,,,,Unity,Planet 17,6,HTML5,,,,Prototype,Game Jam||game_makers_tookit_gamejam||Gravity||Puzzle-Platformer,https://davidstyrbjorn.itch.io/planet-17
,,648,Action,,,,Godot,Glowy Bug Game,4,Windows||Linux||HTML5,Name your own price,,5 MB||9 MB||5 MB||9 MB,Released,Arcade||Endless||Neon||one-button||Top down shooter,https://nykolar.itch.io/glowy-bug-game
,,3902,Shooter,,,,Unity,Command: prompt_,5,Windows||HTML5,,,20 MB,Released,2D||Abstract||Arcade||combos||Controller||Endless||Experimental||Lo-fi||Minimalist||Twin Stick Shooter,https://cyber-twilight.itch.io/command-prompt
,,1234,Shooter,,,,,BOOMERANG X,3,Windows,"Name your own price,Name your own price",,28 MB,Released,,https://dangstudios.itch.io/boomerang-x
High-contrast||Textless,A few minutes,1103,Platformer,Keyboard,English,,,Chamaco The Taco,4,Windows,"Name your own price,Name your own price",,15 MB,Prototype,Atmospheric||Colorful||Experimental||Game Maker's Toolkit Jam||Puzzle-Platformer||Relaxing||vector,https://sverde.itch.io/chamaco-the-taco
,,1335,Platformer,,,,,Gravity Flux,3,Windows,,,61 MB,In development,2D||Arcade||Bullet Hell||combos||Fast-Paced||fun||Perma Death||Procedural Generation||Roguelike||Side Scroller,https://liamroddy.itch.io/gravityflux
,,1751,Strategy,,,,,powerCore,4,Windows,,,19 MB||24 MB,Prototype,blocks||Minimalist||Physics||Tower Defense,https://sanjeev.itch.io/powercore
,,363,Puzzle,,,,,MelonWalker,4,Windows||macOS||Linux,,,30 MB||41 MB||17 MB,Prototype,3D||3D Platformer||Isometric||melon-dog||passwords||Puzzle-Platformer||Virtual Pet,https://cianjames.itch.io/melonwalker
,,1286,Racing,,,,,Slipstream Rider,1,Android,,,26 MB,Released,Arcade||Space,https://mrmasticater.itch.io/slipstream-rider
Subtitles||High-contrast||Interactive tutorial||One button,A few minutes,1161,Adventure,Keyboard||Xbox controller||Gamepad (any),English,,Superpowers,Trouble In Space - GMTK Jam,3,HTML5,,,,Released,Action-Adventure||Top-Down,https://togimaro.itch.io/trouble-in-space
,A few minutes,2100,,Keyboard,,,,Pinto ✿,6,Windows,,,17 MB,Prototype,Game Maker's Toolkit Jam,https://halfpastyellow.itch.io/pinto
,,483,Action,,,,Godot,Water Gunner,1,Windows,,,8 MB,Prototype,2D||Pixel Art||Real-Time||Top down shooter,https://cowthing.itch.io/water-gunner
,,748,Platformer,,,,,Keys to Castle Lockdown,1,Windows,,,22 MB,Prototype,Game Jam||Game Maker's Toolkit Jam,https://broken-lantern.itch.io/keys-to-castle-lockdown
,A few minutes,1855,Platformer,Keyboard||Mouse,English,,,Oeufwakening,7,Windows,,,10 MB,Released,Puzzle-Platformer||Relaxing||Space,https://quentindelvallet.itch.io/oeufwakening
,About a half-hour,1375,Action||Role Playing,Keyboard||Mouse,English,,Unreal Engine,Singularity,4,Windows||Linux,,,323 MB||363 MB,Prototype,Robots||Third-Person Shooter||Top-Down,https://metamorphmas.itch.io/singularity
,,1938,Action||Shooter,,,,Construct||Pyxel Edit,GRIMCURSE,4,Windows||macOS||HTML5,Name your own price,,44 MB||46 MB||75 MB,In development,2D||Action-Adventure||Pixel Art||Top-Down||Top Down Adventure,https://lonelymoongames.itch.io/grim-curse
,About an hour,1091,Puzzle||Simulation,Mouse,English,,LÖVE,Lens,2,Windows||macOS,,,29 MB||29 MB||29 MB||57 MB,Released,2D||glitch||LÖVE||Retro||satire,https://notexplosive.itch.io/lens
,,1420,Puzzle,,,,Unity,MIX UP,3,Windows||macOS||HTML5,,,14 MB||5 MB||5 MB||15 MB,Released,Casual||Colorful||mix,https://guoboism.itch.io/mixup
,About a half-hour,967,Platformer,Keyboard||Xbox controller||Gamepad (any),,,Unity,Fire of Kala,5,HTML5,,,,Released,2D||Pixel Art||Tower Defense,https://dario-zubovic.itch.io/kala
,,491,Adventure||Platformer,,,,Phaser,Home,5,HTML5,,,,In development,2D||Pixel Art||Post-apocalyptic||Retro||side||Space,https://sharpfives.itch.io/home
,,575,Rhythm,,,,,Three Course Meal,2,,"Name your own price,Name your own price",,13 MB,In development,cooking||Cute||Pixel Art,https://deepfriedghost.itch.io/three-course-meal
,A few seconds,639,Puzzle||Platformer,Keyboard||Mouse,English,,Unity,TimeDonut,4,Windows,,,66 MB,Released,2D||donuts||game-off||Pixel Art||Singleplayer||Time Travel,https://failcake.itch.io/timedonut
One button,A few minutes,931,Role Playing||Card Game,Mouse,English,,PICO-8,Jack of Spades,5,Windows||macOS||Linux||HTML5,Name your own price,,6 MB,Released,8-Bit||multicart||Music||PICO-8||Pixel Art||Singleplayer||Turn-based,https://bonevolt.itch.io/jackofspades
,A few minutes,1650,,Keyboard,English,,,MonsterPong,3,HTML5,,,,Released,Breakout||Monsters||Pixel Art||pong,https://buch.itch.io/monsterpong
,,713,Platformer||Puzzle,,,,Godot,Gloop,3,Windows||macOS||HTML5,Name your own price,,51 MB||33 MB,In development,2D||game-off||GitHub||gloop||godot||hybrid||Pixel Art||Singleplayer,https://pilotinpyjamas.itch.io/gloop
,A few minutes,519,Strategy,,,,,Cave Empire,4,Windows||Linux,,,12 MB||13 MB,Released,2D||Fantasy||Pixel Art||Retro||rts,https://mastorak.itch.io/cave-empire
,A few minutes,2000,Puzzle,Keyboard,English,,GameMaker: Studio||Aseprite||Audacity,Biketris (GitHub Game Off Jam 2018),2,HTML5,,,,Released,biker||Endless||GameMaker||GitHub||Pixel Art||Tetris,https://vikerlane.itch.io/biketris
,About a half-hour,1447,Platformer||Puzzle,Keyboard||Mouse,English,,GameMaker: Studio||Aseprite,One Very Determined Armadillo,4,,"Name your own price,Name your own price",,25 MB,Released,2D||GameMaker||Pixel Art||Puzzle-Platformer,https://angrysnail.itch.io/one-very-determined-armadillo
,A few minutes,3835,Racing,Keyboard||Xbox controller||Playstation controller,English,,Godot,Chicken Downhill,3,Windows,"Name your own price,Name your own price",,28 MB,Prototype,2D||Funny||gamepad||Pixel Art,https://tatopeba.itch.io/chicken-downhill
,,2755,Platformer,,,,GameMaker: Studio,A Slimy Quest,5,Windows||HTML5,,,9 MB,Released,,https://milandonhowe.itch.io/a-slimy-quest
,,925,Strategy,,,,,dtac,1,HTML5,,,,Prototype,,https://recl.itch.io/dtac
,,814,Action,,,,,Alfred Yonson The Game,5,Windows,,,146 MB,Released,3D||Dogs||Game Jam||game-of-a-gun-dog||hybrid||Top down shooter||waves||which-shoots-cannon-cats-in-a-desert||with-a-camera-with-a-view-from-above,https://casadogames.itch.io/alfred-yonson-the-game
,,802,Platformer,,,,Unity,Save Ambar!,3,Windows||HTML5,,,35 MB,In development,Hand-drawn||portal,https://vamperro.itch.io/save-ambar
,,3459,Platformer,,,,,Tales of the Djinn: Scheherazade's Curse,1,Unity,,,,,1001-nights||cc0||curse||djinn||scheherazade,https://syntricate.itch.io/tales-of-the-djinn-schehera
,,1614,Platformer||Action,,,,,Blank Bit,3,Windows||macOS||Linux,"$2.99 USD, ,or more,$2.99 USD, ,or more",,56 MB||57 MB||60 MB,Released,Arcade||chiptune||Deck Building||Difficult||Experimental||High Score||mind-bending||Pixel Art||Short,https://pfail.itch.io/blank-bit
,,962,,,,,,Stop Those Mokumokuren,1,Windows||macOS||Linux,"Name your own price,Name your own price",,7 MB||117 kB||36 MB||39 MB||38 MB,,japanese||mythology||paper||public-domain||public-domain-jam,https://picofoundry.itch.io/stop-those-mokumokuren
,A few minutes,656,Role Playing,Keyboard||Mouse,English,,,Witches' Spell List,2,Windows,"Name your own price,Name your own price",,9 MB,Prototype,macbeth||pdjam||shakespeare,https://freedomestudio.itch.io/witches-spell-list
,,251,Simulation,,,,,2BR02B,1,macOS,,,5 MB,,1960s||60s||Management||Sci-fi||scifi,https://kidikd.itch.io/2br02b
,,226,,,,,,You Are Dorian/Daria Grey,1,Windows,"Name your own price,Name your own price",,8 MB,,,https://loonofnature.itch.io/you-are-doriandaria-grey
,,2027,Simulation,,,,,"Jesus And Legion, The Dead Scrolls",1,Android,,,11 MB,,boids||flock||flocking||jesus,https://fuguenation.itch.io/jesus--legion
,,1168,Action,,,,,Ninja Jesus,1,Windows||macOS||Linux,,,8 MB||8 MB||6 MB||4 kB||223 kB,Prototype,awesome||jesus||Ninja||pdjam,https://moxyle.itch.io/ninja-jesus
,,325,Role Playing,,,,,Stranded on a Mysterious Island,1,Windows,,,11 MB||12 MB,Released,Action RPG||jules-verne||pdjam||public-domain-jam,https://belstres.itch.io/stranded-on-a-mysterious-island
,,1146,Platformer||Puzzle,,,,,Back And White,4,,,,,Released,2D||Pixel Art,https://basyk-games.itch.io/back-and-white-cgj
,,1658,,,,,,Dead Mountain Diary,3,Windows||macOS||Linux,,,3 MB||36 MB||3 MB,Released,,https://tylerdotdotdot.itch.io/dead-mountain-diary
,,388,Adventure,,,,,The Purloined Letter,3,Windows,,,106 MB,,letter||purloined||the||ue-4||Walking simulator,https://mysteriastudio.itch.io/letter
,,902,Puzzle,,,,,Jimposters,4,Windows,,,16 MB,Released,2D||Cute||Global Game Jam||Horror||Pixel Art,https://sobad.itch.io/jimposters
,A few minutes,630,Puzzle,Mouse,English,,Unity,Big Money Machine,6,Windows||macOS,,,35 MB,Released,2D||cassino||community-game-jam,https://qenton.itch.io/big-money-machine
,,1447,Platformer,,,,Unity,Clickhead,2,HTML5,,,8 MB||8 MB,Released,Pixel Art,https://silvarc.itch.io/clickhead
,,623,Platformer,,,,,Dissonance,4,Windows||macOS||Linux,,,27 MB||27 MB||27 MB,Released,2D||Multiple Endings||My First Game Jam||Pixel Art||Short||Side Scroller||Spooky||Unity,https://imrainydan.itch.io/dissonance
,,612,Puzzle,,,,,Mondays,1,Windows||macOS,,,110 MB||110 MB,Prototype,Comedy,https://thepieface.itch.io/mondays
,A few seconds,1711,Platformer||Racing,Keyboard||Mouse,,,Unity,The Race: A Track of Lies!,4,Windows||macOS||HTML5,,,37 MB||36 MB,Released,2D||Cyberpunk,https://flashygoblin.itch.io/the-race
,,1204,Puzzle,,,,,A Byte Sized Lie,4,Windows,,,22 MB,Released,Atmospheric||Creepy||Cute||Pixel Art||Psychological Horror||Singleplayer||Surreal||Top Down Adventure||Unity,https://silvergearinteractive.itch.io/a-byte-sized-lie
,,2469,Simulation,,,,Unity,(F)unfair,7,Windows||HTML5,,,20 MB||20 MB,Released,Pixel Art||Tycoon,https://andreasroschal.itch.io/funfair
,,1393,Puzzle,,,,Unity,the suspects,4,HTML5,,,,Released,2D||Detective||Mouse only||Noir,https://choochoothetrain.itch.io/the-suspects
,,179,,,,,,AI Can Make Even Trivial Tasks Deadly,2,HTML5,,,,In development,,https://minibobbo.itch.io/computer-safety
,,345,Puzzle,,,,,Round-o Emporium,4,HTML5,,,,Released,2D||Pixel Art||Retro,https://clemonades.itch.io/round-o-emporium
,A few minutes,2139,Adventure||Platformer,Keyboard||Mouse,English,,Unity||Audacity||Krita||Paint.net,Backwards,7,HTML5,,,,Released,2D||artgame||Dark||Hand-drawn||secrets||Story Rich||watercolor,https://aj-norman.itch.io/backwards
,,0,Platformer||Adventure,,,,Unity,After a liar's funeral,1,HTML5,,,,Released,2D||Pixel Art,https://the-french-dummy.itch.io/liar
,,501,Puzzle,,,,Unity,Mindless Runner,5,Windows||HTML5,,,51 MB,Released,3D||Arcade||Difficult||Endless||infinite-runner||mind-bending||Singleplayer||Top-Down,https://charu12.itch.io/mindless-runner
,A few minutes,1984,Puzzle||Role Playing,Mouse,English,,Unity,Tales of the Cursed Word,4,Windows,,,203 MB,Prototype,2D||Fantasy||unconventional,https://saturas.itch.io/tales-of-the-cursed-word
,A few minutes,1151,Platformer||Adventure,Keyboard||Mouse||Xbox controller,English,,Unity,This World's End,3,Windows,,,44 MB,Released,2D||Atmospheric||Colorful||glitch||Narrative||Pixel Art||Story Rich,https://phantomcry.itch.io/this-worlds-end
,,264,Adventure,,,,Unity,Dome,1,HTML5,,,,Released,,https://lomikstik.itch.io/dome
