jam_criteria,jam_end_date,jam_host,jam_name,jam_no_joined,jam_no_rating,jam_no_submissions,jam_start_date,jam_url
Overall||Mathes Theme||Enjoyment||Game Mechanics||Art||Music,2017-12-10 22:59:59,Haploid7,48 Secret Jam - December 2017,34,23,5,2017-12-08 23:00:00,https://www.itch.io/jam/48-secret-december-2017
Overall||Gameplay||Visuals||Audio||Innovation||Narrative||Overall,2018-04-10 04:00:00,Geta,Geta Game Jam #2: Signal Lost,27,10,4,2018-04-07 01:00:00,https://www.itch.io/jam/geta-game-jam-2-signal-lost
What you like.,2018-03-12 09:00:00,Great Dash,Trash Game Jam,24,26,14,2018-02-21 08:00:00,https://www.itch.io/jam/trash-game-jam
Overall||Use of Theme||Fun||Visuals||Audio,2017-11-06 07:59:59,romsteady,Shacknews Game Jam,23,56,8,2017-11-03 03:00:00,https://www.itch.io/jam/shacknews-jam
Overall||Tema||Gráficos||Jugabilidad||Audio||Originalidad,2019-06-08 18:00:00,Damv,Indie Dev Jam Español #2,22,48,11,2019-06-01 18:00:00,https://www.itch.io/jam/indie-dev-jam-es-2
Overall||Overall||Gameplay||Theme||Aesthetics||Sound,2018-10-30 04:00:00,ScoreSpace,The First ScoreSpace Game Jam!,20,31,6,2018-10-27 04:00:00,https://www.itch.io/jam/scorejam1
,2019-07-21 21:20:00,Paul,Breaking Code Jam,10,0,3,2019-07-20 13:00:00,https://www.itch.io/jam/breaking-code-jam
Overall||How easy is it to play blindfolded?||Feel Good Feelin'!||Narrative||Music||Sound||You should continue this!,2018-06-10 23:00:00,Aestuo Games,BLIND JAM (WIN PRIZES!),18,23,5,2018-05-25 23:00:00,https://www.itch.io/jam/blind-jam
,2016-10-31 06:59:59,JustKay,Haunted Rainbow Jam,9,0,3,2016-10-16 07:00:00,https://www.itch.io/jam/haunted-rainbow-jam
,2019-08-01 06:59:59,toiletsnakes||KitKatarine||Stealthix,Buddy Jam 8,9,0,2,2019-07-01 07:00:00,https://www.itch.io/jam/buddy-jam-8
,2016-02-13 08:00:00,Chrysoula Tzavelas,Correspondence Jam,9,0,2,2016-01-12 08:00:00,https://www.itch.io/jam/correjam
Overall||Uniqueness||Overall,2017-03-09 22:00:00,ShokeR,TD Game Jam,17,0,2,2017-02-09 22:00:00,https://www.itch.io/jam/td-game-jam
Overall||Gameplay /  Game Mechanic(s)||Aestethics / Look & Feel (incl. sound)||Technical Wizardry,2016-11-05 21:00:00,Galway Game Jam||Darren K,Galway Game Jam 8,16,82,10,2016-11-05 09:00:00,https://www.itch.io/jam/galwaygamejam8
Eccentric||Visual||Creativity||Entertaining||Audio,2018-07-16 03:59:59,LexLoco||Odd Weekend Game Jam,Odd Weekend Game Jam 10,15,34,7,2018-07-13 04:00:00,https://www.itch.io/jam/odd-weekend-game-jam-10
How well the three main features are made?||How original does the three main features feel?||Does the game feel polished?,2018-11-25 18:00:00,Jestercraft,Jestercraft Game Jam #1,15,16,6,2018-11-24 17:00:00,https://www.itch.io/jam/jestercraft-game-jam-1
,2016-11-05 17:00:00,Evan Holmes,STOJAM 1,7,0,1,2016-10-28 01:00:00,https://www.itch.io/jam/stojam-1
Overall||Gameplay||Design visuel||Fun,2019-02-16 14:52:00,surue||piller.yann||gdvaud||kriegalex,lvlupgamejam 2019,14,34,14,2019-02-14 17:00:00,https://www.itch.io/jam/lvlupgamejam
,2017-10-20 22:00:00,exqueeze-me,WPI A17 Break Jam,5,0,3,2017-10-16 16:00:00,https://www.itch.io/jam/wpi-a17-break-jam
Overall,2018-07-29 23:00:00,Jason Alan Dewey,Arcane Assembly,11,0,1,2018-07-22 23:00:00,https://www.itch.io/jam/arcaneassembly
,2016-11-30 00:00:00,AngryDinosaur,Retro LAN Jam,4,0,0,2016-10-22 23:00:00,https://www.itch.io/jam/retro-lan-jam
,2019-06-30 21:59:59,Festival Stunfest||Indie Collective,Stun Jam 2015,3,0,2,2015-05-14 16:00:00,https://www.itch.io/jam/stun-jam-2015
,2019-06-24 04:00:00,babykangar00,They Come From Space Jam (Just for fun),1,0,1,2019-06-20 04:00:00,https://www.itch.io/jam/they-come-from-space-jam
,2018-08-16 04:00:00,PhillyGameMechanics||jakeo,Exquisite  Corpse Jam,1,0,5,2018-08-02 04:00:00,https://www.itch.io/jam/exquisite-corpse-jam
Overall,2015-11-02 05:59:59,riktothepast||SQRBOX||alhvi,GDGT's All Hallows Challenge 2: The Revenge,6,0,3,2015-10-30 22:00:00,https://www.itch.io/jam/gdgtahc2
,2017-05-20 22:00:00,hernikplays,Mothers Day Jam,1,0,1,2017-05-12 20:25:59,https://www.itch.io/jam/mothers-day-jam-2017
Overall||Gameplay||Graphics||Sound Effects and Music||Use of Theme,2018-10-28 05:59:59,G33X,G33X-Jam 2018,5,0,0,2018-09-09 06:00:00,https://www.itch.io/jam/g33xjam-2018
,2018-02-15 23:00:00,Hitbox Makers,Sharing Week ESG - 2018,1,0,2,2018-02-11 23:00:00,https://www.itch.io/jam/sharing-week-esg-2018
Overall||Moddability||Fun||Graphics||Sound||Gameplay,2019-09-07 19:00:00,Ratstail91,Unity Script Jam,4,0,1,2019-08-31 19:00:00,https://www.itch.io/jam/unity-script-jam
,2018-01-11 04:59:59,Aidan Buffum,WPI Break Jam: New Regime,1,0,1,2017-12-15 05:00:00,https://www.itch.io/jam/wpi-break-jam-winter-17-18
Enjoyment||Idea and Concept behind the game||Graphics,2018-04-27 00:30:30,Donkeyhead7,Mazedom and Traps Game Jam,3,1,1,2018-04-20 00:30:30,https://www.itch.io/jam/mazedom-and-traps-game-jam
Overall||Is the game is playable ?||Is the game is enjoyable ?||Respect the GoT license ?||Respect the GoT Story ?||Would you buy it ?,2016-06-26 20:00:00,Jams.Center,"Gamejams of Thrones, S6E10",2,0,1,2016-06-26 13:00:00,https://www.itch.io/jam/gamejam-of-thrones
Delivered Message||Fun While Playing||Character Arc/Development,2019-06-27 21:00:00,Bloods the Creator,FurJam,2,0,1,2019-06-02 21:00:00,https://www.itch.io/jam/furjam
,2019-09-22 21:59:59,vigild,Spiltalent - september 2019,1,0,1,2019-09-02 22:00:00,https://www.itch.io/jam/spiltalent-sep-2019
Overall,2017-07-31 22:00:00,Strasbourg Fantastic Film,5th Indie Game Contest,1,0,1,2017-07-25 22:00:00,https://www.itch.io/jam/5th-indie-game-contest
Imaginativeness||Story||Gameplay,2019-07-14 06:07:07,Xaeman Games,The L'aal Platformer Jam #1,1,0,1,2019-07-07 06:07:07,https://www.itch.io/jam/the-laal-platformer-jam
Did you work well?||Is it a game?||Are you proud?,2019-04-19 21:23:23,BaronPumpking,[Late] Motivation Game Jam,1,0,1,2019-04-17 12:14:14,https://www.itch.io/jam/late-motivation-game-jam
Entretainment||Fun||Visual Looking||Addiction||Game Concept,2019-09-02 05:00:00,Pablo Monfort,The AmericaS Jam´s,1,0,1,2019-08-31 03:00:00,https://www.itch.io/jam/the-americas-jams
Overall||Graphics - How well are the graphics implemented into the game?||Story/Purpose - Does it stand out as a completely different game?||Originality - Is the game original or a complete knockoff?,2015-11-22 05:00:00,ben@devnull,2D Physics Game Jam - November 2015,1,3,1,2015-11-01 04:00:00,https://www.itch.io/jam/2dphysics-november
,2015-12-30 23:00:00,pinguinoconpulgares,Moddable games,1,0,1,2015-11-10 23:00:00,https://www.itch.io/jam/moddable-games
"How ""anty"" is the game?||How detailed is the game?||Did you enjoy the game?",2017-09-20 04:00:00,Arman,The Theme Jam - #1,1,0,1,2017-09-13 04:00:00,https://www.itch.io/jam/theme-game-jam-1-september
,2016-02-21 05:00:00,Smedis2,GAME FOR EUKARIA 20016,1,0,1,2016-01-10 05:00:00,https://www.itch.io/jam/Eukaria
,2016-03-27 22:00:00,Scott Doxey||giantrobotbee,Purple Monkey Game Jam March 2016,1,0,1,2016-03-26 14:00:00,https://www.itch.io/jam/purple-monkey-game-jam-march-2016
,2015-07-31 03:00:00,Thecreeper0,IceMice Jam,1,0,1,2015-07-01 03:00:00,https://www.itch.io/jam/icemice-jam
,2015-09-30 21:59:59,tulas.xyz,Awful Music Modding !,1,0,1,2015-08-25 22:00:00,https://www.itch.io/jam/AMSModding
,2015-06-18 04:00:00,ShevchGames,Games Tools Challenge,1,0,1,2015-06-05 12:00:00,https://www.itch.io/jam/gtchallenge
,2018-06-28 04:00:00,PhillyGameMechanics,Cover Jam!,1,0,1,2018-06-19 04:00:00,https://www.itch.io/jam/cover-jam
,2017-06-01 03:59:59,Levi D. Smith,Pico-8 Jam,1,0,1,2017-05-29 04:00:00,https://www.itch.io/jam/pico-8-jam
Overall||Theme||Replayability||Creativity||Concept,2019-04-14 14:00:00,Thomas O'Connell,Kingsbuild Jam - No.1,1,1,1,2019-03-31 13:00:00,https://www.itch.io/jam/kingsbuild-jam-no-1
Overall,2015-10-25 04:00:00,Game portal....,Pinball jammin',1,0,1,2015-10-13 04:00:00,https://www.itch.io/jam/pinball-jammin
Overall||Gameplay||Graphics,2017-09-24 22:00:00,kreibich,EGA JAM,1,0,1,2017-09-07 22:00:00,https://www.itch.io/jam/ega-jam
Overall||Divertido||Funcional||Artístico||Científico,2015-10-24 17:30:00,Astucia||Jacinto Quesnel||Bahamoot,CCD: La ciencia del arte - Jam Cervantino,1,0,1,2015-10-21 21:00:00,https://www.itch.io/jam/lacienciadelarte
Overall||References to YouTube videos from this YouTuber||How ejoyable the game is to play||Overall graphics of the game||Overall physics of the game,2016-09-01 03:59:59,SlickNickP,2D Fan Games,1,0,1,2016-08-29 04:00:00,https://www.itch.io/jam/fan-games
Overall||Creativity?||Graphics?||Cat power?,2015-11-02 04:59:00,navybratcat,Cat Attacks,1,1,1,2015-10-18 04:00:00,https://www.itch.io/jam/catattacks
Overall,2016-02-29 17:30:00,BatchMaster,Galactic Studios Signup Exam,1,0,1,2016-01-03 00:20:12,https://www.itch.io/jam/galactic-studios-signup-exam
,2018-11-14 00:00:00,Astronaronic,Idea Jam #3,1,0,1,2018-11-07 00:00:00,https://www.itch.io/jam/idea-jam-3
Overall||Addictive||Comedy||Management||Design||Innovative||Mood||the thing,2015-07-30 18:00:00,ATMFD,"Tycoon Jam #1,theme (Small business)",1,2,1,2015-06-29 18:00:00,https://www.itch.io/jam/Tj
Overall||Story||Creativity||Graphics||Sound||Themes,2015-07-29 22:00:00,CityMayor Games,The CMG Summer July Jam 2015,1,0,1,2015-06-30 22:00:00,https://www.itch.io/jam/cmg-summer-jam-2015
,2015-06-30 22:00:00,tigerrenko,Japanizam 2015,1,0,1,2015-06-22 22:00:00,https://www.itch.io/jam/japanizam-2015
Overall||Best Graphics||Best Music||Best SFX||Best Overall,2015-10-12 22:01:55,Googleygames,Burgers 'N' Fries Jam III,1,1,1,2015-10-08 22:01:15,https://www.itch.io/jam/burgers-n-fries-jam-iii
,2018-06-17 14:59:59,sungkukshawnpark,일주일에 게임 하나 만들기(Game A Week) 1806[10],1,0,1,2018-06-10 15:00:00,https://www.itch.io/jam/game-a-week-18060
,2018-03-03 19:15:00,Wheaton High School VMC,WHS Videogame Design Club: Invasions Game Jam,1,0,1,2018-02-01 05:00:00,https://www.itch.io/jam/whs-videogame-design-club-invasions-game-jam
,2019-09-16 02:59:59,ZumbiGordo,JotaDê Jam Semanal #6,1,0,1,2019-09-09 03:00:00,https://www.itch.io/jam/jdjam6
Overall,2015-07-31 22:59:59,Mythalore,The Unofficial NerdCubed Community Game Jam 2015,1,0,1,2015-06-30 23:00:00,https://www.itch.io/jam/n3jam2015
Overall,2018-12-29 20:00:00,Mateus Prates Simões,MIDWEEK ANIMAL JAM,1,0,1,2018-12-26 08:00:00,https://www.itch.io/jam/midweek-animal-jam
Overall,2018-11-17 06:00:00,norburyw,Nor Gamez,1,0,1,2018-11-10 06:00:00,https://www.itch.io/jam/nor-gamez
Overall||Overall||Gameplay||Fun||Story||Mood||Audio-,2016-05-31 01:00:00,Divitos,Drug Jam #3,1,1,1,2016-05-28 01:00:00,https://www.itch.io/jam/drug-jam-3
,2015-06-27 18:30:00,Coxyworthy,Summer Camp,1,0,11,2015-06-26 17:30:00,https://www.itch.io/jam/summer-camp
1. Amount of Crust||2. Playability||3. Amount Of Work Put In,2019-06-01 02:59:59,Doctor Julian Sesame,The Crusty Jam 2019,1,0,1,2019-03-29 03:00:00,https://www.itch.io/jam/the-crusty-jam-2019
Overall,2018-06-29 07:00:00,brephenson,-Unofficial- Bitsy Jam,1,0,1,2018-06-24 07:00:00,https://www.itch.io/jam/-unofficial-bitsy-jam
,2018-07-01 11:00:00,MindX - Technology & Startup school,Techkids - Code for Viet Nam 2018,1,0,6,2018-06-30 17:00:00,https://www.itch.io/jam/techkids-code-for-viet-nam-2018
Overall||Relation to topic||Creativity||Fun,2018-02-22 22:00:00,nibb13,Scenic screenshot jam #1,1,0,1,2018-02-15 22:00:00,https://www.itch.io/jam/scenic-screenshot-jam-1
,2015-03-08 07:59:59,nikolyst,Day 6 Jam,1,0,1,2015-03-07 07:59:59,https://www.itch.io/jam/day-6-jam
Story||Gameplay||Map||Attention to detail||Engaging story,2019-03-06 03:00:00,OddPotatoGift,OddPotato Jam (Once Upon A Time),1,0,1,2019-02-16 02:00:00,https://www.itch.io/jam/oddpotato-jam
,2015-06-01 00:00:00,Jóhannes G. Þorsteinsson||Kollafoss Game Farm,Isolation Game Jam 2015,2,0,2,2015-05-28 00:00:00,https://www.itch.io/jam/isolation-game-jam-2015
,2015-07-18 04:00:00,The Weekly Arcade,Week 1 - Choice,2,0,2,2015-07-11 18:27:37,https://www.itch.io/jam/week1
,2019-06-23 22:00:00,vigild,Spiltalent - juni 2019,2,0,1,2019-06-02 22:00:00,https://www.itch.io/jam/spiltalent-juni-2019
Animeness||Originality||Plot||Quality,2017-11-01 13:00:00,meowingcats,Anime Jam,1,0,1,2017-10-29 13:00:00,https://www.itch.io/jam/anime-jam
,2019-01-16 04:00:00,droqen,VARIETY MEGAJAM 2018,2,0,5,2018-12-28 14:21:42,https://www.itch.io/jam/vmj2018
Overall||Creativy||Originality||Replay Value||Enjoyment,2016-01-12 00:00:00,Distorted,RPG Maker Jam 1,1,0,1,2015-12-05 00:00:00,https://www.itch.io/jam/rpg-maker-jam-1
Overall||Jugabilidad||Audio||Arte||Tema||Penetración en redes sociales||Uso de diversificadores.,2015-07-24 22:00:00,Astucia,Game Jam de Comunidades CPMX6 Reto 24,1,0,1,2015-07-23 20:00:00,https://www.itch.io/jam/jamcomunidadescpmx6_reto_24
,2019-08-18 21:00:00,ZumbiGordo,JotaDê Jam Semanal #2,2,0,2,2019-08-12 03:00:00,https://www.itch.io/jam/jdjam2
Overall||Enjoyability||Mechanics||Thoughtfullness,2015-04-30 05:00:00,JohnnyVancer,The Minigame Collection,1,0,1,2015-03-09 05:00:00,https://www.itch.io/jam/minigamecollection
,2019-06-20 06:00:00,ALSTA soft,Sandbox Game Jam,1,0,1,2019-06-11 06:00:00,https://www.itch.io/jam/sandbox-game-jam
Overall,2018-05-06 14:59:59,sungkukshawnpark,일주일에 게임 하나 만들기(Game A Week) 1805[00],1,0,1,2018-04-29 15:00:00,https://www.itch.io/jam/game-a-week-180500
Overall,2015-11-30 22:59:59,Tomahawk PPC,FORMULA 1 ABU DHABI GRAND PRIX Jam,2,0,2,2015-11-21 23:00:00,https://www.itch.io/jam/formula-1-abu-dhabi-grand-prix-jam
,2019-10-27 04:59:59,Jake Crabtree,UT Gayme Jam,2,0,2,2019-10-26 18:08:14,https://www.itch.io/jam/ut-gayme-jam
Gameplay||Fun||Overall polish||Theme||Originality,2019-02-26 20:00:00,IndieAlchemist,Nomads Jam,2,0,2,2019-02-23 07:00:00,https://www.itch.io/jam/nomads-jam
,2019-02-24 02:30:00,searift,UCSB GDC Winter Jam 2019,2,0,1,2019-02-23 01:00:00,https://www.itch.io/jam/ucsb-gdc-winter-jam-2019
Overall||Graphics||Audio||Gameplay||Innovation||Fun||Theme,2018-12-05 02:15:00,FMProductions,Quickie Game Jam,2,1,2,2018-12-05 01:05:00,https://www.itch.io/jam/quickie-game-jam
Must have a good and realistic story,2019-07-09 03:59:59,MW5146,Movie Jam #1,2,1,1,2019-07-01 04:00:00,https://www.itch.io/jam/hi-my-name-is-bob-and-why-are-you-reading-the-url
Overall||fun||story?||graphics,2019-01-01 07:10:00,ZenethGameMaker106,1 Hour Challenge,2,0,1,2018-12-31 06:00:00,https://www.itch.io/jam/1-hour-challenge
,2019-09-22 18:00:00,Sigrid.D,48LezGameJam#7,2,0,1,2019-09-20 18:00:00,https://www.itch.io/jam/48lezgamejam7
,2016-11-13 16:00:00,J3X,Fall Game Jam 2016,2,0,1,2016-11-12 23:00:00,https://www.itch.io/jam/fall-game-jam-2016
,2019-10-09 22:00:00,Game Dev McGill,Game Jam Monthly - September 2019,2,0,2,2019-09-05 04:00:00,https://www.itch.io/jam/game-jam-monthly-september-2019
,2018-03-25 22:00:00,Yukon W.,IGDA Becker Chapter April Arcade Jam 2018,2,0,2,2018-03-23 22:00:00,https://www.itch.io/jam/igda-becker-april-arcade-jam-2018
Overall||Creativeness||Festiveness||Thought Put Into I,2017-12-26 02:40:59,Enderlord101,Last Minute Christmas JAM,2,4,2,2017-12-24 02:50:00,https://www.itch.io/jam/last-minute-christmas-jam
,2019-05-13 13:00:00,{Pascal},Moe Minijam #1 - Team Management,2,0,1,2019-05-10 13:00:00,https://www.itch.io/jam/absolutelymoe-minijam-1
,2018-05-27 14:59:59,sungkukshawnpark,일주일에 게임 하나 만들기(Game A Week) 1805[11],2,0,1,2018-05-19 15:00:00,https://www.itch.io/jam/game-a-week-180511
,2019-04-28 16:00:00,EMS43,PCT Game Development Club's Spring Game Jam,2,0,2,2019-04-27 16:00:00,https://www.itch.io/jam/pct-game-development-clubs-spring-game-jam
General Opinion of the Game||Music / Sfx||Graphics||Game Feel and Flow,2019-06-06 22:59:59,andrelisboa1,Retro Challenge 1,2,0,1,2019-06-02 23:00:00,https://www.itch.io/jam/retro-challenge-1
Overall,2018-12-31 21:59:59,hero snowman,Snowman themed game jam,2,0,1,2018-12-16 10:00:00,https://www.itch.io/jam/snowman-gamejam
,2018-06-10 14:59:59,sungkukshawnpark,일주일에 게임 하나 만들기(Game A Week) 1806[01],2,0,2,2018-06-03 15:00:00,https://www.itch.io/jam/game-a-week-180601
,2019-03-16 00:00:00,University of Calgary Game Design Club,Game Design Club's Winter Game Jam,2,0,1,2019-03-09 01:00:00,https://www.itch.io/jam/game-design-clubs-winter-game-jam
,2016-04-21 05:00:00,Alex Carlson,MCAD Game Jam #3,2,0,1,2016-04-20 05:00:00,https://www.itch.io/jam/mcad-game-jam-3
Overall,2019-04-28 21:59:59,juna8001,Train jam 2019 - Polish Edition,2,0,1,2019-04-27 22:00:00,https://www.itch.io/jam/jam-w-pocigu
Gameplay||Arte||Som||Apresentação||Documentação,2019-06-30 03:00:00,Frontin Ludens,Frontin Ludens 2015,2,0,5,2014-11-24 02:00:00,https://www.itch.io/jam/frontinludens2015
Overall||Gameplay||Art||Audio||Humor||Fun||Theme,2019-05-27 07:00:00,Notjared,Professional Jared Awareness Jam,2,2,1,2019-05-20 07:00:00,https://www.itch.io/jam/professional-jared-awareness-jam
Judges Best Overall||Voted Best Overall||Voted Best Graphics||Voted Best Theme-Related||Voted Best Originality||Voted Best Audio,2019-05-15 04:00:00,Catoner,200 Lines of Code Challenge!,2,1,1,2019-05-11 04:00:00,https://www.itch.io/jam/100-lines-of-code
Overall,2016-02-14 22:59:59,IND13 Game Developer Magazine,V-Jam 2016 - The ValentinesDay Game Jam,2,0,0,2016-02-11 23:00:00,https://www.itch.io/jam/v-jam-2016-valentinesday-game-jam
,2019-07-11 04:00:00,babykangar00,Simulator Jam (For Fun),2,0,1,2019-07-06 04:00:00,https://www.itch.io/jam/simulator-jam-for-fun
Overall||Jump Scares that make sense!||Creative and spooky story lines!||Sketchy rooms and settings!,2015-11-01 07:00:00,ParkourGuy,Jack's Horror Jam,2,0,2,2015-10-24 05:56:11,https://www.itch.io/jam/jacks-horror-game-jam
Overall||Pixel Art||Funny||Galaxy,2016-04-17 21:59:59,sni,Summer in Galaxy - GameJam,2,15,7,2016-03-23 23:00:00,https://www.itch.io/jam/summer-in-galaxy---gamejam
,2017-04-25 22:00:00,HannahWebb42,Nashville's 1st Month-Long Game Jam!,2,0,2,2017-04-24 05:00:00,https://www.itch.io/jam/nashville-april-game-jam
,2016-03-30 22:00:00,Neophos,Nordic Game Jam warmup!,2,0,2,2016-03-24 23:00:00,https://www.itch.io/jam/nordic-game-jam-warmup
The Best Game||The Funniest Game||The Most Serious Game||The Most Playable Game,2019-06-23 14:30:00,Piputi,İstanbul Seçimleri,2,0,1,2019-06-08 07:00:00,https://www.itch.io/jam/istanbul-secimleri
Humor||Stupidness,2018-06-11 02:59:59,PedroPetalite,Stupid Jam,2,2,1,2018-06-08 03:00:00,https://www.itch.io/jam/stupid-jam
,2019-05-28 04:00:00,Darezar of Eledris,"Chronicles GameDev Challenge, Week 8",2,0,1,2019-05-21 04:00:00,https://www.itch.io/jam/chronicles-gamedev-challenge-week-8
,2016-05-30 23:00:00,YetworkStudios,UM Jam 2016! Unity MultiPlayer,2,0,1,2016-04-30 23:00:00,https://www.itch.io/jam/um-jam-201
Overall||Humor||Cuteness||Controls||Fun,2017-07-25 05:00:00,kelpdance,Jr. Jam 1,2,1,2,2017-07-18 05:00:00,https://www.itch.io/jam/jr-jam-1
,2015-07-13 03:00:00,BruReale,Dalek Jam,2,0,2,2015-06-11 03:00:00,https://www.itch.io/jam/dalek-jam
,2017-04-22 19:00:00,Sarofer Zertaga,Trashy Game Jam 2017,2,0,1,2017-04-22 14:00:00,https://www.itch.io/jam/trashy-game-jam-2017
,2018-07-09 04:59:59,"DEADINSIDE||Daniel ""Sombrero"" Lawson",Gaben Jam,2,0,4,2018-06-16 11:15:00,https://www.itch.io/jam/no-java-comma-flash-or-unity
