jam_criteria,jam_end_date,jam_name,jam_no_joined,jam_no_rating,jam_no_submissions,jam_start_date,jam_url
Overall,2015-12-31 23:00:00,Yo no olvido el año viejo,2,0.0,2,2015-12-26 06:00:00,https://www.itch.io/jam/ciao2015
Overall||Is the game is playable ?||Is the game is enjoyable ?||Respect the GoT license ?||Respect the GoT Story ?||Would you buy it ?,2016-06-26 20:00:00,"Gamejams of Thrones, S6E10",2,0.0,1,2016-06-26 13:00:00,https://www.itch.io/jam/gamejam-of-thrones
Must be educational with accurate information||Wars that need to be included: World War 1 - World War 2 - Future War(s)||How fun is the game?||Answering the questions in the description (not all of them),2018-09-09 07:00:00,Educational Games (technology and war),2,0.0,1,2018-09-02 07:00:00,https://www.itch.io/jam/educational-games-technologyaffectingwars
Delivered Message||Fun While Playing||Character Arc/Development,2019-06-27 21:00:00,FurJam,2,0.0,1,2019-06-02 21:00:00,https://www.itch.io/jam/furjam
Overall,2015-11-30 22:59:59,FORMULA 1 ABU DHABI GRAND PRIX Jam,2,0.0,2,2015-11-21 23:00:00,https://www.itch.io/jam/formula-1-abu-dhabi-grand-prix-jam
General Opinion of the Game||Music / Sfx||Graphics||Game Feel and Flow,2019-06-06 22:59:59,Retro Challenge 1,2,0.0,1,2019-06-02 23:00:00,https://www.itch.io/jam/retro-challenge-1
Gameplay||Arte||Som||Apresentação||Documentação,2019-06-30 03:00:00,Frontin Ludens 2015,2,0.0,5,2014-11-24 02:00:00,https://www.itch.io/jam/frontinludens2015
Overall||Gameplay||Art||Audio||Humor||Fun||Theme,2019-05-27 07:00:00,Professional Jared Awareness Jam,2,2.0,1,2019-05-20 07:00:00,https://www.itch.io/jam/professional-jared-awareness-jam
Judges Best Overall||Voted Best Overall||Voted Best Graphics||Voted Best Theme-Related||Voted Best Originality||Voted Best Audio,2019-05-15 04:00:00,200 Lines of Code Challenge!,2,1.0,1,2019-05-11 04:00:00,https://www.itch.io/jam/100-lines-of-code
Overall,2016-02-14 22:59:59,V-Jam 2016 - The ValentinesDay Game Jam,2,0.0,0,2016-02-11 23:00:00,https://www.itch.io/jam/v-jam-2016-valentinesday-game-jam
How good/engrossing was the game||How well ascii art was implemented into the game,2018-02-01 04:59:59,ASCII Art Game Jam,2,0.0,1,2018-01-16 01:27:16,https://www.itch.io/jam/ascii-art-game-jam
The Best Game||The Funniest Game||The Most Serious Game||The Most Playable Game,2019-06-23 14:30:00,İstanbul Seçimleri,2,0.0,1,2019-06-08 07:00:00,https://www.itch.io/jam/istanbul-secimleri
Overall||Pixel Art||Sound||Gameplay||Idea,2019-08-10 15:40:00,NES Game Jam 2,2,0.0,1,2019-08-03 15:40:00,https://www.itch.io/jam/nes-jam-thingy
Overall||Creativeness||Festiveness||Thought Put Into I,2017-12-26 02:40:59,Last Minute Christmas JAM,2,4.0,2,2017-12-24 02:50:00,https://www.itch.io/jam/last-minute-christmas-jam
Overall||Jump Scares that make sense!||Creative and spooky story lines!||Sketchy rooms and settings!,2015-11-01 07:00:00,Jack's Horror Jam,2,0.0,2,2015-10-24 05:56:11,https://www.itch.io/jam/jacks-horror-game-jam
Overall,2018-12-31 21:59:59,Snowman themed game jam,2,0.0,1,2018-12-16 10:00:00,https://www.itch.io/jam/snowman-gamejam
Fun||Accessibility,2019-07-31 22:00:00,Construct 2Gether! [Wario ware style] #1,2,0.0,1,2019-06-30 22:00:00,https://www.itch.io/jam/construct-2gether
Overall||fun||story?||graphics,2019-01-01 07:10:00,1 Hour Challenge,2,0.0,1,2018-12-31 06:00:00,https://www.itch.io/jam/1-hour-challenge
Overall,2019-06-23 23:00:00,Justice JAM - Cops,2,0.0,2,2019-05-26 23:00:00,https://www.itch.io/jam/justice-jam-cops
Humor||Stupidness,2018-06-11 02:59:59,Stupid Jam,2,2.0,1,2018-06-08 03:00:00,https://www.itch.io/jam/stupid-jam
Overall,2019-04-28 21:59:59,Train jam 2019 - Polish Edition,2,0.0,1,2019-04-27 22:00:00,https://www.itch.io/jam/jam-w-pocigu
Overall||Pixel Art||Funny||Galaxy,2016-04-17 21:59:59,Summer in Galaxy - GameJam,2,15.0,7,2016-03-23 23:00:00,https://www.itch.io/jam/summer-in-galaxy---gamejam
Overall||Humor||Cuteness||Controls||Fun,2017-07-25 05:00:00,Jr. Jam 1,2,1.0,2,2017-07-18 05:00:00,https://www.itch.io/jam/jr-jam-1
Overall||Staying on THEME||Keeping it simple||Making a 2D Game||Least lines of code,2016-07-26 03:59:59,End of Summer Game Jam,2,0.0,1,2016-07-13 04:00:00,https://www.itch.io/jam/esgj
Overall||Fun Factor||Potential,2019-03-30 04:00:00,Improvement Movement Game Jam 2,2,0.0,2,2019-03-15 04:00:00,https://www.itch.io/jam/imgj2
Overall||Word Game-iness||Originality||Fun,2016-03-01 04:59:59,Word Jam,2,0.0,2,2016-02-01 05:00:00,https://www.itch.io/jam/word-jam
Gameplay||Fun||Overall polish||Theme||Originality,2019-02-26 20:00:00,Nomads Jam,2,0.0,2,2019-02-23 07:00:00,https://www.itch.io/jam/nomads-jam
"Overall||""Sporty-ness""||Absurdity||Gameplay||Creativity||Graphics",2015-12-03 05:00:00,Unsport Jam,2,0.0,1,2015-12-01 05:00:00,https://www.itch.io/jam/unsport-jam
Overall||Graphics||Audio||Gameplay||Innovation||Fun||Theme,2018-12-05 02:15:00,Quickie Game Jam,2,1.0,2,2018-12-05 01:05:00,https://www.itch.io/jam/quickie-game-jam
Overall,2018-04-27 22:00:00,Unity Pixel platformer,3,0.0,1,2018-04-11 22:00:00,https://www.itch.io/jam/unitu547
Overall||Originality||Awesomeness||Fun,2014-09-09 21:59:59,LÖVE-Jam 2,3,2.0,3,2014-09-03 22:00:00,https://www.itch.io/jam/love-jam-2
Overall||Is this game Fun?||Does this game look good?||Is this game creative?||Is the gameplay good?,2014-06-30 03:30:00,Little People Game Jam,3,4.0,3,2014-06-28 02:00:00,https://www.itch.io/jam/little-people-game-jam
"Overall||KFC / Chicken||playable on stream, no boobies or vags",2015-06-11 22:00:00,THE SEATHUS KFC CHICKEN JAM,3,4.0,3,2015-05-27 22:00:00,https://www.itch.io/jam/the-seathus-kfc-chicken-jam
Overall||Graphics||Music||Overall quality||Enjoyment||Gameplay,2018-02-04 23:00:00,Jam-bon,3,1.0,2,2018-02-02 23:00:00,https://www.itch.io/jam/jambon
Overall,2019-05-20 05:00:00,Meta Jam 2019,3,0.0,0,2019-04-29 17:06:18,https://www.itch.io/jam/meta-jam-2019
Delivering the Theme||Difficulty||Gameplay||Art Direction,2018-08-25 08:00:00,UnCooperative Jam,3,0.0,2,2018-07-25 08:00:00,https://www.itch.io/jam/uncooperative-jam
Enjoyment||Idea and Concept behind the game||Graphics,2018-04-27 00:30:30,Mazedom and Traps Game Jam,3,1.0,1,2018-04-20 00:30:30,https://www.itch.io/jam/mazedom-and-traps-game-jam
Gameplay||Arte||Som||Apresentação||Documentação,2019-06-30 03:00:00,Frontin Ludens 2016,3,0.0,5,2016-03-07 03:00:00,https://www.itch.io/jam/frontinludens2016
Gameplay||Mood||Art||Audio,2018-08-26 01:00:00,Four Hour Game Jam!,3,0.0,2,2018-08-25 14:00:00,https://www.itch.io/jam/four-hour-game-jam
Overall||Gameplay||Story-telling||Stability,2018-11-24 04:59:59,BAM! Batch Jam,3,1.0,2,2018-11-21 17:00:00,https://www.itch.io/jam/bam-batch-jam
Length||Gameplay||Level Design||Originality,2018-07-30 16:00:00,1 Color game jam,3,0.0,1,2018-07-23 16:00:00,https://www.itch.io/jam/1-color
The Idea of the Game. ( Is it unique?)||Dose it follow the theme?||The effort||Write Down everything that you use.,2019-08-05 05:00:00,Jelly's Game Jam,3,0.0,1,2019-07-31 05:00:00,https://www.itch.io/jam/jelly-game-jam
Overall||Ambient||Story||Gameplay,2017-08-30 22:00:00,Raycast Summer Jam,3,0.0,1,2017-05-17 22:00:00,https://www.itch.io/jam/raycast-summer-jam
how you enjoyed playing it||hacking themed||the look and feel||intrest||realism,2017-10-30 13:00:00,hacking jam,3,1.0,1,2017-10-22 13:00:00,https://www.itch.io/jam/hacking-jam
Overall||Creativity||Fun||Perception of topic,2017-10-28 22:00:00,Tycoon Game Jam,3,1.0,0,2017-10-10 22:45:00,https://www.itch.io/jam/tycoon-jam
Fun||Complexity/depth ratio||My opinion,2019-06-29 22:00:00,Fighting game jam (2?),3,0.0,1,2019-06-22 22:00:00,https://www.itch.io/jam/fighting-game-jam-2
Overall,2018-10-24 08:00:00,Homa Games Monthly Game Jam,3,0.0,1,2018-10-17 08:00:00,https://www.itch.io/jam/hg-monthly-jam
Overall||Fun||Design||Graphics||Sound||Concept,2016-01-31 02:00:00,Platformer JAM '16,3,2.0,1,2016-01-20 18:26:40,https://www.itch.io/jam/platformer-jam-16
Overall,2016-01-31 05:00:00,Global Game Jam 2016,3,0.0,3,2016-01-12 05:00:00,https://www.itch.io/jam/ggj
Overall,2018-11-03 20:00:00,UL Game Jam 2018,3,0.0,2,2018-11-03 09:00:00,https://www.itch.io/jam/ul-game-jam-2018
Overall,2015-12-15 09:00:00,3D to 2D Jam 2015,3,0.0,1,2015-11-30 21:00:00,https://www.itch.io/jam/3d-to-2d-jam_2015
If there's at least two bunnies||if it involves something LGBTQ related||The quality of the game,2019-01-01 04:59:59,The bunnies are comming,3,0.0,1,2018-11-29 18:33:00,https://www.itch.io/jam/the-bunnies-are-comming
idea||gameplay||your rate for this game,2018-10-30 23:00:00,arabic devjam,3,1.0,1,2018-10-23 23:00:00,https://www.itch.io/jam/arabic-jam
Graphics||Gameplay,2019-06-08 22:00:00,PaintJam 2,3,0.0,2,2019-06-08 08:00:00,https://www.itch.io/jam/paint-jam-2
Overall,2015-07-05 03:59:59,Jam for Gay Marriage,3,0.0,2,2015-06-26 04:00:00,https://www.itch.io/jam/jam-for-gay-marriage
Overall||Fun to Play - The game appealed to you and you found yourself enjoying the gameplay||Polished - How bug & glitch free the game is||Gameplay - Is the gameplay unique and interested?,2016-11-01 01:00:00,StormJam,3,0.0,2,2016-10-29 01:00:00,https://www.itch.io/jam/stormjam
Follows theme||Fun||Visuals||Audio,2018-07-30 22:00:00,Casino,3,0.0,1,2018-06-30 22:00:00,https://www.itch.io/jam/casino
Overall,2016-12-22 23:00:00,Cube OS Developer Jam,3,0.0,1,2016-12-16 23:00:00,https://www.itch.io/jam/cube-os-developer
Overall||Originalité||Gameplay||Qualité graphique||Respect du thème,2017-12-27 18:00:00,Blog CDJV Jam #1,3,5.0,2,2017-12-22 18:00:00,https://www.itch.io/jam/blog-cdjv-jam-1
Gameplay||Art||Originality,2019-08-23 04:00:00,Gdevelop Jam,3,0.0,1,2019-08-09 04:00:00,https://www.itch.io/jam/gdevelop-jam2
"Overall||Overall, how Alternative?||Graphics||Sound / Music||Gameplay||Immersion||Story||Emotion",2015-05-25 07:00:00,#ALTJAM,3,3.0,2,2015-05-15 07:00:00,https://www.itch.io/jam/altjam
Czy jest na temat?||Grafika||Muzyka||Kreatywność,2019-08-21 12:00:00,Polish GameJam #2,3,2.0,1,2019-08-18 06:40:00,https://www.itch.io/jam/polish-gamejam-2
More than 3 sports||Enjoyable||Demo||Graphical Continuity,2018-05-02 19:25:30,The Office Games: The Video Game! (Jam),3,2.0,1,2018-04-21 20:34:59,https://www.itch.io/jam/office-olympics
Gameplay||Separate Identity from Source Game,2019-08-18 04:00:00,Uniquely Similar Jam,3,1.0,1,2019-08-11 04:00:00,https://www.itch.io/jam/uniquely-similar-jam
Art Style||Environment,2017-12-31 06:00:00,Low-Poly Christmas Jam,3,2.0,2,2017-12-24 06:00:00,https://www.itch.io/jam/lowpolyjam
Overall||Originality||Difficulty||Overall fun||Graphics,2016-06-07 22:58:28,PuzzlerJam,3,0.0,1,2016-05-31 22:58:43,https://www.itch.io/jam/puzzlerjam
Uses background maker||Creativity||Playability||Fun||Talent,2018-03-30 14:00:00,Background Maker Jam!,3,0.0,1,2018-03-06 19:00:00,https://www.itch.io/jam/background-maker-jam
Gameplay||Arte||Som||Apresentação||Documentação,2019-06-30 03:00:00,Frontin Ludens 2017,3,0.0,6,2017-03-09 03:00:00,https://www.itch.io/jam/frontinludens2017
Overall,2017-04-22 17:55:00,Uni Game Jam 2017  EPIC,3,0.0,2,2017-04-21 18:00:00,https://www.itch.io/jam/uni-game-jam-2017-epic
Entertainment||Playability||Game Design,2018-08-09 19:00:00,GumballJam,3,0.0,1,2018-06-16 19:00:00,https://www.itch.io/jam/gumballjam
Overall,2016-02-06 23:00:00,Global Game Jam Strasbourg 2016,3,0.0,3,2016-01-28 23:00:00,https://www.itch.io/jam/global-game-jam-strasbourg-2016
Gameplay||Theme,2018-09-15 07:00:00,StickFightGameJam,3,0.0,1,2018-09-01 07:00:00,https://www.itch.io/jam/stickfightgamejam
Overall||Relevance to the theme||Creativity||Execution||Gameplay||Prevalence of bugs,2016-05-23 01:00:00,SlamJam 1,3,1.0,1,2016-05-21 00:00:00,https://www.itch.io/jam/slamjam1
Overall,2018-09-15 21:00:00,Fragfest Fall Jam 2018,3,0.0,1,2018-09-14 21:00:00,https://www.itch.io/jam/fragfest-fall-jam-2018
Overall||originality (do not steal)||authenticity||radness||knuckles,2016-01-01 23:59:59,SONIC OC JAM,3,5.0,2,2015-11-02 00:00:00,https://www.itch.io/jam/sonic-original-character-jam
Overall||Creativity||aesthetics,2017-05-31 11:00:00,me and ted jammy,3,0.0,1,2017-05-30 11:00:00,https://www.itch.io/jam/me-and-ted-jammy
Rule Following||Fun||How Interesting?||Retro Feel||Gameplay Feel,2019-03-02 23:59:59,Really Retro Jam no.4,3,0.0,1,2019-02-23 00:00:00,https://www.itch.io/jam/really-retro-jam-no4
Gameplay||Graphics||Originality||Difficulty,2017-09-08 22:00:00,P-u-z-z-l-e Game Jam,3,0.0,1,2017-09-03 22:00:00,https://www.itch.io/jam/puzzlajamgame
Overall||Overall||Gameplay||Graphics||Sound||Music,2017-09-30 22:00:00,Tunneler Remake Jam,3,0.0,1,2017-09-16 22:00:00,https://www.itch.io/jam/tunneler-remake-jam
Overall,2017-10-06 01:50:00,Senac - Oficina de Games - GeekWeek 2017,4,0.0,1,2017-10-05 22:00:00,https://www.itch.io/jam/senac-geekweek-2017
Overall,2016-10-10 05:59:59,Pogo Jam,4,0.0,1,2016-10-06 06:00:00,https://www.itch.io/jam/pogo-jam
Overall||Conformance with theme||Creativity||Gameplay||Overall impression,2017-04-17 08:00:00,Adventure Creator Jam (unofficial),4,6.0,2,2017-04-14 08:00:00,https://www.itch.io/jam/adventure-creator-jam-unofficial
The best||GDM lov,2019-08-01 22:00:00,AREA 51 GameDevMotivation jam #2,4,3.0,2,2019-07-26 16:00:00,https://www.itch.io/jam/area-51-gamedevmotivation-jam-2
Overall||Jugabilidad||Audio||Arte||Penetración en redes sociales||Uso de diversificadores,2015-07-25 21:00:00,Game Jam de Comunidades CPMX6 Reto 48,4,0.0,4,2015-07-23 20:00:00,https://www.itch.io/jam/jamcomunidadescpmx6_reto_48
Overall,2015-05-31 17:00:00,Gamejam on mathematics,4,0.0,3,2015-05-29 17:00:00,https://www.itch.io/jam/gamejam-on-mathematics
Overall,2018-09-07 23:00:00,Potato Jam,4,0.0,1,2018-08-31 23:00:00,https://www.itch.io/jam/potatojam2018
Overall,2014-01-02 06:37:27,Salt World Winter 2013 Jam,4,0.0,4,2013-12-21 06:37:27,https://www.itch.io/jam/saltw-winter-2013-jam
Overall||Use of Theme||Aesthetics||Gameplay||Polish||Audio||All-Round score,2017-06-11 11:40:00,1Up Jam 2017,4,7.0,3,2017-06-11 10:30:00,https://www.itch.io/jam/1up-jam-2017
Theme||Enjoyability||Mood||Audio,2019-06-18 04:00:00,HawkSandwich's Surreal Jam,4,0.0,1,2019-06-11 04:00:00,https://www.itch.io/jam/hawksandwich-surreal-jam
Music sync||Tutorial||Gameplay||Creativity||Music||Art||Level editor (IF INCLUDED),2018-08-25 14:30:00,Rhythm Game Jam,4,0.0,2,2018-08-23 14:30:00,https://www.itch.io/jam/rhythm-game-jam
Glitches||Gameplay,2018-06-05 20:30:00,The Glitch,4,1.0,1,2018-05-30 20:30:00,https://www.itch.io/jam/the-glitch
Overall||Overall Score||Design/Game Feel||Fun||Art/Audio||Creativity,2018-11-24 07:00:00,Mallard Jam,4,0.0,1,2018-11-09 07:00:00,https://www.itch.io/jam/mallard-jam
Overall,2017-04-30 04:00:00,Terminal Special Effects,4,0.0,1,2017-04-12 04:00:00,https://www.itch.io/jam/terminal-special-effects
Gameplay||How well they used the theme||Art,2018-10-24 10:00:00,The dorito game jam,4,0.0,2,2018-10-19 13:15:01,https://www.itch.io/jam/thedoritojam
"Community's Choice||Creativity/Execution||Gameplay||Oh, Effort?",2019-09-02 05:00:00,Jam For The Breakfast Of Tomorrow,4,0.0,1,2019-08-14 05:00:00,https://www.itch.io/jam/jam-for-the-breakfast-of-tomorrow
