X.U.FEFF.game_accessibility,game_asset_license,game_ave_session,game_criteria,game_desc_len,game_developers,game_developers_url,game_genres,game_inputs,game_language,game_last_update,game_license,game_made_with,game_name,game_no_ratings,game_no_screenshots,game_platforms,game_price,game_publish_date,game_ranks,game_raw_scores,game_release_date,game_scores,game_size,game_source_code,game_status,game_submission_page,game_tags,game_url,jam_name,jam_url,reason
,,,Design,874,Yee,https://byyee.itch.io,Survival,,,11 September 2018 @ 18:10,,Unity,The most realistic survival game EVER,22,1,HTML5,,02 September 2018 @ 19:03,520,2.727,,2.727,,,On hold,https://itch.io/jam/gmtk-2018/rate/300624,Comedy||Pixel Art||Top-Down,https://byyee.itch.io/tmrsge,Game Maker's Toolkit Jam 2018,https://itch.io/jam/gmtk-2018,Incomplete
,,,,599,Celia,https://celia14.itch.io,Adventure||Interactive Fiction,,,,,,The Jewel of Alithia,NA,1,HTML5,,,,,,,,,On hold,https://itch.io/jam/bring-out-your-dead/rate/72340,Fantasy||inform-7,https://celia14.itch.io/the-jewel-of-alithia,Bring Out Your Dead,https://itch.io/jam/bring-out-your-dead,Incomplete
Subtitles||One button,,A few minutes,,761,JaniToad,https://janitoad.itch.io,Visual Novel||Adventure,,English,,,,SUGARQUEST,NA,3,Windows||macOS||Linux,Name your own price,,,,,,SUGARQUEST-1.0-all.zip||84 MB||||Windows||Linux||macOS,,On hold,https://itch.io/jam/one-day-jam/rate/55219,Cute||Fairy Tale||Fantasy||LGBT||Transgender,https://janitoad.itch.io/sugarquest,One Day Jam,https://itch.io/jam/one-day-jam,Incomplete
One button,,A few minutes,,1518,AEtharr,https://aetharr.itch.io,Visual Novel||Puzzle,Mouse||Touchscreen,English,14 March 2018 @ 17:34,,Unity||Aseprite||Bfxr,Courtyard Courtroom,NA,1,HTML5,Name your own price,22 January 2017 @ 03:41,,,,,Courtyard Courtroom-v1.0||5 MB||||,,On hold,https://itch.io/jam/my-first-game-jam-winter-2017/rate/112647,1-bit||crappy||Retro||Short||Unity||wip,https://aetharr.itch.io/courtyard-courtroom,My First Game Jam: Winter 2017,https://itch.io/jam/my-first-game-jam-winter-2017,Incomplete
,,,Audio||Gameplay||Controls||Theme||Overall||Overall||Graphics,373,Yknr,https://yknr.itch.io,Action,,,,,,Asteroid Rush,2,3,Windows,Name your own price,,1||1||1||1||2||2||4,4.000||4.500||4.500||5.000||4.000||4.250||3.500,,4.000||4.500||4.500||5.000||4.000||4.250||3.500,Jam Version (legacy)||14 MB||||Windows<>Beta MK 1||14 MB||||,,On hold,https://itch.io/jam/igda-becker-arcade-jam/rate/191183,Arcade||Difficult||Sci-fi||Space,https://yknr.itch.io/asteroid-rush,IGDA Becker Chapter Autumn Arcade Jam 2017,https://itch.io/jam/igda-becker-arcade-jam,Low Priority
,,,Theme||Visuals||Overall||Sounds and Music||The Experience||Innovation,1257,vh-games,https://vh-games.itch.io,Action,,,,,,From Planet to Dwarf and Back Again!,1,1,Windows||macOS||Linux,,,139||209||251||254||261||262,5.000||3.000||2.000||1.000||1.000||1.000,,2.887||1.732||1.155||0.577||0.577||0.577,MiniPlanetsPluto_V5.zip||23 MB||||Windows||Linux||macOS,,On hold,https://itch.io/jam/blackthornprodgamejam2/rate/379006,2D||Asteroids||Short||Space,https://vh-games.itch.io/make-pluto-great-again,Blackthornprod GAME JAM #2,https://itch.io/jam/blackthornprodgamejam2,Low Priority
,,,,67,andrewjb,https://andrewjb.itch.io,Adventure,,,,,,Lantern,NA,1,,,,,,,,app-debug.apk||2 MB||||,,On hold,https://itch.io/jam/myst-jam/rate/51197,2D,https://andrewjb.itch.io/lantern,Myst Jam,https://itch.io/jam/myst-jam,Ngame
,,,,276,aloer,https://aloer.itch.io,,,,,,,FingerArmAngles,NA,0,HTML5,,,,,,,,,On hold,https://itch.io/jam/leapmotion3djam/rate/42911,,https://aloer.itch.io/fingerarmangles,Leap Motion 3D Jam 2015,https://itch.io/jam/leapmotion3djam,Ngame
,,,Completeness||Panache||Usefulness||Overall||Innovation,1036,arttuys,https://arttuys.itch.io,,,,,,,Piksels4Yuu,2,1,Windows,,,1||2||2||2||3,4.000||3.000||4.000||3.375||2.500,,4.000||3.000||4.000||3.375||2.500,Piksels4Yuu Jam Version (BUGGY!)||62 MB||||Windows<>Piksels4Yuu Post-Jam Bugfix Edition||54 MB||||Windows,,On hold,https://itch.io/jam/game-tools-hackathon/rate/485739,Generator||Pixel Art,https://arttuys.itch.io/piksels4yuu,Game Tools Hackathon [8 Bits to Infinity],https://itch.io/jam/game-tools-hackathon,Ngame
,,A few minutes,Sound||Graphics||Overall||Theme||Innovation||Gameplay,630,AlexTVE,https://alextve.itch.io,Platformer,Keyboard||Mouse,English,,,Unity,Darkordia,6,5,Windows||macOS||Linux||HTML5,Name your own price,,3||6||6||6||7||9,3.333||2.833||2.667||2.833||2.167||2.167,,3.333||2.833||2.667||2.833||2.167||2.167,Darkordia v 0.3.0 Windows.zip||18 MB||||Windows<>Darkordia v 0.3.0 Mac.zip||34 MB||||macOS<>Darkordia v 0.3.0 Linux.zip||37 MB||||Linux,,On hold,https://itch.io/jam/take-arms-jam/rate/175778,2D||Atmospheric||Dark||Endless,https://alextve.itch.io/darkordia,Take Arms! Jam 2017,https://itch.io/jam/take-arms-jam,None
,,,,391,Kourosh Naderi,https://kouroshnaderi.itch.io,Survival,,,,,,Tetris,NA,1,Windows,,,,,,,TetrisWindows.zip||14 MB||||Windows,,On hold,https://itch.io/jam/my-first-game-jam-summer-2019/rate/448467,Unity,https://kouroshnaderi.itch.io/tetris,My First Game Jam: Summer 2019,https://itch.io/jam/my-first-game-jam-summer-2019,None
,,,,230,Iam_Mask,https://iam-mask.itch.io,Visual Novel||Puzzle,,,,,,Unhost,NA,3,HTML5,Name your own price,,,,,,WordV.09.zip||26 MB||||,,On hold,https://itch.io/jam/weekly-game-jam-81/rate/364012,decision||Escape Game||Horror||Unreal Engine,https://iam-mask.itch.io/unhost,Weekly Game Jam - Week 81,https://itch.io/jam/weekly-game-jam-81,None
,,,Audio||Innovation||Game Design||Theme||Fun||Overall||Graphics,348,Emagjby Corp.,https://emagjby-corp.itch.io,Action,,,,,,JustBy,3,3,Windows,,24 July 2018 @ 12:38,953||975||992||1009||1011||1017||1025,1.333||1.333||1.333||1.000||1.000||1.167||1.000,,0.873||0.873||0.873||0.655||0.655||0.764||0.655,JustBy 0.2.2 / 0.2 build 3||19 MB||25 July 2018 @ 08:00||<>JustBy 0.2.1 / 0.2 build 2||18 MB||24 July 2018 @ 18:52||Windows<>JustBy 0.2||18 MB||24 July 2018 @ 15:44||Windows,,On hold,https://itch.io/jam/cgj/rate/283261,early-access||First-Person||FPS||windows,https://emagjby-corp.itch.io/justby,Community Game Jam,https://itch.io/jam/cgj,None
,,,Respect du thème||Overall||Note générale,1813,exeSiga,https://exesiga.itch.io,Fighting,,,,,,ayaNakamura,15,2,Windows,Name your own price,,29||33||34,4.267||3.533||2.800,,4.267||3.533||2.800,superJeuJam18.zip||21 MB||||Windows,,On hold,https://itch.io/jam/gamecodeur-gamejam-18/rate/331842,,https://exesiga.itch.io/ayanakamura,Gamecodeur Game Jam #18,https://itch.io/jam/gamecodeur-gamejam-18,None
,,A few minutes,Fun||Overall||Audio||Graphics||Theme||Controls||Originality,289,44pes,https://44pes.itch.io,Platformer,,English,,,Godot,Glitch INC.,14,2,Windows||macOS||Linux,Name your own price,,3||5||5||6||9||13||18,3.929||3.738||3.643||4.357||4.071||3.214||3.214,,3.929||3.738||3.643||4.357||4.071||3.214||3.214,Glitch INC-linux32.zip||24 MB||||Linux<>Glitch INC-linux64.zip||24 MB||||Linux<>Glitch INC-OSX.zip||25 MB||||macOS<>Glitch INC-win32.zip||22 MB||||Windows<>Glitch INC-win64.zip||23 MB||||Windows,,On hold,https://itch.io/jam/godot-wild-jam-10/rate/440674,2D||jumping||Singleplayer,https://44pes.itch.io/glitch-inc,Godot Wild Jam #10,https://itch.io/jam/godot-wild-jam-10,None
,,,,35,rgremxyz,https://rgremxyz.itch.io,Shooter,,,,,Unity,Santa`s Delivery,NA,1,Windows||HTML5,Name your own price,17 December 2018 @ 15:51,,,,,x86.zip||26 MB||||Windows,,On hold,https://itch.io/jam/extra-credits-holiday-2018-game-jam/rate/346827,extra-credits-holiday-2018,https://rgremxyz.itch.io/santas-delivery,Extra Credits Holiday 2018 Game Jam,https://itch.io/jam/extra-credits-holiday-2018-game-jam,None
,,,Grafik||Atmosphäre||Sound||Umsetzung des Themas||Gesamtwertung||Gameplay||Innovation,2411,PlayThis,https://playthis.itch.io,Platformer,,,,,Unity||Adobe Photoshop||Paint.net,Melanclownie - First Enclownter,15,7,Windows||Android||HTML5,,,17||26||27||31||31||36||49,3.667||3.067||3.000||3.000||2.933||2.467||2.133,,3.667||3.067||3.000||3.000||2.933||2.467||2.133,Melanclownie_V1.2_DayOnePatch.apk||37 MB||||Android<>Melanclownie_V1.1.apk||37 MB||||Android<>Melanclownie-Windows.zip||30 MB||||Windows,,On hold,https://itch.io/jam/beansjam/rate/316000,android||autorunner||blues||clown||funfair||jahrmarkt||jump-and-run||melanchonie||Unity,https://playthis.itch.io/melanclownie,BeansJam Mobile,https://itch.io/jam/beansjam,None
,,,,845,Feldo,https://feldo.itch.io,Survival,,,,,,Fall'in 76,NA,1,,,,,,,,fallin76_manual_1st-page.pdf||449 kB||||<>gamefaq_tips (txt)||7 kB||||<>fallin76_weapons_v01.ods||15 kB||||<>FALLIN76_103_release_notes.txt||1 kB||||<>Fallin_76_Theme.mp3||2 MB||||,,On hold,https://itch.io/jam/i-wasnt-gonna-make-this-anyway-jam/rate/348289,activision||bethesda||concept||fallout-76||interstate-76||Post-apocalyptic,https://feldo.itch.io/fallin-76,I Wasn't Gonna Make This Anyway Jam,https://itch.io/jam/i-wasnt-gonna-make-this-anyway-jam,None
,,A few minutes,,425,Stames||Lootwig,https://stames.itch.io||https://lootwig.itch.io,Puzzle,,English,,,,The Robot Called Boogie,NA,1,Windows||macOS||Linux||HTML5,,04 March 2019 @ 22:45,,,,,The_Robot_Called_Boogie_Windows32.zip||23 MB||04 March 2019 @ 22:41||Windows<>The_Robot_Called_Boogie_Linuxx86_64.zip||26 MB||04 March 2019 @ 22:43||Linux<>The_Robot_Called_Boogie_Mac.app.zip||25 MB||04 March 2019 @ 22:44||macOS,https://gitlab.com/LudwigNeste,On hold,https://itch.io/jam/extra-credits-game-jam-3/rate/380619,2D||Robots||Singleplayer,https://stames.itch.io/boogie,Extra Credits Game Jam #3,https://itch.io/jam/extra-credits-game-jam-3,None
Textless,,A few minutes,Music||Sound effects||Game play||Game design||Overall||Graphics||Respect of the limitaions,260,nemolash,https://nemolash.itch.io,Shooter,Keyboard,English,,,Construct,Pong,6,1,HTML5,,,18||18||20||21||23||23||26,1.000||1.167||1.500||1.500||1.444||1.500||2.000,13 October 2016 @ 23:43,1.000||1.167||1.500||1.500||1.444||1.500||2.000,,,On hold,https://itch.io/jam/mini-jam-9-back-to-school-/rate/91282,16-bit||2D||Arcade||atari,https://nemolash.itch.io/pong,Mini Jam 9 - Back To School -,https://itch.io/jam/mini-jam-9-back-to-school-,None
,,A few minutes,,81,Sunrose Studios,https://sunrose.itch.io,,Keyboard,English,,,RPG Maker,Triclair,NA,3,Windows,Name your own price,,,,,,adventure.exe||188 MB||||Windows,,On hold,https://itch.io/jam/december-rainbow-jam/rate/209931,RPG Maker,https://sunrose.itch.io/triclair,December Rainbow Jam,https://itch.io/jam/december-rainbow-jam,None
,,,,462,FennecFoxEntertainment,https://legionoffun.itch.io,Action,,,,,,LittleLife,NA,4,Windows,,,,,,,LL-w32.zip||16 MB||||Windows<>LL-w64.zip||17 MB||||Windows,,On hold,https://itch.io/jam/game-rodeo/rate/22784,,https://legionoffun.itch.io/littlelife,Game Rodeo,https://itch.io/jam/game-rodeo,None
,,,,376,StorysingerGames,https://storysingergames.itch.io,Simulation||Interactive Fiction,,,,,Twine,Ridgewood [Alpha Demo Available!],NA,1,HTML5,,,,,,,,,On hold,https://itch.io/jam/sunofes17/rate/162245,Life Simulation||school-sim||Twine,https://storysingergames.itch.io/ridgewood,Summer Novel Festival,https://itch.io/jam/sunofes17,None
,,,,43,Bertupac,https://bertupac.itch.io,Platformer,,,,,,Unchanging Room will eventually destroy you,NA,2,Windows,,,,,,,Unchanging room will eventually destroy you_Data.zip||15 MB||||Windows,,On hold,https://itch.io/jam/ldgc37/rate/104086,ldgc37||Ludum Dare 37,https://bertupac.itch.io/unchanging-room-will-eventually-destroy-you,Ludum Dare 37 Gran Canaria,https://itch.io/jam/ldgc37,None
,,,,640,knivdagis,https://knivdagis.itch.io,Action,,,,,,Punch-a-Nazi 3000,NA,4,HTML5,,,,,,,,,On hold,https://itch.io/jam/antifa-game-jam/rate/239665,,https://knivdagis.itch.io/punch-a-nazi-3000,Anti-fascist Game Jam - Game Jam Antifasciste - Game Jam Antifascista,https://itch.io/jam/antifa-game-jam,None
,,,Theme||Innovation||Aesthetics||Overall||Feel,833,EmmaBelotti,https://emmabelotti.itch.io,Puzzle||Card Game,,,,,,memory but unfairer,5,1,Windows,,,33||34||41||41||44,3.800||2.800||2.800||3.050||2.800,,2.832||2.087||2.087||2.273||2.087,code.sb2||45 kB||||<>Memory almost finished version.exe||9 MB||||Windows,,On hold,https://itch.io/jam/pizza-jam-pizza-prize/rate/267175,memory,https://emmabelotti.itch.io/memory-but-unfairer,PIZZA JAM (pizza prize),https://itch.io/jam/pizza-jam-pizza-prize,None
,,,Style||Gameplay||Concept||Overall||Enjoyment||Giant Bombitude,969,Larry Li,https://mrlarryli.itch.io,,,,,,,GB ROM4 Co-op FF?,10,4,Windows||macOS,,,20||21||26||29||32||35,3.200||2.700||3.200||2.840||2.500||2.600,,3.051||2.574||3.051||2.708||2.384||2.479,GBROM4WindowsFinal.zip||12 MB||||Windows<>GBROM4MacFinal.zip||15 MB||||macOS<>GBROM4Windows.zip (old version)||11 MB||||Windows<>GBROM4Mac.zip (old version)||15 MB||||macOS,,On hold,https://itch.io/jam/giantrom4/rate/117383,gbrom4||giantbomb,https://mrlarryli.itch.io/gbrom4,Giant ROM 4,https://itch.io/jam/giantrom4,None
,,,People's Choice Vote,1383,ScreenFaulty,https://screenfaulty.itch.io,Strategy||Survival,,,12 January 2019 @ 13:18,,,The ShopKeeper's Secret,12,2,Windows,,29 November 2018 @ 15:59,205,1.75,,1.75,"Shopkeeper with Hard Mode.zip||106 MB||30 November 2018 @ 07:19||<>README(For the judges).txt||1,008 bytes||30 November 2018 @ 07:35||<>Future Plans (If you didn't read description).txt||593 bytes||30 November 2018 @ 04:15||Windows<>P_20180130_193353_1.jpg||1 MB||29 November 2018 @ 15:39||Windows<>P_20180130_193329_1.jpg||667 kB||29 November 2018 @ 15:39||Windows<>P_20180130_193409.jpg||2 MB||29 November 2018 @ 15:39||Windows",,On hold,https://itch.io/jam/igmc2018/rate/336633,annoying||Casual||Cute||Experimental||Mystery||rage||RPG Maker||secrets||Singleplayer,https://screenfaulty.itch.io/tssscreenfaultyoriginal,Indie Game Making Contest 2018,https://itch.io/jam/igmc2018,None
,,,SOUNDS AND MUSIC||INNOVATION||VISUALS||THEME||THE EXPERIENCE||OVERALL,0,dennmar,https://dennmar.itch.io,Action,,,,,,Refine,23,1,,,,245||247||247||248||248||248,1.000||1.000||1.000||1.000||1.000||1.000,,0.923||0.923||0.923||0.923||0.923||0.923,Refine.exe||633 kB||||,,On hold,https://itch.io/jam/blackthornprod-game-jam-1/rate/319301,,https://dennmar.itch.io/refine,Blackthornprod GAME JAM # 1,https://itch.io/jam/blackthornprod-game-jam-1,None
,,A few seconds,Ocena ogólna gry,544,dalton||Kwadratus||xDRafal||Michal_M||MissThief,https://dalton.itch.io||https://kwadratus.itch.io||https://xdrafal.itch.io||https://michal-m.itch.io||https://missthief.itch.io,,Keyboard||Mouse,English,,,,Feed the Monster,54,5,Windows,,,32,2.185,,2.185,FeedTheMonster.zip||21 MB||||Windows,,On hold,https://itch.io/jam/sensei-game-jam/rate/103897,,https://dalton.itch.io/feed-the-monster,Sensei Game Jam,https://itch.io/jam/sensei-game-jam,None
,,,,303,mieshka,https://mieshka.itch.io,Puzzle,,,,,,WGJ06 - Troll-A-Ball Maze,NA,1,,Name your own price,,,,,,WGJ06.zip||13 MB||||,,On hold,https://itch.io/jam/weekly-game-jam-6/rate/170575,,https://mieshka.itch.io/wgj-06,Weekly Game Jam - Week 6,https://itch.io/jam/weekly-game-jam-6,None
,,About a half-hour,How minimalistic was the art and/or music?||Overall||How would you rate the games mechanics?,209,More_RetroGames,https://more-retrogames.itch.io,Platformer||Action||Shooter,Keyboard,English,,,GameMaker: Studio,OtherSide,6,1,Windows,Name your own price,,1||1||2,4.667||4.417||4.167,,4.667||4.417||4.167,OtherSide-0.3.zip||11 MB||||Windows,,On hold,https://itch.io/jam/minimalistic-jam-2/rate/210210,Minimalist||Pixel Art||Retro,https://more-retrogames.itch.io/otherside,Minimalistic Jam 2,https://itch.io/jam/minimalistic-jam-2,None
,,A few minutes,,514,Jamhammer Games,https://jamhammer.itch.io,Racing,Keyboard||Xbox controller,English,,,Unity||Blender||Adobe Photoshop||Adobe After Effects,Pink Slip Racers,NA,4,Windows,Name your own price,,,,,,PinkSlipRacers_V_1_3.zip||22 MB||||Windows,,On hold,https://itch.io/jam/tojam13/rate/254726,office,https://jamhammer.itch.io/pink-slip-racers,TOJam - Flirteen With Danger,https://itch.io/jam/tojam13,None
,,,Game design||Sound||Graphics||Game play||Respect of the limitations||Overall||Respect of the theme,350,Luke100000,https://luke100000.itch.io,Strategy,,,,,,Monsters in Disguise,4,1,Windows,Name your own price,,10||11||12||13||16||17||19,4.250||3.750||4.250||3.750||4.500||3.958||3.250,,3.470||3.062||3.470||3.062||3.674||3.232||2.654,Monsters in Disguise||14 MB||||Windows,,On hold,https://itch.io/jam/mini-jam-12-heroes-/rate/314153,,https://luke100000.itch.io/monsters-in-disguise,Mini Jam 12 -Heroes-,https://itch.io/jam/mini-jam-12-heroes-,None
,,,Graphics||Theme||Innovation||Overall||Fun||Game Design||Audio,530,Mr_Najm_Nabhani,https://mr-najm-nabhani.itch.io,Puzzle||Platformer,,,,,Unity,Suzy The Lier,10,1,HTML5,,31 August 2019 @ 15:20,451||629||656||696||715||722||865,2.800||2.300||2.100||2.067||2.000||2.000||1.200,,2.800||2.300||2.100||2.067||2.000||2.000||1.200,,,On hold,https://itch.io/jam/cgj/rate/476472,cgj||demo,https://mr-najm-nabhani.itch.io/suzy-the-lier,Community Game Jam,https://itch.io/jam/cgj,None
,,,,1091,KellMacartney,https://kellmacartney.itch.io,Shooter,,,,,,Untitled (2018),NA,3,Windows,,,,,,,Untitled.exe||635 kB||||Windows,,On hold,https://itch.io/jam/sae-brisbane-games-studio-1-18t1-wherefore-art-thou/rate/228598,Action-Adventure||Pixel Art,https://kellmacartney.itch.io/untitled-2018-,SAE Brisbane Games - Studio 1 - 18T1 - Wherefore Art Thou?,https://itch.io/jam/sae-brisbane-games-studio-1-18t1-wherefore-art-thou,None
,Creative Commons Attribution_ShareAlike v4.0 International,About an hour,Story/Narrative||Art Challenge||Theme||Overall||Playability||Sound||Overall||Music||Artwork,734,Cem Kalyoncu||cengizkandemir||lucatonini,https://cemkalyoncu.itch.io||https://cengizkandemir.itch.io||https://lucatonini.itch.io,Adventure||Puzzle,Keyboard||Mouse,English,,GNU General Public License v3.0 (GPL),,Lost in the void,8,5,Windows||Linux,Name your own price,,6||13||13||13||14||14||15||15||15,3.625||2.000||2.250||2.625||2.625||2.500||2.750||2.500||2.750,,3.327||1.835||2.065||2.409||2.409||2.294||2.524||2.294||2.524,Lost in the Void - Linux||37 MB||||Linux<>Lost in the Void - Windows||37 MB||||Windows<>Lost in the Void - Linux without sound||8 MB||||Linux<>Lost in the Void - Windows without sound||8 MB||||Windows<>Lost in the Void - Windows 32 bit||36 MB||||Windows,https://bitbucket.org/darkgazeorg/lost-in-the-void/||https://bitbucket.org/darkgazeorg/lost-in-the-void/src||https://bitbucket.org/darkgazeorg/gorgon-game-engine/src,On hold,https://itch.io/jam/opengameart-game-jam-2/rate/274627,2D||environment||Exploration||Mystery||peaceful||Story Rich,https://cemkalyoncu.itch.io/lost-in-the-void,OpenGameArt Game Jam #2,https://itch.io/jam/opengameart-game-jam-2,None
,,,,328,chluebi,https://chluebi.itch.io,Platformer,,,,,GameMaker: Studio,Ninja Jumper,NA,3,HTML5,,,,,,,,,On hold,https://itch.io/jam/james-jam-pizzza-prize/rate/223689,freedom||html||movement||namasonao||Ninja||Pixel Art||pizza-jam,https://chluebi.itch.io/ninja-jumper,PIZZA JAM (pizza prize),https://itch.io/jam/james-jam-pizzza-prize,None
,,,,521,Leighton Williams,https://leightonw87.itch.io,Platformer,,,,,,Dark Fright Demo,NA,3,Windows,Name your own price,,,,,,Dark Fright Demo (Compressed)||1 MB||||Windows<>Dark Fright Demo (Uncompressed)||2 MB||||Windows,,On hold,https://itch.io/jam/platformer-week/rate/381927,8bits-to-infinity-jam||Arcade||Dark||Flight||fusion||fusion-25||gamepad||Pixel Art||scare,https://leightonw87.itch.io/dark-fright,8 Bits to Infinity ~ Platformer Week,https://itch.io/jam/platformer-week,None
,,,,186,Pentakill,https://pentakill.itch.io,Platformer,,,,,,Bomber Fish,NA,1,Windows,,,,,,,Bomberfish.rar||11 MB||||Windows,,On hold,https://itch.io/jam/createjam/rate/56790,,https://pentakill.itch.io/bomber-fish,Create Jam Spring 2016,https://itch.io/jam/createjam,None
,,,,389,grillband,https://grillband.itch.io,Platformer||Puzzle,,,,,,INVERSE,NA,6,Windows,Name your own price,,,,,,INVERSE.zip||15 MB||||Windows,,On hold,https://itch.io/jam/hg-monthly-jam-02/rate/360133,2D||multi-dimensional||Singleplayer,https://grillband.itch.io/inverse,Homa Games Monthly Game Jam,https://itch.io/jam/hg-monthly-jam-02,None
